family,level,key,metric,old,new,absolute_difference,old_3dp,new_3dp,both_undefined,definition_changed,passed
strict_temporal,detail,Forecasting|1032,accuracy,0.3333333333,0.6666666667,0.3333333334,0.333,0.667,False,False,False
strict_temporal,detail,Forecasting|1032,precision,0.5,0.6666666667,0.1666666667,0.500,0.667,False,False,False
strict_temporal,detail,Forecasting|1032,recall,0.5,1,0.5,0.500,1.000,False,False,False
strict_temporal,detail,Forecasting|1032,R2(p3),-1.021538462,-0.7953845774,0.2261538846,-1.022,-0.795,False,False,False
strict_temporal,detail,Forecasting|1033,accuracy,0.6666666667,0.6666666667,0E-10,0.667,0.667,False,False,True
strict_temporal,detail,Forecasting|1033,precision,0.6666666667,0.6666666667,0E-10,0.667,0.667,False,False,True
strict_temporal,detail,Forecasting|1033,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1033,R2(p3),-0.2692307692,-0.1353845075,0.1338462617,-0.269,-0.135,False,False,False
strict_temporal,detail,Forecasting|1038,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1038,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1038,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1038,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1039,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1039,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1039,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1039,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1046,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1046,precision,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1046,recall,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1046,R2(p3),-0.6,-1.435555467,0.835555467,-0.600,-1.436,False,False,False
strict_temporal,detail,Forecasting|1047,accuracy,0,0.5,0.5,0.000,0.500,False,False,False
strict_temporal,detail,Forecasting|1047,precision,0,0.5,0.5,0.000,0.500,False,False,False
strict_temporal,detail,Forecasting|1047,recall,0,1,1,0.000,1.000,False,False,False
strict_temporal,detail,Forecasting|1047,R2(p3),-0.5111111111,-1.142222269,0.6311111579,-0.511,-1.142,False,False,False
strict_temporal,detail,Forecasting|1048,accuracy,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|1048,precision,,0.5,,,0.500,False,True,False
strict_temporal,detail,Forecasting|1048,recall,0,1,1,0.000,1.000,False,False,False
strict_temporal,detail,Forecasting|1048,R2(p3),-0.94,0.1000001431,1.0400001431,-0.940,0.100,False,False,False
strict_temporal,detail,Forecasting|1049,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1049,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1049,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1049,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1050,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1050,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1050,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1050,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1057,accuracy,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|1057,precision,,0,,,0.000,False,True,False
