split,variant,n_rows,ordinal_mae,balanced_accuracy,phase4_support,phase4_recall,phase3plus_precision,phase3plus_recall,distribution_discrepancy,actual_phase1_count,actual_phase2_count,actual_phase3_count,actual_phase4_count,actual_phase5_count,predicted_phase1_count,predicted_phase2_count,predicted_phase3_count,predicted_phase4_count,predicted_phase5_count
calibration,identity,496,0.4213709677419355,0.30129716981132076,30,0,0.66666666666666663,0.84745762711864403,0.44354838709677419,9,192,265,30,0,0,121,375,0,0
calibration,selected,496,0.4213709677419355,0.30129716981132076,30,0,0.66666666666666663,0.84745762711864403,0.44354838709677419,9,192,265,30,0,0,121,375,0,0
test,identity,1170,0.33931623931623933,0.25106145084929332,113,0.0088495575221238937,0.81313131313131315,0.91581342434584756,0.38461538461538458,22,269,764,113,2,0,180,989,1,0
test,selected,1170,0.33931623931623933,0.25106145084929332,113,0.0088495575221238937,0.81313131313131315,0.91581342434584756,0.38461538461538458,22,269,764,113,2,0,180,989,1,0
