task,method,actual_phase,predicted_phase,count,actual_row_total,actual_row_share
Contemporaneous,direct_phase45_unweighted,1,1,1,197,0.005076142131979695
Contemporaneous,direct_phase45_unweighted,1,2,152,197,0.77157360406091369
Contemporaneous,direct_phase45_unweighted,1,3,29,197,0.14720812182741116
Contemporaneous,direct_phase45_unweighted,1,4,15,197,0.076142131979695438
Contemporaneous,direct_phase45_unweighted,1,5,0,197,0
Contemporaneous,direct_phase45_unweighted,2,1,0,1969,0
Contemporaneous,direct_phase45_unweighted,2,2,1229,1969,0.62417470797359065
Contemporaneous,direct_phase45_unweighted,2,3,560,1969,0.2844083291010665
Contemporaneous,direct_phase45_unweighted,2,4,180,1969,0.091416962925342807
Contemporaneous,direct_phase45_unweighted,2,5,0,1969,0
Contemporaneous,direct_phase45_unweighted,3,1,0,2913,0
Contemporaneous,direct_phase45_unweighted,3,2,324,2913,0.11122554067971163
Contemporaneous,direct_phase45_unweighted,3,3,1973,2913,0.67730861654651564
Contemporaneous,direct_phase45_unweighted,3,4,616,2913,0.21146584277377276
Contemporaneous,direct_phase45_unweighted,3,5,0,2913,0
Contemporaneous,direct_phase45_unweighted,4,1,0,482,0
Contemporaneous,direct_phase45_unweighted,4,2,2,482,0.0041493775933609959
Contemporaneous,direct_phase45_unweighted,4,3,97,482,0.20124481327800831
Contemporaneous,direct_phase45_unweighted,4,4,383,482,0.79460580912863066
Contemporaneous,direct_phase45_unweighted,4,5,0,482,0
Contemporaneous,direct_phase45_unweighted,5,1,0,14,0
Contemporaneous,direct_phase45_unweighted,5,2,0,14,0
Contemporaneous,direct_phase45_unweighted,5,3,0,14,0
Contemporaneous,direct_phase45_unweighted,5,4,14,14,1
Contemporaneous,direct_phase45_unweighted,5,5,0,14,0
Contemporaneous,direct_phase45_sqrt_balance,1,1,1,197,0.005076142131979695
Contemporaneous,direct_phase45_sqrt_balance,1,2,152,197,0.77157360406091369
Contemporaneous,direct_phase45_sqrt_balance,1,3,29,197,0.14720812182741116
Contemporaneous,direct_phase45_sqrt_balance,1,4,15,197,0.076142131979695438
Contemporaneous,direct_phase45_sqrt_balance,1,5,0,197,0
Contemporaneous,direct_phase45_sqrt_balance,2,1,0,1969,0
Contemporaneous,direct_phase45_sqrt_balance,2,2,1229,1969,0.62417470797359065
Contemporaneous,direct_phase45_sqrt_balance,2,3,529,1969,0.26866429659725749
Contemporaneous,direct_phase45_sqrt_balance,2,4,211,1969,0.10716099542915185
Contemporaneous,direct_phase45_sqrt_balance,2,5,0,1969,0
Contemporaneous,direct_phase45_sqrt_balance,3,1,0,2913,0
Contemporaneous,direct_phase45_sqrt_balance,3,2,324,2913,0.11122554067971163
Contemporaneous,direct_phase45_sqrt_balance,3,3,1856,2913,0.63714383796773089
Contemporaneous,direct_phase45_sqrt_balance,3,4,733,2913,0.25163062135255748
Contemporaneous,direct_phase45_sqrt_balance,3,5,0,2913,0
Contemporaneous,direct_phase45_sqrt_balance,4,1,0,482,0
Contemporaneous,direct_phase45_sqrt_balance,4,2,2,482,0.0041493775933609959
Contemporaneous,direct_phase45_sqrt_balance,4,3,76,482,0.15767634854771784
Contemporaneous,direct_phase45_sqrt_balance,4,4,404,482,0.83817427385892118
Contemporaneous,direct_phase45_sqrt_balance,4,5,0,482,0
Contemporaneous,direct_phase45_sqrt_balance,5,1,0,14,0
Contemporaneous,direct_phase45_sqrt_balance,5,2,0,14,0
Contemporaneous,direct_phase45_sqrt_balance,5,3,0,14,0
Contemporaneous,direct_phase45_sqrt_balance,5,4,14,14,1
Contemporaneous,direct_phase45_sqrt_balance,5,5,0,14,0
Contemporaneous,direct_phase45_full_balance,1,1,1,197,0.005076142131979695
Contemporaneous,direct_phase45_full_balance,1,2,152,197,0.77157360406091369
Contemporaneous,direct_phase45_full_balance,1,3,32,197,0.16243654822335024
Contemporaneous,direct_phase45_full_balance,1,4,12,197,0.060913705583756347
Contemporaneous,direct_phase45_full_balance,1,5,0,197,0
Contemporaneous,direct_phase45_full_balance,2,1,0,1969,0
Contemporaneous,direct_phase45_full_balance,2,2,1229,1969,0.62417470797359065
Contemporaneous,direct_phase45_full_balance,2,3,595,1969,0.30218384966988321
Contemporaneous,direct_phase45_full_balance,2,4,145,1969,0.073641442356526157
Contemporaneous,direct_phase45_full_balance,2,5,0,1969,0
Contemporaneous,direct_phase45_full_balance,3,1,0,2913,0
Contemporaneous,direct_phase45_full_balance,3,2,324,2913,0.11122554067971163
Contemporaneous,direct_phase45_full_balance,3,3,2060,2913,0.70717473395125297
Contemporaneous,direct_phase45_full_balance,3,4,529,2913,0.18159972536903535
Contemporaneous,direct_phase45_full_balance,3,5,0,2913,0
Contemporaneous,direct_phase45_full_balance,4,1,0,482,0
Contemporaneous,direct_phase45_full_balance,4,2,2,482,0.0041493775933609959
Contemporaneous,direct_phase45_full_balance,4,3,109,482,0.22614107883817428
Contemporaneous,direct_phase45_full_balance,4,4,371,482,0.76970954356846477
Contemporaneous,direct_phase45_full_balance,4,5,0,482,0
Contemporaneous,direct_phase45_full_balance,5,1,0,14,0
Contemporaneous,direct_phase45_full_balance,5,2,0,14,0
Contemporaneous,direct_phase45_full_balance,5,3,0,14,0
Contemporaneous,direct_phase45_full_balance,5,4,14,14,1
Contemporaneous,direct_phase45_full_balance,5,5,0,14,0
