task,method,method_role,selection_status,primary_selected,n_rows,positive_support,negative_support,actual_phase4_support,actual_phase5_support,predicted_positive_count,true_positive,false_positive,false_negative,true_negative,phase45_precision,phase45_recall,phase45_f1,phase45_f2,phase45_pr_auc,true_rescue_actual_phase4,true_rescue_actual_phase5,false_promotion_actual_phase1,false_promotion_actual_phase2,false_promotion_actual_phase3,false_promotion_actual_phase12,total_promotions,false_promotions_per_100_gate_rows
Contemporaneous,direct_phase45_unweighted,candidate_sensitivity,selected,False,3788,430,3358,418,12,1129,333,796,97,2562,0.29495128432240919,0.77441860465116275,0.42719692110327134,0.58441558441558439,0.45529768755546363,321,12,15,180,601,195,1129,21.013727560718056
Contemporaneous,direct_phase45_sqrt_balance,candidate_sensitivity,selected,False,3788,430,3358,418,12,1298,354,944,76,2414,0.27272727272727271,0.82325581395348835,0.40972222222222221,0.58648111332007957,0.43963026486930717,342,12,15,211,718,226,1298,24.920802534318902
Contemporaneous,direct_phase45_full_balance,candidate_sensitivity,selected,True,3788,430,3358,418,12,992,321,671,109,2687,0.32358870967741937,0.74651162790697678,0.45147679324894513,0.5918141592920354,0.43156000611409445,309,12,12,145,514,157,992,17.713833157338964
