model,country_code_3,n_test,actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,phase3plus_precision,phase3plus_recall,overall_accuracy,phase3plus_r2,precision_undefined_reason,recall_undefined_reason,r2_undefined_reason,nonpositive_cumulative_prediction_count
Forecasting,AFG,692,610,692,610,82,0,0,0.881503,1.000000,0.771676,-0.105690,,,,0
Forecasting,BDI,175,58,76,42,34,16,83,0.552632,0.724138,0.702857,0.026920,,,,0
Forecasting,CAF,292,229,284,229,55,0,8,0.806338,1.000000,0.633562,-0.059981,,,,0
Forecasting,COD,648,376,471,308,163,68,109,0.653928,0.819149,0.560185,0.050812,,,,0
Forecasting,DJI,3,0,1,0,1,0,2,0.000000,,0.666667,-11.735000,,no_actual_phase3plus,,0
Forecasting,DOM,4,2,4,2,2,0,0,0.500000,1.000000,0.250000,0.403983,,,,0
Forecasting,ETH,56,29,56,29,27,0,0,0.517857,1.000000,0.500000,-1.447179,,,,0
Forecasting,GTM,340,148,165,101,64,47,128,0.612121,0.682432,0.658824,0.059319,,,,0
Forecasting,HND,166,72,109,65,44,7,50,0.596330,0.902778,0.662651,0.183689,,,,0
Forecasting,HTI,35,34,33,32,1,2,0,0.969697,0.941176,0.742857,-1.513709,,,,0
Forecasting,KEN,152,74,132,66,66,8,12,0.500000,0.891892,0.493421,0.200819,,,,0
Forecasting,LBN,9,8,9,8,1,0,0,0.888889,1.000000,0.888889,-1.028119,,,,0
Forecasting,LSO,3,3,3,3,0,0,0,1.000000,1.000000,1.000000,0.106667,,,,0
Forecasting,MDG,69,44,40,29,11,15,14,0.725000,0.659091,0.449275,-0.453296,,,,0
Forecasting,MOZ,106,55,56,34,22,21,29,0.607143,0.618182,0.528302,-0.038731,,,,0
Forecasting,MWI,11,2,7,2,5,0,4,0.285714,1.000000,0.454545,-0.538289,,,,0
Forecasting,PAK,155,141,155,141,14,0,0,0.909677,1.000000,0.819355,-0.009919,,,,0
Forecasting,SDN,11,11,11,11,0,0,0,1.000000,1.000000,0.636364,-0.222712,,,,0
Forecasting,SLV,149,34,105,22,83,12,32,0.209524,0.647059,0.362416,-0.836066,,,,0
Forecasting,SOM,1222,456,1137,443,694,13,72,0.389622,0.971491,0.364975,-0.167394,,,,0
Forecasting,SSD,665,555,657,555,102,0,8,0.844749,1.000000,0.551880,-0.433064,,,,0
Forecasting,SWZ,30,8,25,8,17,0,5,0.320000,1.000000,0.433333,-0.285547,,,,0
Forecasting,TJK,10,10,10,10,0,0,0,1.000000,1.000000,0.300000,-3.398596,,,,0
Forecasting,TZA,1,0,0,0,0,0,1,,,1.000000,,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,UGA,134,88,110,81,29,7,17,0.736364,0.920455,0.708955,0.177046,,,,0
Forecasting,YEM,385,349,269,243,26,106,10,0.903346,0.696275,0.548052,-2.298899,,,,0
Forecasting,ZAF,26,9,24,9,15,0,2,0.375000,1.000000,0.423077,-0.847154,,,,0
Forecasting,ZMB,24,4,24,4,20,0,0,0.166667,1.000000,0.083333,-0.874214,,,,0
Forecasting,ZWE,2,0,0,0,0,0,2,,,1.000000,-0.195266,no_predicted_phase3plus,no_actual_phase3plus,,0
Nowcasting,AFG,692,610,692,610,82,0,0,0.881503,1.000000,0.771676,-0.092729,,,,0
Nowcasting,BDI,175,58,78,43,35,15,82,0.551282,0.741379,0.702857,0.024284,,,,0
Nowcasting,CAF,292,229,284,229,55,0,8,0.806338,1.000000,0.633562,-0.061888,,,,0
Nowcasting,COD,648,376,503,340,163,36,109,0.675944,0.904255,0.600309,0.102739,,,,0
Nowcasting,DJI,3,0,1,0,1,0,2,0.000000,,0.666667,-12.574999,,no_actual_phase3plus,,0
Nowcasting,DOM,4,2,4,2,2,0,0,0.500000,1.000000,0.250000,0.437423,,,,0
Nowcasting,ETH,56,29,56,29,27,0,0,0.517857,1.000000,0.500000,-1.450893,,,,0
Nowcasting,GTM,340,148,165,101,64,47,128,0.612121,0.682432,0.658824,0.048205,,,,0
Nowcasting,HND,166,72,106,57,49,15,45,0.537736,0.791667,0.584337,0.137270,,,,0
Nowcasting,HTI,35,34,33,32,1,2,0,0.969697,0.941176,0.742857,-1.487135,,,,0
Nowcasting,KEN,152,74,132,66,66,8,12,0.500000,0.891892,0.493421,0.216489,,,,0
Nowcasting,LBN,9,8,9,8,1,0,0,0.888889,1.000000,0.888889,-0.978218,,,,0
Nowcasting,LSO,3,3,3,3,0,0,0,1.000000,1.000000,1.000000,0.180000,,,,0
Nowcasting,MDG,69,44,45,31,14,13,11,0.688889,0.704545,0.434783,-0.443262,,,,0
Nowcasting,MOZ,106,55,55,31,24,24,27,0.563636,0.563636,0.481132,-0.035403,,,,0
Nowcasting,MWI,11,2,6,2,4,0,5,0.333333,1.000000,0.545455,-0.384072,,,,0
Nowcasting,PAK,155,141,155,141,14,0,0,0.909677,1.000000,0.819355,-0.074388,,,,0
Nowcasting,SDN,11,11,11,11,0,0,0,1.000000,1.000000,0.636364,-0.183877,,,,0
Nowcasting,SLV,149,34,82,19,63,15,52,0.231707,0.558824,0.463087,-0.627915,,,,0
Nowcasting,SOM,1222,456,1133,442,691,14,75,0.390115,0.969298,0.366612,-0.198906,,,,0
Nowcasting,SSD,665,555,655,553,102,2,8,0.844275,0.996396,0.548872,-0.386459,,,,0
Nowcasting,SWZ,30,8,25,8,17,0,5,0.320000,1.000000,0.433333,-0.267540,,,,0
Nowcasting,TJK,10,10,10,10,0,0,0,1.000000,1.000000,0.300000,-3.298947,,,,0
Nowcasting,TZA,1,0,0,0,0,0,1,,,1.000000,,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Nowcasting,UGA,134,88,109,80,29,8,17,0.733945,0.909091,0.701493,0.183901,,,,0
Nowcasting,YEM,385,349,296,268,28,81,8,0.905405,0.767908,0.597403,-2.157709,,,,0
Nowcasting,ZAF,26,9,24,9,15,0,2,0.375000,1.000000,0.423077,-0.811150,,,,0
Nowcasting,ZMB,24,4,24,4,20,0,0,0.166667,1.000000,0.083333,-0.799441,,,,0
Nowcasting,ZWE,2,0,0,0,0,0,2,,,1.000000,0.029586,no_predicted_phase3plus,no_actual_phase3plus,,0
