feature_group,accuracy,sensitivity,precision,overall_r2
geo_vars,0.6777777777777778,0.9431171786120591,0.8017408123791102,0.24387855942743286
food_prices_vars,0.5307692307692308,0.6291240045506257,0.8229166666666666,-0.062097000630692234
weather_vars,0.67008547008547,0.8964732650739476,0.8234064785788924,0.18857322844003688
econ_vars,0.6717948717948717,0.944254835039818,0.8034849951597289,0.2587530416063134
conflict_vars,0.705982905982906,0.9431171786120591,0.8240556660039762,0.2776236856628407
agri_vars,0.6598290598290598,0.8964732650739476,0.8057259713701431,0.1810937110043076
