area_id,country_code_3
1759,AFG
1763,AFG
1786,AFG
1793,AFG
1815,AFG
1829,AFG
1851,AFG
699,BDI
708,BDI
132,CAF
205,CAF
254,CAF
258,CAF
274,CAF
290,CAF
334,CAF
396,CAF
127,COD
128,COD
161,COD
169,COD
285,COD
376,COD
444,COD
446,COD
464,COD
483,COD
623,COD
1215,DJI
9,DOM
1144,ETH
1234,ETH
1473,ETH
86,GTM
95,GTM
98,GTM
100,GTM
104,GTM
41,HND
44,HND
55,HND
18,HTI
22,HTI
995,KEN
1060,KEN
1160,KEN
1008,LBN
1017,LBN
529,LSO
1582,MDG
1614,MDG
1654,MDG
1669,MDG
840,MOZ
925,MOZ
932,MOZ
1045,MOZ
1064,MOZ
1009,MWI
1780,PAK
1784,PAK
1861,PAK
1866,PAK
825,SDN
47,SLV
60,SLV
1189,SOM
1203,SOM
1231,SOM
1249,SOM
1429,SOM
1458,SOM
1561,SOM
1571,SOM
1589,SOM
1608,SOM
1638,SOM
1640,SOM
1681,SOM
1727,SOM
1739,SOM
496,SSD
583,SSD
683,SSD
691,SSD
698,SSD
711,SSD
769,SSD
800,SSD
882,SSD
899,SSD
905,SSD
931,SSD
770,SWZ
776,SWZ
1873,TJK
1057,TZA
752,UGA
796,UGA
848,UGA
941,UGA
1237,YEM
1265,YEM
1272,YEM
1279,YEM
1280,YEM
1306,YEM
1493,YEM
1514,YEM
1586,YEM
1592,YEM
1593,YEM
1617,YEM
1648,YEM
1672,YEM
531,ZAF
739,ZAF
517,ZMB
603,ZMB
855,ZWE
