split,task,method,evaluation_status,n_rows,n_gate,actual_phase4_count,predicted_phase4_count,phase4_true_positive,phase4_false_positive,phase4_false_negative,phase4_precision,phase4_recall,phase4_f1,pr_auc,accuracy,balanced_accuracy,macro_f1,ordinal_mae,phase3_precision,phase3_recall,phase3_f1,phase3plus_precision,phase3plus_recall,phase3plus_r2,changed_3_to_4,correct_rescues,false_promotions,country_macro_accuracy,country_macro_balanced_accuracy,country_macro_macro_f1,country_macro_ordinal_mae,accepted
benchmark,Forecasting,direct_phase34_xgboost,reporting_only,1170,1066,113,23,14,9,99,0.60869565217391308,0.12389380530973451,0.20588235294117646,0.39440665321055574,0.652991452991453,0.24375441259272795,0.24724507844816485,0.36410256410256409,0.67337164750957856,0.92015706806282727,0.77765486725663713,0.77507029053420806,0.9408418657565415,0.24899857049868279,22,13,9,0.53962650743301666,0.41563571581977599,0.14495653444979062,0.46429106294960748,<NA>
benchmark,Forecasting,frozen_base,frozen_reference,1170,1066,113,1,1,0,112,1,0.0088495575221238937,0.017543859649122806,<NA>,0.6495726495726496,0.2231015839776142,0.20967482163897316,0.36752136752136755,0.66791744840525324,0.93193717277486909,0.77814207650273226,0.77507029053420806,0.9408418657565415,0.24899857049868279,0,0,0,0.50635178348117293,0.37130890653118542,0.12952805196387659,0.49756578690145115,<NA>
benchmark,Forecasting,single_score,diagnostic_no_rescue,1170,1066,113,1,1,0,112,1,0.0088495575221238937,0.017543859649122806,0.47186648556501304,0.6495726495726496,0.2231015839776142,0.20967482163897316,0.36752136752136755,0.66791744840525324,0.93193717277486909,0.77814207650273226,0.77507029053420806,0.9408418657565415,0.24899857049868279,0,0,0,0.50635178348117293,0.37130890653118542,0.12952805196387659,0.49756578690145115,<NA>
benchmark,Forecasting,xgboost,rejected,1170,1066,113,1,1,0,112,1,0.0088495575221238937,0.017543859649122806,0.3801144949870639,0.6495726495726496,0.2231015839776142,0.20967482163897316,0.36752136752136755,0.66791744840525324,0.93193717277486909,0.77814207650273226,0.77507029053420806,0.9408418657565415,0.24899857049868279,0,0,0,0.50635178348117293,0.37130890653118542,0.12952805196387659,0.49756578690145115,False
benchmark,Nowcasting,direct_phase34_xgboost,reporting_only,1170,1064,113,23,14,9,99,0.60869565217391308,0.12389380530973451,0.20588235294117646,0.39447753951201875,0.65726495726495726,0.24699017039260726,0.25164662059326903,0.36068376068376068,0.67562380038387715,0.92146596858638741,0.77962347729789594,0.77746478873239433,0.94197952218430037,0.252784701177865,22,13,9,0.54589890886670844,0.41975335089940102,0.14871247061407192,0.45811822344343461,<NA>
benchmark,Nowcasting,frozen_base,frozen_reference,1170,1064,113,1,1,0,112,1,0.0088495575221238937,0.017543859649122806,<NA>,0.65384615384615385,0.22633734177749357,0.21407173194573864,0.36410256410256409,0.67011278195488722,0.93324607329842935,0.78008752735229758,0.77746478873239433,0.94197952218430037,0.252784701177865,0,0,0,0.51262418491486472,0.3754265416108104,0.13328433769311171,0.49139294739527833,<NA>
benchmark,Nowcasting,single_score,diagnostic,1170,1064,113,1,1,0,112,1,0.0088495575221238937,0.017543859649122806,0.45761060573430407,0.65384615384615385,0.22633734177749357,0.21407173194573864,0.36410256410256409,0.67011278195488722,0.93324607329842935,0.78008752735229758,0.77746478873239433,0.94197952218430037,0.252784701177865,0,0,0,0.51262418491486472,0.3754265416108104,0.13328433769311171,0.49139294739527833,<NA>
benchmark,Nowcasting,xgboost,no_rescue,1170,1064,113,1,1,0,112,1,0.0088495575221238937,0.017543859649122806,<NA>,0.65384615384615385,0.22633734177749357,0.21407173194573864,0.36410256410256409,0.67011278195488722,0.93324607329842935,0.78008752735229758,0.77746478873239433,0.94197952218430037,0.252784701177865,0,0,0,0.51262418491486472,0.3754265416108104,0.13328433769311171,0.49139294739527833,False
meta_validation,Forecasting,direct_phase34_xgboost,not_applicable,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
meta_validation,Forecasting,frozen_base,reference,1865,1865,174,0,0,0,174,<NA>,0,0,<NA>,0.60482573726541555,0.20000000000000001,0.15075175409288338,0.40965147453083112,0.60482573726541555,1,0.75375877046441697,0.69919571045576412,1,0.23221815899715992,0,0,0,0.54227921140562318,0.41999999999999998,0.12997933949970422,0.47669451599606688,<NA>
