task,method,actual_phase,predicted_phase,count,actual_row_total,actual_row_share
Nowcasting,single_score,1,2,3,22,0.13636363636363635
Nowcasting,single_score,1,3,19,22,0.86363636363636365
Nowcasting,single_score,1,4,0,22,0
Nowcasting,single_score,1,5,0,22,0
Nowcasting,single_score,2,1,0,269,0
Nowcasting,single_score,2,2,51,269,0.1895910780669145
Nowcasting,single_score,2,3,218,269,0.81040892193308545
Nowcasting,single_score,2,4,0,269,0
Nowcasting,single_score,2,5,0,269,0
Nowcasting,single_score,3,1,0,764,0
Nowcasting,single_score,3,2,51,764,0.066753926701570682
Nowcasting,single_score,3,3,713,764,0.93324607329842935
Nowcasting,single_score,3,4,0,764,0
Nowcasting,single_score,3,5,0,764,0
Nowcasting,single_score,4,1,0,113,0
Nowcasting,single_score,4,2,0,113,0
Nowcasting,single_score,4,3,112,113,0.99115044247787609
Nowcasting,single_score,4,4,1,113,0.0088495575221238937
Nowcasting,single_score,4,5,0,113,0
Nowcasting,single_score,5,1,0,2,0
Nowcasting,single_score,5,2,0,2,0
Nowcasting,single_score,5,3,2,2,1
Nowcasting,single_score,5,4,0,2,0
Nowcasting,single_score,5,5,0,2,0
Nowcasting,direct_phase34_xgboost,1,1,0,22,0
Nowcasting,direct_phase34_xgboost,1,2,3,22,0.13636363636363635
Nowcasting,direct_phase34_xgboost,1,3,19,22,0.86363636363636365
Nowcasting,direct_phase34_xgboost,1,4,0,22,0
Nowcasting,direct_phase34_xgboost,1,5,0,22,0
Nowcasting,direct_phase34_xgboost,2,1,0,269,0
Nowcasting,direct_phase34_xgboost,2,2,51,269,0.1895910780669145
Nowcasting,direct_phase34_xgboost,2,3,218,269,0.81040892193308545
Nowcasting,direct_phase34_xgboost,2,4,0,269,0
Nowcasting,direct_phase34_xgboost,2,5,0,269,0
Nowcasting,direct_phase34_xgboost,3,1,0,764,0
Nowcasting,direct_phase34_xgboost,3,2,51,764,0.066753926701570682
Nowcasting,direct_phase34_xgboost,3,3,704,764,0.92146596858638741
Nowcasting,direct_phase34_xgboost,3,4,9,764,0.011780104712041885
Nowcasting,direct_phase34_xgboost,3,5,0,764,0
Nowcasting,direct_phase34_xgboost,4,1,0,113,0
Nowcasting,direct_phase34_xgboost,4,2,0,113,0
Nowcasting,direct_phase34_xgboost,4,3,99,113,0.87610619469026552
Nowcasting,direct_phase34_xgboost,4,4,14,113,0.12389380530973451
Nowcasting,direct_phase34_xgboost,4,5,0,113,0
Nowcasting,direct_phase34_xgboost,5,1,0,2,0
Nowcasting,direct_phase34_xgboost,5,2,0,2,0
Nowcasting,direct_phase34_xgboost,5,3,2,2,1
Nowcasting,direct_phase34_xgboost,5,4,0,2,0
Nowcasting,direct_phase34_xgboost,5,5,0,2,0
Nowcasting,xgboost,1,1,0,22,0
Nowcasting,xgboost,1,2,3,22,0.13636363636363635
Nowcasting,xgboost,1,3,19,22,0.86363636363636365
Nowcasting,xgboost,1,4,0,22,0
Nowcasting,xgboost,1,5,0,22,0
Nowcasting,xgboost,2,1,0,269,0
Nowcasting,xgboost,2,2,51,269,0.1895910780669145
Nowcasting,xgboost,2,3,218,269,0.81040892193308545
Nowcasting,xgboost,2,4,0,269,0
Nowcasting,xgboost,2,5,0,269,0
Nowcasting,xgboost,3,1,0,764,0
Nowcasting,xgboost,3,2,51,764,0.066753926701570682
Nowcasting,xgboost,3,3,713,764,0.93324607329842935
Nowcasting,xgboost,3,4,0,764,0
Nowcasting,xgboost,3,5,0,764,0
Nowcasting,xgboost,4,1,0,113,0
Nowcasting,xgboost,4,2,0,113,0
Nowcasting,xgboost,4,3,112,113,0.99115044247787609
Nowcasting,xgboost,4,4,1,113,0.0088495575221238937
Nowcasting,xgboost,4,5,0,113,0
Nowcasting,xgboost,5,1,0,2,0
Nowcasting,xgboost,5,2,0,2,0
Nowcasting,xgboost,5,3,2,2,1
Nowcasting,xgboost,5,4,0,2,0
Nowcasting,xgboost,5,5,0,2,0
