task,method,display_status,n_rows,phase3plus_precision,phase3plus_recall,phase3plus_r2,accuracy,phase3plus_precision_delta_from_base,phase3plus_recall_delta_from_base,phase3plus_r2_delta_from_base,accuracy_delta_from_base
Forecasting,frozen_base,frozen_reference,1170,0.77507029053420806,0.9408418657565415,0.24899857049868279,0.6495726495726496,0,0,0,0
Forecasting,direct_phase34_xgboost,reporting_only,1170,0.77507029053420806,0.9408418657565415,0.24899857049868279,0.652991452991453,0,0,0,0.0034188034188034067
Forecasting,xgboost,rejected,1170,0.77507029053420806,0.9408418657565415,0.24899857049868279,0.6495726495726496,0,0,0,0
Nowcasting,frozen_base,frozen_reference,1170,0.77746478873239433,0.94197952218430037,0.252784701177865,0.65384615384615385,0,0,0,0
Nowcasting,direct_phase34_xgboost,reporting_only,1170,0.77746478873239433,0.94197952218430037,0.252784701177865,0.65726495726495726,0,0,0,0.0034188034188034067
Nowcasting,xgboost,no_rescue,1170,0.77746478873239433,0.94197952218430037,0.252784701177865,0.65384615384615385,0,0,0,0
