task,method,bootstrap_id,sampled_country_count,accuracy_delta,balanced_accuracy_delta,macro_f1_delta,ordinal_mae_delta,phase4_precision_delta,phase4_recall_delta
Forecasting,direct_phase34_xgboost,24,27,0.0035169988276670949,0.025596221959858306,0.044254483038170367,-0.0035169988276670394,-0.40909090909090906,0.14285714285714285
Forecasting,xgboost,24,27,0,0,0,0,0,0
Forecasting,single_score,25,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,25,27,0.004098360655737765,0.020004721904667233,0.030325090637701002,-0.0040983606557377095,<NA>,0.08387096774193549
Forecasting,xgboost,25,27,0,0,0,0,<NA>,0
Forecasting,single_score,26,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,26,27,0.0055970149253731227,0.015433161216293789,0.031465577870719602,-0.0055970149253731227,-0.36363636363636365,0.095238095238095233
Forecasting,xgboost,26,27,0,0,0,0,0,0
Forecasting,single_score,27,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,27,27,0,0.017544673938268751,0.034157600521104586,0,-0.46666666666666667,0.11290322580645161
Forecasting,xgboost,27,27,0,0,0,0,0,0
Forecasting,single_score,28,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,28,27,-0.002014775016789816,-0.00079872204472841712,-0.00033756123885214651,0.0020147750167897605,<NA>,0
Forecasting,xgboost,28,27,0,0,0,0,<NA>,0
Forecasting,single_score,29,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,29,27,0.0048402710551790351,0.021372590854135565,0.03910440179834912,-0.0048402710551790906,-0.36363636363636365,0.11926605504587157
Forecasting,xgboost,29,27,0,0,0,0,0,0
Forecasting,single_score,30,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,30,27,-0.0011435105774728616,0.0097425997425997779,0.02010350689803006,0.0011435105774728616,-0.52173913043478259,0.059523809523809527
Forecasting,xgboost,30,27,0,0,0,0,0,0
Forecasting,single_score,31,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,31,27,0,0.021747518327545678,0.031129041290773957,0,<NA>,0.093023255813953487
Forecasting,xgboost,31,27,0,0,0,0,<NA>,0
Forecasting,single_score,32,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,32,27,-0.0012249897917517849,0.0088467292261661667,0.017986994592527589,0.0012249897917517294,-0.54166666666666674,0.052631578947368418
Forecasting,xgboost,32,27,0,0,0,0,0,0
Forecasting,single_score,33,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,33,27,0.0039840637450199168,0.020963119567770777,0.038220138002823756,-0.0039840637450199168,-0.375,0.11515151515151516
Forecasting,xgboost,33,27,0,0,0,0,0,0
Forecasting,single_score,34,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,34,27,-0.00057836899942165232,0.0088574741841073168,0.018703817386143462,0.00057836899942159681,-0.47999999999999998,0.055276381909547742
Forecasting,xgboost,34,27,0,0,0,0,0,0
Forecasting,single_score,35,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,35,27,0.0048780487804878092,0.046837421837421844,0.060491513561685945,-0.0048780487804878092,<NA>,0.20454545454545456
