task,candidate_id,method,period_id,validation_year,threshold,gate_rows,positive_support,negative_support,true_positive,false_positive,false_negative,true_negative,phase45_precision,phase45_recall,phase45_f1,phase45_f2,true_rescue_actual_phase4,true_rescue_actual_phase5,false_promotion_actual_phase1,false_promotion_actual_phase2,false_promotion_actual_phase3,total_promotions
Forecasting,unweighted,direct_phase45_unweighted,pooled,<NA>,0.015398749150335789,2568,254,2314,176,1074,78,1240,0.14080000000000001,0.69291338582677164,0.23404255319148937,0.38834951456310679,170,6,48,405,621,1250
Forecasting,unweighted,direct_phase45_unweighted,2018,2018,0.015398749150335789,703,78,625,63,477,15,148,0.11666666666666667,0.80769230769230771,0.20388349514563106,0.36971830985915494,59,4,39,234,204,540
Forecasting,unweighted,direct_phase45_unweighted,2019,2019,0.015398749150335789,645,54,591,51,361,3,230,0.12378640776699029,0.94444444444444442,0.21888412017167383,0.40605095541401276,51,0,7,107,247,412
Forecasting,unweighted,direct_phase45_unweighted,2020,2020,0.015398749150335789,690,81,609,38,155,43,454,0.19689119170984457,0.46913580246913578,0.27737226277372262,0.36750483558994196,36,2,0,38,117,193
Forecasting,unweighted,direct_phase45_unweighted,2021,2021,0.015398749150335789,530,41,489,24,81,17,408,0.22857142857142856,0.58536585365853655,0.32876712328767121,0.44609665427509293,24,0,2,26,53,105
Forecasting,sqrt_balance,direct_phase45_sqrt_balance,pooled,<NA>,0.011520697735249996,2568,254,2314,200,1291,54,1023,0.1341381623071764,0.78740157480314965,0.22922636103151864,0.39888312724371761,194,6,48,482,761,1491
Forecasting,sqrt_balance,direct_phase45_sqrt_balance,2018,2018,0.011520697735249996,703,78,625,71,532,7,93,0.11774461028192372,0.91025641025641024,0.20851688693098386,0.38797814207650272,67,4,39,248,245,603
Forecasting,sqrt_balance,direct_phase45_sqrt_balance,2019,2019,0.011520697735249996,645,54,591,52,424,2,167,0.1092436974789916,0.96296296296296291,0.19622641509433963,0.37572254335260113,52,0,7,140,277,476
Forecasting,sqrt_balance,direct_phase45_sqrt_balance,2020,2020,0.011520697735249996,690,81,609,51,204,30,405,0.20000000000000001,0.62962962962962965,0.30357142857142855,0.44041450777202074,49,2,1,57,146,255
Forecasting,sqrt_balance,direct_phase45_sqrt_balance,2021,2021,0.011520697735249996,530,41,489,26,131,15,358,0.16560509554140126,0.63414634146341464,0.26262626262626265,0.40498442367601245,26,0,1,37,93,157
Forecasting,full_balance,direct_phase45_full_balance,pooled,<NA>,0.008295135572552681,2568,254,2314,213,1469,41,845,0.12663495838287753,0.83858267716535428,0.22004132231404958,0.39473684210526316,207,6,55,551,863,1682
Forecasting,full_balance,direct_phase45_full_balance,2018,2018,0.008295135572552681,703,78,625,74,565,4,60,0.11580594679186229,0.94871794871794868,0.20641562064156208,0.3890641430073607,70,4,40,260,265,639
Forecasting,full_balance,direct_phase45_full_balance,2019,2019,0.008295135572552681,645,54,591,53,488,1,103,0.097966728280961188,0.98148148148148151,0.17815126050420169,0.35006605019815057,53,0,10,173,305,541
Forecasting,full_balance,direct_phase45_full_balance,2020,2020,0.008295135572552681,690,81,609,57,264,24,345,0.17757009345794392,0.70370370370370372,0.28358208955223879,0.44186046511627908,55,2,2,77,185,321
Forecasting,full_balance,direct_phase45_full_balance,2021,2021,0.008295135572552681,530,41,489,29,152,12,337,0.16022099447513813,0.70731707317073167,0.26126126126126126,0.42028985507246375,29,0,3,41,108,181
Nowcasting,unweighted,direct_phase45_unweighted,pooled,<NA>,0.015735812194179744,2599,257,2342,178,1080,79,1262,0.14149443561208266,0.69260700389105057,0.23498349834983498,0.38932633420822399,172,6,52,407,621,1258
Nowcasting,unweighted,direct_phase45_unweighted,2018,2018,0.015735812194179744,699,77,622,63,475,14,147,0.1171003717472119,0.81818181818181823,0.20487804878048779,0.37234042553191488,59,4,39,232,204,538
Nowcasting,unweighted,direct_phase45_unweighted,2019,2019,0.015735812194179744,663,53,610,50,368,3,242,0.11961722488038277,0.94339622641509435,0.21231422505307856,0.3968253968253968,50,0,11,111,246,418
Nowcasting,unweighted,direct_phase45_unweighted,2020,2020,0.015735812194179744,695,83,612,40,156,43,456,0.20408163265306123,0.48192771084337349,0.28673835125448027,0.37878787878787878,38,2,0,38,118,196
Nowcasting,unweighted,direct_phase45_unweighted,2021,2021,0.015735812194179744,542,44,498,25,81,19,417,0.23584905660377359,0.56818181818181823,0.33333333333333331,0.4432624113475177,25,0,2,26,53,106
Nowcasting,sqrt_balance,direct_phase45_sqrt_balance,pooled,<NA>,0.0053900716011412442,2599,257,2342,232,1634,25,708,0.12433011789924973,0.90272373540856032,0.21855864342910974,0.40082930200414651,226,6,63,602,969,1866
Nowcasting,sqrt_balance,direct_phase45_sqrt_balance,2018,2018,0.0053900716011412442,699,77,622,76,581,1,41,0.11567732115677321,0.98701298701298701,0.20708446866485014,0.39378238341968913,72,4,42,260,279,657
Nowcasting,sqrt_balance,direct_phase45_sqrt_balance,2019,2019,0.0053900716011412442,663,53,610,53,525,0,85,0.091695501730103809,1,0.16798732171156894,0.33544303797468356,53,0,16,191,318,578
Nowcasting,sqrt_balance,direct_phase45_sqrt_balance,2020,2020,0.0053900716011412442,695,83,612,70,324,13,288,0.17766497461928935,0.84337349397590367,0.29350104821802936,0.48209366391184572,68,2,4,96,224,394
Nowcasting,sqrt_balance,direct_phase45_sqrt_balance,2021,2021,0.0053900716011412442,542,44,498,33,204,11,294,0.13924050632911392,0.75,0.23487544483985764,0.39951573849878935,33,0,1,55,148,237
Nowcasting,full_balance,direct_phase45_full_balance,pooled,<NA>,0.0087549904419574887,2599,257,2342,215,1479,42,863,0.12691853600944511,0.83657587548638135,0.2203997949769349,0.39493019838354149,209,6,65,553,861,1694
Nowcasting,full_balance,direct_phase45_full_balance,2018,2018,0.0087549904419574887,699,77,622,74,560,3,62,0.1167192429022082,0.96103896103896103,0.20815752461322082,0.39278131634819535,70,4,40,256,264,634
Nowcasting,full_balance,direct_phase45_full_balance,2019,2019,0.0087549904419574887,663,53,610,52,501,1,109,0.09403254972875226,0.98113207547169812,0.17161716171617161,0.33986928104575165,52,0,20,179,302,553
Nowcasting,full_balance,direct_phase45_full_balance,2020,2020,0.0087549904419574887,695,83,612,59,266,24,346,0.18153846153846154,0.71084337349397586,0.28921568627450983,0.44901065449010652,57,2,2,77,187,325
Nowcasting,full_balance,direct_phase45_full_balance,2021,2021,0.0087549904419574887,542,44,498,30,152,14,346,0.16483516483516483,0.68181818181818177,0.26548672566371684,0.41899441340782123,30,0,3,41,108,182
