task,method,repetitions,ci_level,interval_method,phase45_precision_delta_lower,phase45_precision_delta_upper,phase45_precision_finite_draws,phase45_recall_delta_lower,phase45_recall_delta_upper,phase45_recall_finite_draws,phase45_f1_delta_lower,phase45_f1_delta_upper,phase45_f1_finite_draws,phase45_f2_delta_lower,phase45_f2_delta_upper,phase45_f2_finite_draws,accuracy_delta_lower,accuracy_delta_upper,accuracy_finite_draws,balanced_accuracy_delta_lower,balanced_accuracy_delta_upper,balanced_accuracy_finite_draws,macro_f1_delta_lower,macro_f1_delta_upper,macro_f1_finite_draws,ordinal_mae_delta_lower,ordinal_mae_delta_upper,ordinal_mae_finite_draws
Forecasting,direct_phase45_full_balance,2000,0.94999999999999996,paired_country_cluster_percentile,-0.85444813807943754,-0.63249928612221595,1244,0.46031746031746029,1,1999,0.076306962757344443,0.47954178340600873,1999,0.16391952309985094,0.68444969393780009,1999,-0.27466521706992558,-0.077206821653827681,2000,0.041911476219585304,0.14504727042951898,2000,-0.019240077639998542,0.071368967203959452,2000,0.13565069440602004,0.40025186928897399,2000
Forecasting,direct_phase45_sqrt_balance,2000,0.94999999999999996,paired_country_cluster_percentile,-0.85472291787067367,-0.62779444444444443,1244,0.31910058027079308,0.965531977600943,1999,0.066018677339432064,0.48526274051262219,1999,0.1291222983658408,0.6811023083560982,1999,-0.22727426497724193,-0.076370482596341729,2000,0.014150962257308792,0.13103414602057609,2000,-0.013336754926916447,0.070544980411271413,2000,0.12459500708294918,0.35451828026535442,2000
Forecasting,direct_phase45_unweighted,2000,0.94999999999999996,paired_country_cluster_percentile,-0.80950540009818361,-0.53603798061962848,1244,0.22568634179821551,0.9827659888004715,1999,0.072198615138782035,0.56709678049343604,1999,0.13185155443386487,0.73916987359054709,1999,-0.16341433617079795,0.0039427544832803555,2000,0.020166771924020579,0.1549747646386376,2000,-0.00069978909537806073,0.10467857606138385,2000,0.032746329757199266,0.25698254472787746,2000
Forecasting,legacy_direct_exact_phase4_050,2000,0.94999999999999996,paired_country_cluster_percentile,-0.65384615384615385,-0.25,1244,0.021276595744680851,0.35303605313092973,1999,0.039606627739057106,0.45454545454545453,1999,0.026115186599486147,0.38261874737284562,1999,-0.0079645051194538602,0.016492683410360864,2000,0.0033995509758846833,0.088664755012586013,2000,0.0074849907025648565,0.092083402217049054,2000,-0.016492683410360951,0.0079645051194539643,2000
Nowcasting,direct_phase45_full_balance,2000,0.94999999999999996,paired_country_cluster_percentile,-0.85359365296236489,-0.63655968632006976,1244,0.46031746031746029,1,1999,0.07691324021247295,0.47552221523456356,1999,0.16391952309985094,0.68272229778777738,1999,-0.27466521706992553,-0.080860407707735657,2000,0.041911476219585249,0.14504727042951898,2000,-0.019611182975871073,0.068999620584172874,2000,0.14101746220488634,0.39704782428956387,2000
Nowcasting,direct_phase45_sqrt_balance,2000,0.94999999999999996,paired_country_cluster_percentile,-0.89085281291893303,-0.70204149298976892,1244,0.47412657502863687,0.9827659888004715,1999,0.053955518018018025,0.40541283794706973,1999,0.11743982777421784,0.62907703424826811,1999,-0.35614133648728558,-0.1831795803094855,2000,0.0020819960636325741,0.099860524519729571,2000,-0.044783082704321672,0.026841360325661031,2000,0.27181439392701034,0.5173989814586778,2000
Nowcasting,direct_phase45_unweighted,2000,0.94999999999999996,paired_country_cluster_percentile,-0.80781685594389174,-0.54278073677744731,1244,0.22568634179821551,0.9827659888004715,1999,0.072163486333161428,0.56100003698203893,1999,0.13179533254480941,0.73415352075878271,1999,-0.16629519454690711,-0.001538029763230198,2000,0.020161883605503809,0.15254350980462225,2000,-0.001030210651204441,0.10257285596159735,2000,0.03718241644483878,0.25387876301897561,2000
Nowcasting,legacy_direct_exact_phase4_050,2000,0.94999999999999996,paired_country_cluster_percentile,-0.65384615384615385,-0.25,1244,0.021276595744680851,0.35303605313092973,1999,0.039606627739057106,0.45454545454545453,1999,0.026115186599486147,0.38261874737284562,1999,-0.0079645051194538602,0.016492683410360972,2000,0.0033995509758846833,0.088664755012586013,2000,0.0074861029406572289,0.092088260920432943,2000,-0.016492683410360951,0.0079645051194539643,2000
