task,method,country_code_3,method_role,selection_status,primary_selected,n_rows,n_gate,accuracy,balanced_accuracy,macro_f1,ordinal_mae,phase3_precision,phase3_recall,phase3_f1,phase4_precision,phase4_recall,phase4_f1,phase5_precision,phase5_recall,phase5_f1,phase45_precision,phase45_recall,phase45_f1,phase45_f2,phase3plus_precision,phase3plus_recall,phase3plus_r2,changed_3_to_4,exact_phase4_rescues,actual_phase5_promoted_to_phase4,false_promotion_actual_phase1,false_promotion_actual_phase2,false_promotion_actual_phase3
Forecasting,direct_phase45_unweighted,ZAF,candidate_sensitivity,selected,False,3,3,0,0,0,1.6666666666666667,0,<NA>,0,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0,<NA>,-17.300000536441853,2,0,0,0,2,0
Forecasting,direct_phase45_unweighted,ZMB,candidate_sensitivity,selected,False,2,2,0,0,0,1,0,<NA>,0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0,<NA>,<NA>,0,0,0,0,0,0
Forecasting,direct_phase45_sqrt_balance,AFG,candidate_sensitivity,selected,True,143,143,0.65734265734265729,0.69779661016949146,0.23811009068330158,0.34265734265734266,0.92592592592592593,0.63559322033898302,0.75376884422110557,0.30645161290322581,0.76000000000000001,0.43678160919540232,<NA>,<NA>,<NA>,0.30645161290322581,0.76000000000000001,0.43678160919540232,0.5864197530864198,1,1,-0.88200582424812168,62,19,0,0,0,43
Forecasting,direct_phase45_sqrt_balance,BDI,candidate_sensitivity,selected,True,31,27,0.38709677419354838,0.36842105263157893,0.1458937198067633,0.64516129032258063,0.38461538461538464,1,0.55555555555555558,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.37037037037037035,1,0.24225600701327521,1,0,0,0,1,0
Forecasting,direct_phase45_sqrt_balance,CAF,candidate_sensitivity,selected,True,34,34,0.52941176470588236,0.51111111111111107,0.17913043478260868,0.52941176470588236,1,0.53333333333333333,0.69565217391304346,0.1111111111111111,1,0.20000000000000001,<NA>,<NA>,<NA>,0.1111111111111111,1,0.20000000000000001,0.38461538461538464,0.94117647058823528,1,0.39973142606167256,18,2,0,0,2,14
Forecasting,direct_phase45_sqrt_balance,COD,candidate_sensitivity,selected,True,124,116,0.38709677419354838,0.23921568627450981,0.16990873533246414,0.87903225806451613,0.69999999999999996,0.59999999999999998,0.64615384615384619,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.58620689655172409,0.97142857142857142,0.014921067978848512,56,0,0,2,28,26
Forecasting,direct_phase45_sqrt_balance,DJI,candidate_sensitivity,selected,True,1,1,0,0,0,1,0,<NA>,0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0,<NA>,<NA>,0,0,0,0,0,0
Forecasting,direct_phase45_sqrt_balance,DOM,candidate_sensitivity,selected,True,3,3,0,0,0,1,0,<NA>,0,<NA>,0,0,<NA>,<NA>,<NA>,<NA>,0,0,0,0.33333333333333331,1,0.1558092145250477,0,0,0,0,0,0
Forecasting,direct_phase45_sqrt_balance,ETH,candidate_sensitivity,selected,True,7,7,0.42857142857142855,0.375,0.13333333333333333,0.7142857142857143,0.59999999999999998,0.75,0.66666666666666663,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.5714285714285714,1,-0.58654612059955635,2,0,0,0,1,1
Forecasting,direct_phase45_sqrt_balance,GTM,candidate_sensitivity,selected,True,31,30,0.45161290322580644,0.52777777777777779,0.14198286413708688,0.54838709677419351,0.43333333333333335,1,0.60465116279069764,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.43333333333333335,1,-0.044527602030524971,0,0,0,0,0,0
Forecasting,direct_phase45_sqrt_balance,HND,candidate_sensitivity,selected,True,9,9,1,1,0.20000000000000001,0,1,1,1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,1,-3.7250003386289761,0,0,0,0,0,0
Forecasting,direct_phase45_sqrt_balance,HTI,candidate_sensitivity,selected,True,14,14,0.5,0.46666666666666662,0.20666666666666664,0.5,0.80000000000000004,0.40000000000000002,0.53333333333333333,0.33333333333333331,1,0.5,<NA>,<NA>,<NA>,0.33333333333333331,1,0.5,0.7142857142857143,0.9285714285714286,1,-0.049207994105949782,9,3,0,0,0,6
Forecasting,direct_phase45_sqrt_balance,KEN,candidate_sensitivity,selected,True,64,53,0.375,0.21467391304347827,0.15644444444444444,0.765625,0.72413793103448276,0.45652173913043476,0.56000000000000005,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.71698113207547165,0.82608695652173914,-0.165188123585569,24,0,0,1,6,17
Forecasting,direct_phase45_sqrt_balance,LBN,candidate_sensitivity,selected,True,9,9,0.1111111111111111,0.0625,0.044444444444444439,1,1,0.125,0.22222222222222221,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.88888888888888884,1,-0.24841583351098206,8,0,0,0,1,7
Forecasting,direct_phase45_sqrt_balance,MDG,candidate_sensitivity,selected,True,19,19,0,0,0,1.1052631578947369,0,0,0,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.78947368421052633,1,-0.31393986873948054,17,0,0,0,2,15
Forecasting,direct_phase45_sqrt_balance,MOZ,candidate_sensitivity,selected,True,17,17,0.11764705882352941,0.090909090909090912,0.057142857142857141,1.1764705882352942,0.66666666666666663,0.18181818181818182,0.2857142857142857,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.6470588235294118,1,-0.028662442325788406,14,0,0,0,5,9
Forecasting,direct_phase45_sqrt_balance,MWI,candidate_sensitivity,selected,True,2,2,0,0,0,2,<NA>,<NA>,<NA>,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0,<NA>,-21.734693079578644,2,0,0,0,2,0
Forecasting,direct_phase45_sqrt_balance,PAK,candidate_sensitivity,selected,True,40,40,0.77500000000000002,0.40789473684210525,0.17714285714285713,0.25,0.96875,0.81578947368421051,0.88571428571428568,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.94999999999999996,1,-0.23413561279108541,8,0,0,0,1,7
Forecasting,direct_phase45_sqrt_balance,SDN,candidate_sensitivity,selected,True,4,4,0,0,0,1,<NA>,0,0,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,1,1,-2.920000187266969,4,0,0,0,0,4
Forecasting,direct_phase45_sqrt_balance,SLV,candidate_sensitivity,selected,True,12,12,0.41666666666666669,0.5,0.11764705882352941,0.58333333333333337,0.41666666666666669,1,0.58823529411764708,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.41666666666666669,1,-0.25485711792537824,0,0,0,0,0,0
Forecasting,direct_phase45_sqrt_balance,SOM,candidate_sensitivity,selected,True,372,302,0.532258064516129,0.31502921060131095,0.24122712850974498,0.532258064516129,0.66804979253112029,0.66528925619834711,0.66666666666666663,0.11475409836065574,0.25,0.15730337078651685,<NA>,<NA>,<NA>,0.11475409836065574,0.25,0.15730337078651685,0.20231213872832371,0.76821192052980136,0.85925925925925928,0.038172817139951354,61,7,0,2,9,43
Forecasting,direct_phase45_sqrt_balance,SSD,candidate_sensitivity,selected,True,130,129,0.60769230769230764,0.34813348416289591,0.24780384078676326,0.42307692307692307,0.84848484848484851,0.41176470588235292,0.5544554455445545,0.52577319587628868,0.98076923076923073,0.68456375838926176,<NA>,0,0,0.54639175257731953,0.98148148148148151,0.70198675496688745,0.84664536741214058,0.93846153846153846,1,0.28370658281179284,96,50,2,0,4,40
Forecasting,direct_phase45_sqrt_balance,SWZ,candidate_sensitivity,selected,True,11,9,0.18181818181818182,0.1111111111111111,0.072727272727272724,1.3636363636363635,0,0,0,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.22222222222222221,1,-2.1940739717601341,8,0,0,0,6,2
Forecasting,direct_phase45_sqrt_balance,TJK,candidate_sensitivity,selected,True,2,2,1,1,0.20000000000000001,0,<NA>,<NA>,<NA>,1,1,1,<NA>,<NA>,<NA>,1,1,1,1,1,1,-14.7600006484986,2,2,0,0,0,0
