task,method,country_code_3,method_role,selection_status,primary_selected,n_rows,n_gate,accuracy,balanced_accuracy,macro_f1,ordinal_mae,phase3_precision,phase3_recall,phase3_f1,phase4_precision,phase4_recall,phase4_f1,phase5_precision,phase5_recall,phase5_f1,phase45_precision,phase45_recall,phase45_f1,phase45_f2,phase3plus_precision,phase3plus_recall,phase3plus_r2,changed_3_to_4,exact_phase4_rescues,actual_phase5_promoted_to_phase4,false_promotion_actual_phase1,false_promotion_actual_phase2,false_promotion_actual_phase3
Forecasting,legacy_direct_exact_phase4_050,LBN,legacy_reporting_only,not_applicable,False,9,9,0.88888888888888884,0.5,0.18823529411764706,0.1111111111111111,0.88888888888888884,1,0.94117647058823528,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.88888888888888884,1,-0.24841583351098206,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,MDG,legacy_reporting_only,not_applicable,False,19,19,0.63157894736842102,0.40000000000000002,0.15483870967741936,0.36842105263157893,0.75,0.80000000000000004,0.77419354838709675,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.78947368421052633,1,-0.31393986873948054,3,0,0,0,0,3
Forecasting,legacy_direct_exact_phase4_050,MOZ,legacy_reporting_only,not_applicable,False,17,17,0.6470588235294118,0.5,0.15714285714285714,0.35294117647058826,0.6470588235294118,1,0.7857142857142857,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.6470588235294118,1,-0.028662442325788406,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,MWI,legacy_reporting_only,not_applicable,False,2,2,0,0,0,1,0,<NA>,0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0,<NA>,-21.734693079578644,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,PAK,legacy_reporting_only,not_applicable,False,40,40,0.94999999999999996,0.5,0.19487179487179487,0.050000000000000003,0.94999999999999996,1,0.97435897435897434,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.94999999999999996,1,-0.23413561279108541,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,SDN,legacy_reporting_only,not_applicable,False,4,4,1,1,0.20000000000000001,0,1,1,1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,1,-2.920000187266969,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,SLV,legacy_reporting_only,not_applicable,False,12,12,0.41666666666666669,0.5,0.11764705882352941,0.58333333333333337,0.41666666666666669,1,0.58823529411764708,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.41666666666666669,1,-0.25485711792537824,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,SOM,legacy_reporting_only,not_applicable,False,372,302,0.62903225806451613,0.29695069820461673,0.22643312101910826,0.40591397849462363,0.67549668874172186,0.84297520661157022,0.75,<NA>,0,0,<NA>,<NA>,<NA>,<NA>,0,0,0,0.76821192052980136,0.85925925925925928,0.038172817139951354,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,SSD,legacy_reporting_only,not_applicable,False,130,129,0.53076923076923077,0.25820135746606337,0.16324429851805838,0.48461538461538461,0.52845528455284552,0.95588235294117652,0.68062827225130895,0.5714285714285714,0.076923076923076927,0.13559322033898305,<NA>,0,0,0.5714285714285714,0.07407407407407407,0.13114754098360656,0.089686098654708515,0.93846153846153846,1,0.28370658281179284,6,3,0,0,0,3
Forecasting,legacy_direct_exact_phase4_050,SWZ,legacy_reporting_only,not_applicable,False,11,9,0.36363636363636365,0.61111111111111116,0.14545454545454545,0.63636363636363635,0.22222222222222221,1,0.36363636363636365,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.22222222222222221,1,-2.1940739717601341,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,TJK,legacy_reporting_only,not_applicable,False,2,2,1,1,0.20000000000000001,0,<NA>,<NA>,<NA>,1,1,1,<NA>,<NA>,<NA>,1,1,1,1,1,1,-14.7600006484986,2,2,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,TZA,legacy_reporting_only,not_applicable,False,1,1,0,0,0,1,0,<NA>,0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0,<NA>,<NA>,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,UGA,legacy_reporting_only,not_applicable,False,49,42,0.77551020408163263,0.5987179487179487,0.24342774146695714,0.22448979591836735,0.83333333333333337,0.89743589743589747,0.86419753086419748,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.83333333333333337,0.89743589743589747,-0.22049968884026283,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,YEM,legacy_reporting_only,not_applicable,False,36,36,0.61111111111111116,0.5,0.15172413793103448,0.3888888888888889,0.61111111111111116,1,0.75862068965517238,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.61111111111111116,1,-0.72960971676299291,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,ZAF,legacy_reporting_only,not_applicable,False,3,3,0,0,0,1,0,<NA>,0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0,<NA>,-17.300000536441853,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,ZMB,legacy_reporting_only,not_applicable,False,2,2,0,0,0,1,0,<NA>,0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0,<NA>,<NA>,0,0,0,0,0,0
Forecasting,direct_phase45_unweighted,AFG,candidate_sensitivity,selected,False,143,143,0.72727272727272729,0.69288135593220335,0.25386177530298071,0.27272727272727271,0.90721649484536082,0.74576271186440679,0.81860465116279069,0.34782608695652173,0.64000000000000001,0.45070422535211269,<NA>,<NA>,<NA>,0.34782608695652173,0.64000000000000001,0.45070422535211269,0.54794520547945202,1,1,-0.88200582424812168,46,16,0,0,0,30
Forecasting,direct_phase45_unweighted,BDI,candidate_sensitivity,selected,False,31,27,0.38709677419354838,0.36842105263157893,0.14906832298136646,0.67741935483870963,0.40000000000000002,1,0.5714285714285714,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.37037037037037035,1,0.24225600701327521,2,0,0,0,2,0
Forecasting,direct_phase45_unweighted,CAF,candidate_sensitivity,selected,False,34,34,0.58823529411764708,0.53333333333333333,0.19444444444444445,0.47058823529411764,1,0.59999999999999998,0.75,0.125,1,0.22222222222222221,<NA>,<NA>,<NA>,0.125,1,0.22222222222222221,0.41666666666666669,0.94117647058823528,1,0.39973142606167256,16,2,0,0,2,12
Forecasting,direct_phase45_unweighted,COD,candidate_sensitivity,selected,False,124,116,0.41935483870967744,0.25826330532212888,0.17025543089042733,0.782258064516129,0.63888888888888884,0.65714285714285714,0.647887323943662,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.58620689655172409,0.97142857142857142,0.014921067978848512,44,0,0,1,21,22
Forecasting,direct_phase45_unweighted,DJI,candidate_sensitivity,selected,False,1,1,0,0,0,1,0,<NA>,0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0,<NA>,<NA>,0,0,0,0,0,0
Forecasting,direct_phase45_unweighted,DOM,candidate_sensitivity,selected,False,3,3,0,0,0,1,0,<NA>,0,<NA>,0,0,<NA>,<NA>,<NA>,<NA>,0,0,0,0.33333333333333331,1,0.1558092145250477,0,0,0,0,0,0
Forecasting,direct_phase45_unweighted,ETH,candidate_sensitivity,selected,False,7,7,0.5714285714285714,0.5,0.14545454545454545,0.42857142857142855,0.5714285714285714,1,0.72727272727272729,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.5714285714285714,1,-0.58654612059955635,0,0,0,0,0,0
Forecasting,direct_phase45_unweighted,GTM,candidate_sensitivity,selected,False,31,30,0.45161290322580644,0.52777777777777779,0.14198286413708688,0.54838709677419351,0.43333333333333335,1,0.60465116279069764,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.43333333333333335,1,-0.044527602030524971,0,0,0,0,0,0
Forecasting,direct_phase45_unweighted,HND,candidate_sensitivity,selected,False,9,9,1,1,0.20000000000000001,0,1,1,1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,1,-3.7250003386289761,0,0,0,0,0,0
Forecasting,direct_phase45_unweighted,HTI,candidate_sensitivity,selected,False,14,14,0.7142857142857143,0.56666666666666665,0.28888888888888886,0.2857142857142857,0.875,0.69999999999999996,0.77777777777777779,0.5,1,0.66666666666666663,<NA>,<NA>,<NA>,0.5,1,0.66666666666666663,0.83333333333333337,0.9285714285714286,1,-0.049207994105949782,6,3,0,0,0,3
Forecasting,direct_phase45_unweighted,KEN,candidate_sensitivity,selected,False,64,53,0.421875,0.23641304347826086,0.16151761517615176,0.65625,0.66666666666666663,0.52173913043478259,0.58536585365853655,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.71698113207547165,0.82608695652173914,-0.165188123585569,17,0,0,0,3,14
Forecasting,direct_phase45_unweighted,LBN,candidate_sensitivity,selected,False,9,9,0.1111111111111111,0.0625,0.044444444444444439,1,1,0.125,0.22222222222222221,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.88888888888888884,1,-0.24841583351098206,8,0,0,0,1,7
