task,candidate_id,method,selection_status,threshold_rank,threshold,is_above_max_reference,phase45_precision,phase45_recall,phase45_f1,phase45_f2,false_promotion_actual_phase12,total_promotions,primary_selected,final_training_negative_count,final_training_positive_count,final_class_ratio,final_positive_row_weight
Forecasting,full_balance,direct_phase45_full_balance,selected,1659,0.008295135572552681,False,0.12663495838287753,0.83858267716535428,0.22004132231404958,0.39473684210526316,606,1682,False,2149,381,5.6404199475065617,5.6404199475065617
Forecasting,sqrt_balance,direct_phase45_sqrt_balance,selected,1471,0.011520697735249996,False,0.1341381623071764,0.78740157480314965,0.22922636103151864,0.39888312724371761,530,1491,True,2149,381,5.6404199475065617,2.3749568306616777
Forecasting,unweighted,direct_phase45_unweighted,selected,1232,0.015398749150335789,False,0.14080000000000001,0.69291338582677164,0.23404255319148937,0.38834951456310679,453,1250,False,2149,381,5.6404199475065617,1
Nowcasting,full_balance,direct_phase45_full_balance,selected,1671,0.0087549904419574887,False,0.12691853600944511,0.83657587548638135,0.2203997949769349,0.39493019838354149,618,1694,False,2149,381,5.6404199475065617,5.6404199475065617
Nowcasting,sqrt_balance,direct_phase45_sqrt_balance,selected,1837,0.0053900716011412442,False,0.12433011789924973,0.90272373540856032,0.21855864342910974,0.40082930200414651,665,1866,True,2149,381,5.6404199475065617,2.3749568306616777
Nowcasting,unweighted,direct_phase45_unweighted,selected,1240,0.015735812194179744,False,0.14149443561208266,0.69260700389105057,0.23498349834983498,0.38932633420822399,459,1258,False,2149,381,5.6404199475065617,1
