population_scope,task,method,actual_binary,predicted_binary,count,actual_row_total,actual_row_share
gate,Forecasting,frozen_base,0,0,952,952,1
gate,Forecasting,frozen_base,0,1,0,952,0
gate,Forecasting,frozen_base,1,0,114,114,1
gate,Forecasting,frozen_base,1,1,0,114,0
benchmark,Forecasting,frozen_base,0,0,1055,1055,1
benchmark,Forecasting,frozen_base,0,1,0,1055,0
benchmark,Forecasting,frozen_base,1,0,114,115,0.99130434782608701
benchmark,Forecasting,frozen_base,1,1,1,115,0.0086956521739130436
gate,Forecasting,legacy_direct_exact_phase4_050,0,0,943,952,0.99054621848739499
gate,Forecasting,legacy_direct_exact_phase4_050,0,1,9,952,0.0094537815126050414
gate,Forecasting,legacy_direct_exact_phase4_050,1,0,101,114,0.88596491228070173
gate,Forecasting,legacy_direct_exact_phase4_050,1,1,13,114,0.11403508771929824
benchmark,Forecasting,legacy_direct_exact_phase4_050,0,0,1046,1055,0.99146919431279623
benchmark,Forecasting,legacy_direct_exact_phase4_050,0,1,9,1055,0.0085308056872037911
benchmark,Forecasting,legacy_direct_exact_phase4_050,1,0,101,115,0.87826086956521743
benchmark,Forecasting,legacy_direct_exact_phase4_050,1,1,14,115,0.12173913043478261
gate,Forecasting,direct_phase45_unweighted,0,0,734,952,0.77100840336134457
gate,Forecasting,direct_phase45_unweighted,0,1,218,952,0.22899159663865545
gate,Forecasting,direct_phase45_unweighted,1,0,34,114,0.2982456140350877
gate,Forecasting,direct_phase45_unweighted,1,1,80,114,0.70175438596491224
benchmark,Forecasting,direct_phase45_unweighted,0,0,837,1055,0.79336492890995258
benchmark,Forecasting,direct_phase45_unweighted,0,1,218,1055,0.20663507109004739
benchmark,Forecasting,direct_phase45_unweighted,1,0,34,115,0.29565217391304349
benchmark,Forecasting,direct_phase45_unweighted,1,1,81,115,0.70434782608695656
gate,Forecasting,direct_phase45_sqrt_balance,0,0,622,952,0.65336134453781514
gate,Forecasting,direct_phase45_sqrt_balance,0,1,330,952,0.34663865546218486
gate,Forecasting,direct_phase45_sqrt_balance,1,0,29,114,0.25438596491228072
gate,Forecasting,direct_phase45_sqrt_balance,1,1,85,114,0.74561403508771928
benchmark,Forecasting,direct_phase45_sqrt_balance,0,0,725,1055,0.6872037914691943
benchmark,Forecasting,direct_phase45_sqrt_balance,0,1,330,1055,0.3127962085308057
benchmark,Forecasting,direct_phase45_sqrt_balance,1,0,29,115,0.25217391304347825
benchmark,Forecasting,direct_phase45_sqrt_balance,1,1,86,115,0.74782608695652175
gate,Forecasting,direct_phase45_full_balance,0,0,586,952,0.61554621848739499
gate,Forecasting,direct_phase45_full_balance,0,1,366,952,0.38445378151260506
gate,Forecasting,direct_phase45_full_balance,1,0,23,114,0.20175438596491227
gate,Forecasting,direct_phase45_full_balance,1,1,91,114,0.79824561403508776
benchmark,Forecasting,direct_phase45_full_balance,0,0,689,1055,0.65308056872037912
benchmark,Forecasting,direct_phase45_full_balance,0,1,366,1055,0.34691943127962083
benchmark,Forecasting,direct_phase45_full_balance,1,0,23,115,0.20000000000000001
benchmark,Forecasting,direct_phase45_full_balance,1,1,92,115,0.80000000000000004
gate,Nowcasting,frozen_base,0,0,950,950,1
gate,Nowcasting,frozen_base,0,1,0,950,0
gate,Nowcasting,frozen_base,1,0,114,114,1
gate,Nowcasting,frozen_base,1,1,0,114,0
benchmark,Nowcasting,frozen_base,0,0,1055,1055,1
benchmark,Nowcasting,frozen_base,0,1,0,1055,0
benchmark,Nowcasting,frozen_base,1,0,114,115,0.99130434782608701
benchmark,Nowcasting,frozen_base,1,1,1,115,0.0086956521739130436
gate,Nowcasting,legacy_direct_exact_phase4_050,0,0,941,950,0.9905263157894737
gate,Nowcasting,legacy_direct_exact_phase4_050,0,1,9,950,0.0094736842105263164
gate,Nowcasting,legacy_direct_exact_phase4_050,1,0,101,114,0.88596491228070173
gate,Nowcasting,legacy_direct_exact_phase4_050,1,1,13,114,0.11403508771929824
benchmark,Nowcasting,legacy_direct_exact_phase4_050,0,0,1046,1055,0.99146919431279623
benchmark,Nowcasting,legacy_direct_exact_phase4_050,0,1,9,1055,0.0085308056872037911
benchmark,Nowcasting,legacy_direct_exact_phase4_050,1,0,101,115,0.87826086956521743
benchmark,Nowcasting,legacy_direct_exact_phase4_050,1,1,14,115,0.12173913043478261
gate,Nowcasting,direct_phase45_unweighted,0,0,731,950,0.76947368421052631
gate,Nowcasting,direct_phase45_unweighted,0,1,219,950,0.23052631578947369
gate,Nowcasting,direct_phase45_unweighted,1,0,34,114,0.2982456140350877
gate,Nowcasting,direct_phase45_unweighted,1,1,80,114,0.70175438596491224
benchmark,Nowcasting,direct_phase45_unweighted,0,0,836,1055,0.79241706161137437
benchmark,Nowcasting,direct_phase45_unweighted,0,1,219,1055,0.2075829383886256
benchmark,Nowcasting,direct_phase45_unweighted,1,0,34,115,0.29565217391304349
benchmark,Nowcasting,direct_phase45_unweighted,1,1,81,115,0.70434782608695656
gate,Nowcasting,direct_phase45_sqrt_balance,0,0,428,950,0.45052631578947366
gate,Nowcasting,direct_phase45_sqrt_balance,0,1,522,950,0.54947368421052634
gate,Nowcasting,direct_phase45_sqrt_balance,1,0,19,114,0.16666666666666666
gate,Nowcasting,direct_phase45_sqrt_balance,1,1,95,114,0.83333333333333337
benchmark,Nowcasting,direct_phase45_sqrt_balance,0,0,533,1055,0.50521327014218009
benchmark,Nowcasting,direct_phase45_sqrt_balance,0,1,522,1055,0.49478672985781991
benchmark,Nowcasting,direct_phase45_sqrt_balance,1,0,19,115,0.16521739130434782
benchmark,Nowcasting,direct_phase45_sqrt_balance,1,1,96,115,0.83478260869565213
gate,Nowcasting,direct_phase45_full_balance,0,0,583,950,0.61368421052631583
gate,Nowcasting,direct_phase45_full_balance,0,1,367,950,0.38631578947368422
gate,Nowcasting,direct_phase45_full_balance,1,0,23,114,0.20175438596491227
gate,Nowcasting,direct_phase45_full_balance,1,1,91,114,0.79824561403508776
benchmark,Nowcasting,direct_phase45_full_balance,0,0,688,1055,0.65213270142180091
benchmark,Nowcasting,direct_phase45_full_balance,0,1,367,1055,0.34786729857819904
benchmark,Nowcasting,direct_phase45_full_balance,1,0,23,115,0.20000000000000001
benchmark,Nowcasting,direct_phase45_full_balance,1,1,92,115,0.80000000000000004
