task,method,actual_phase,predicted_phase,count,actual_row_total,actual_row_share
Forecasting,direct_phase45_unweighted,5,3,0,2,0
Forecasting,direct_phase45_unweighted,5,4,2,2,1
Forecasting,direct_phase45_unweighted,5,5,0,2,0
Forecasting,direct_phase45_sqrt_balance,1,1,0,22,0
Forecasting,direct_phase45_sqrt_balance,1,2,4,22,0.18181818181818182
Forecasting,direct_phase45_sqrt_balance,1,3,13,22,0.59090909090909094
Forecasting,direct_phase45_sqrt_balance,1,4,5,22,0.22727272727272727
Forecasting,direct_phase45_sqrt_balance,1,5,0,22,0
Forecasting,direct_phase45_sqrt_balance,2,1,0,269,0
Forecasting,direct_phase45_sqrt_balance,2,2,47,269,0.17472118959107807
Forecasting,direct_phase45_sqrt_balance,2,3,142,269,0.52788104089219334
Forecasting,direct_phase45_sqrt_balance,2,4,80,269,0.29739776951672864
Forecasting,direct_phase45_sqrt_balance,2,5,0,269,0
Forecasting,direct_phase45_sqrt_balance,3,1,0,764,0
Forecasting,direct_phase45_sqrt_balance,3,2,52,764,0.068062827225130892
Forecasting,direct_phase45_sqrt_balance,3,3,467,764,0.61125654450261779
Forecasting,direct_phase45_sqrt_balance,3,4,245,764,0.3206806282722513
Forecasting,direct_phase45_sqrt_balance,3,5,0,764,0
Forecasting,direct_phase45_sqrt_balance,4,1,0,113,0
Forecasting,direct_phase45_sqrt_balance,4,2,0,113,0
Forecasting,direct_phase45_sqrt_balance,4,3,29,113,0.25663716814159293
Forecasting,direct_phase45_sqrt_balance,4,4,84,113,0.74336283185840712
Forecasting,direct_phase45_sqrt_balance,4,5,0,113,0
Forecasting,direct_phase45_sqrt_balance,5,1,0,2,0
Forecasting,direct_phase45_sqrt_balance,5,2,0,2,0
Forecasting,direct_phase45_sqrt_balance,5,3,0,2,0
Forecasting,direct_phase45_sqrt_balance,5,4,2,2,1
Forecasting,direct_phase45_sqrt_balance,5,5,0,2,0
Forecasting,direct_phase45_full_balance,1,1,0,22,0
Forecasting,direct_phase45_full_balance,1,2,4,22,0.18181818181818182
Forecasting,direct_phase45_full_balance,1,3,13,22,0.59090909090909094
Forecasting,direct_phase45_full_balance,1,4,5,22,0.22727272727272727
Forecasting,direct_phase45_full_balance,1,5,0,22,0
Forecasting,direct_phase45_full_balance,2,1,0,269,0
Forecasting,direct_phase45_full_balance,2,2,47,269,0.17472118959107807
Forecasting,direct_phase45_full_balance,2,3,133,269,0.49442379182156132
Forecasting,direct_phase45_full_balance,2,4,89,269,0.33085501858736061
Forecasting,direct_phase45_full_balance,2,5,0,269,0
Forecasting,direct_phase45_full_balance,3,1,0,764,0
Forecasting,direct_phase45_full_balance,3,2,52,764,0.068062827225130892
Forecasting,direct_phase45_full_balance,3,3,440,764,0.5759162303664922
Forecasting,direct_phase45_full_balance,3,4,272,764,0.35602094240837695
Forecasting,direct_phase45_full_balance,3,5,0,764,0
Forecasting,direct_phase45_full_balance,4,1,0,113,0
Forecasting,direct_phase45_full_balance,4,2,0,113,0
Forecasting,direct_phase45_full_balance,4,3,23,113,0.20353982300884957
Forecasting,direct_phase45_full_balance,4,4,90,113,0.79646017699115046
Forecasting,direct_phase45_full_balance,4,5,0,113,0
Forecasting,direct_phase45_full_balance,5,1,0,2,0
Forecasting,direct_phase45_full_balance,5,2,0,2,0
Forecasting,direct_phase45_full_balance,5,3,0,2,0
Forecasting,direct_phase45_full_balance,5,4,2,2,1
Forecasting,direct_phase45_full_balance,5,5,0,2,0
Nowcasting,frozen_base,1,1,0,22,0
Nowcasting,frozen_base,1,2,3,22,0.13636363636363635
Nowcasting,frozen_base,1,3,19,22,0.86363636363636365
Nowcasting,frozen_base,1,4,0,22,0
Nowcasting,frozen_base,1,5,0,22,0
Nowcasting,frozen_base,2,1,0,269,0
Nowcasting,frozen_base,2,2,51,269,0.1895910780669145
Nowcasting,frozen_base,2,3,218,269,0.81040892193308545
Nowcasting,frozen_base,2,4,0,269,0
Nowcasting,frozen_base,2,5,0,269,0
Nowcasting,frozen_base,3,1,0,764,0
Nowcasting,frozen_base,3,2,51,764,0.066753926701570682
Nowcasting,frozen_base,3,3,713,764,0.93324607329842935
Nowcasting,frozen_base,3,4,0,764,0
Nowcasting,frozen_base,3,5,0,764,0
Nowcasting,frozen_base,4,1,0,113,0
Nowcasting,frozen_base,4,2,0,113,0
Nowcasting,frozen_base,4,3,112,113,0.99115044247787609
Nowcasting,frozen_base,4,4,1,113,0.0088495575221238937
Nowcasting,frozen_base,4,5,0,113,0
Nowcasting,frozen_base,5,1,0,2,0
Nowcasting,frozen_base,5,2,0,2,0
Nowcasting,frozen_base,5,3,2,2,1
Nowcasting,frozen_base,5,4,0,2,0
Nowcasting,frozen_base,5,5,0,2,0
Nowcasting,legacy_direct_exact_phase4_050,1,1,0,22,0
Nowcasting,legacy_direct_exact_phase4_050,1,2,3,22,0.13636363636363635
Nowcasting,legacy_direct_exact_phase4_050,1,3,19,22,0.86363636363636365
Nowcasting,legacy_direct_exact_phase4_050,1,4,0,22,0
Nowcasting,legacy_direct_exact_phase4_050,1,5,0,22,0
Nowcasting,legacy_direct_exact_phase4_050,2,1,0,269,0
Nowcasting,legacy_direct_exact_phase4_050,2,2,51,269,0.1895910780669145
Nowcasting,legacy_direct_exact_phase4_050,2,3,218,269,0.81040892193308545
Nowcasting,legacy_direct_exact_phase4_050,2,4,0,269,0
Nowcasting,legacy_direct_exact_phase4_050,2,5,0,269,0
Nowcasting,legacy_direct_exact_phase4_050,3,1,0,764,0
Nowcasting,legacy_direct_exact_phase4_050,3,2,51,764,0.066753926701570682
Nowcasting,legacy_direct_exact_phase4_050,3,3,704,764,0.92146596858638741
Nowcasting,legacy_direct_exact_phase4_050,3,4,9,764,0.011780104712041885
Nowcasting,legacy_direct_exact_phase4_050,3,5,0,764,0
Nowcasting,legacy_direct_exact_phase4_050,4,1,0,113,0
Nowcasting,legacy_direct_exact_phase4_050,4,2,0,113,0
Nowcasting,legacy_direct_exact_phase4_050,4,3,99,113,0.87610619469026552
Nowcasting,legacy_direct_exact_phase4_050,4,4,14,113,0.12389380530973451
Nowcasting,legacy_direct_exact_phase4_050,4,5,0,113,0
Nowcasting,legacy_direct_exact_phase4_050,5,1,0,2,0
Nowcasting,legacy_direct_exact_phase4_050,5,2,0,2,0
Nowcasting,legacy_direct_exact_phase4_050,5,3,2,2,1
Nowcasting,legacy_direct_exact_phase4_050,5,4,0,2,0
Nowcasting,legacy_direct_exact_phase4_050,5,5,0,2,0
Nowcasting,direct_phase45_unweighted,1,1,0,22,0
Nowcasting,direct_phase45_unweighted,1,2,3,22,0.13636363636363635
Nowcasting,direct_phase45_unweighted,1,3,18,22,0.81818181818181823
Nowcasting,direct_phase45_unweighted,1,4,1,22,0.045454545454545456
Nowcasting,direct_phase45_unweighted,1,5,0,22,0
Nowcasting,direct_phase45_unweighted,2,1,0,269,0
Nowcasting,direct_phase45_unweighted,2,2,51,269,0.1895910780669145
Nowcasting,direct_phase45_unweighted,2,3,158,269,0.58736059479553904
Nowcasting,direct_phase45_unweighted,2,4,60,269,0.22304832713754646
Nowcasting,direct_phase45_unweighted,2,5,0,269,0
Nowcasting,direct_phase45_unweighted,3,1,0,764,0
Nowcasting,direct_phase45_unweighted,3,2,51,764,0.066753926701570682
Nowcasting,direct_phase45_unweighted,3,3,555,764,0.72643979057591623
Nowcasting,direct_phase45_unweighted,3,4,158,764,0.20680628272251309
Nowcasting,direct_phase45_unweighted,3,5,0,764,0
Nowcasting,direct_phase45_unweighted,4,1,0,113,0
Nowcasting,direct_phase45_unweighted,4,2,0,113,0
Nowcasting,direct_phase45_unweighted,4,3,34,113,0.30088495575221241
Nowcasting,direct_phase45_unweighted,4,4,79,113,0.69911504424778759
Nowcasting,direct_phase45_unweighted,4,5,0,113,0
Nowcasting,direct_phase45_unweighted,5,1,0,2,0
Nowcasting,direct_phase45_unweighted,5,2,0,2,0
Nowcasting,direct_phase45_unweighted,5,3,0,2,0
Nowcasting,direct_phase45_unweighted,5,4,2,2,1
Nowcasting,direct_phase45_unweighted,5,5,0,2,0
Nowcasting,direct_phase45_sqrt_balance,1,1,0,22,0
Nowcasting,direct_phase45_sqrt_balance,1,2,3,22,0.13636363636363635
Nowcasting,direct_phase45_sqrt_balance,1,3,7,22,0.31818181818181818
Nowcasting,direct_phase45_sqrt_balance,1,4,12,22,0.54545454545454541
Nowcasting,direct_phase45_sqrt_balance,1,5,0,22,0
Nowcasting,direct_phase45_sqrt_balance,2,1,0,269,0
Nowcasting,direct_phase45_sqrt_balance,2,2,51,269,0.1895910780669145
Nowcasting,direct_phase45_sqrt_balance,2,3,101,269,0.37546468401486988
Nowcasting,direct_phase45_sqrt_balance,2,4,117,269,0.43494423791821563
Nowcasting,direct_phase45_sqrt_balance,2,5,0,269,0
Nowcasting,direct_phase45_sqrt_balance,3,1,0,764,0
Nowcasting,direct_phase45_sqrt_balance,3,2,51,764,0.066753926701570682
Nowcasting,direct_phase45_sqrt_balance,3,3,320,764,0.41884816753926701
Nowcasting,direct_phase45_sqrt_balance,3,4,393,764,0.51439790575916233
Nowcasting,direct_phase45_sqrt_balance,3,5,0,764,0
Nowcasting,direct_phase45_sqrt_balance,4,1,0,113,0
Nowcasting,direct_phase45_sqrt_balance,4,2,0,113,0
Nowcasting,direct_phase45_sqrt_balance,4,3,19,113,0.16814159292035399
Nowcasting,direct_phase45_sqrt_balance,4,4,94,113,0.83185840707964598
Nowcasting,direct_phase45_sqrt_balance,4,5,0,113,0
Nowcasting,direct_phase45_sqrt_balance,5,1,0,2,0
Nowcasting,direct_phase45_sqrt_balance,5,2,0,2,0
Nowcasting,direct_phase45_sqrt_balance,5,3,0,2,0
Nowcasting,direct_phase45_sqrt_balance,5,4,2,2,1
Nowcasting,direct_phase45_sqrt_balance,5,5,0,2,0
Nowcasting,direct_phase45_full_balance,1,1,0,22,0
Nowcasting,direct_phase45_full_balance,1,2,3,22,0.13636363636363635
Nowcasting,direct_phase45_full_balance,1,3,14,22,0.63636363636363635
Nowcasting,direct_phase45_full_balance,1,4,5,22,0.22727272727272727
Nowcasting,direct_phase45_full_balance,1,5,0,22,0
Nowcasting,direct_phase45_full_balance,2,1,0,269,0
Nowcasting,direct_phase45_full_balance,2,2,51,269,0.1895910780669145
Nowcasting,direct_phase45_full_balance,2,3,130,269,0.48327137546468402
Nowcasting,direct_phase45_full_balance,2,4,88,269,0.32713754646840149
Nowcasting,direct_phase45_full_balance,2,5,0,269,0
Nowcasting,direct_phase45_full_balance,3,1,0,764,0
Nowcasting,direct_phase45_full_balance,3,2,51,764,0.066753926701570682
Nowcasting,direct_phase45_full_balance,3,3,439,764,0.57460732984293195
Nowcasting,direct_phase45_full_balance,3,4,274,764,0.3586387434554974
Nowcasting,direct_phase45_full_balance,3,5,0,764,0
Nowcasting,direct_phase45_full_balance,4,1,0,113,0
Nowcasting,direct_phase45_full_balance,4,2,0,113,0
Nowcasting,direct_phase45_full_balance,4,3,23,113,0.20353982300884957
Nowcasting,direct_phase45_full_balance,4,4,90,113,0.79646017699115046
Nowcasting,direct_phase45_full_balance,4,5,0,113,0
Nowcasting,direct_phase45_full_balance,5,1,0,2,0
Nowcasting,direct_phase45_full_balance,5,2,0,2,0
Nowcasting,direct_phase45_full_balance,5,3,0,2,0
Nowcasting,direct_phase45_full_balance,5,4,2,2,1
Nowcasting,direct_phase45_full_balance,5,5,0,2,0
