task,method,actual_phase,predicted_phase,count,actual_row_total,actual_row_share
Forecasting,frozen_base,1,1,0,22,0
Forecasting,frozen_base,1,2,4,22,0.18181818181818182
Forecasting,frozen_base,1,3,18,22,0.81818181818181823
Forecasting,frozen_base,1,4,0,22,0
Forecasting,frozen_base,1,5,0,22,0
Forecasting,frozen_base,2,1,0,269,0
Forecasting,frozen_base,2,2,47,269,0.17472118959107807
Forecasting,frozen_base,2,3,222,269,0.82527881040892193
Forecasting,frozen_base,2,4,0,269,0
Forecasting,frozen_base,2,5,0,269,0
Forecasting,frozen_base,3,1,0,764,0
Forecasting,frozen_base,3,2,52,764,0.068062827225130892
Forecasting,frozen_base,3,3,712,764,0.93193717277486909
Forecasting,frozen_base,3,4,0,764,0
Forecasting,frozen_base,3,5,0,764,0
Forecasting,frozen_base,4,1,0,113,0
Forecasting,frozen_base,4,2,0,113,0
Forecasting,frozen_base,4,3,112,113,0.99115044247787609
Forecasting,frozen_base,4,4,1,113,0.0088495575221238937
Forecasting,frozen_base,4,5,0,113,0
Forecasting,frozen_base,5,1,0,2,0
Forecasting,frozen_base,5,2,0,2,0
Forecasting,frozen_base,5,3,2,2,1
Forecasting,frozen_base,5,4,0,2,0
Forecasting,frozen_base,5,5,0,2,0
Forecasting,legacy_direct_exact_phase4_050,1,1,0,22,0
Forecasting,legacy_direct_exact_phase4_050,1,2,4,22,0.18181818181818182
Forecasting,legacy_direct_exact_phase4_050,1,3,18,22,0.81818181818181823
Forecasting,legacy_direct_exact_phase4_050,1,4,0,22,0
Forecasting,legacy_direct_exact_phase4_050,1,5,0,22,0
Forecasting,legacy_direct_exact_phase4_050,2,1,0,269,0
Forecasting,legacy_direct_exact_phase4_050,2,2,47,269,0.17472118959107807
Forecasting,legacy_direct_exact_phase4_050,2,3,222,269,0.82527881040892193
Forecasting,legacy_direct_exact_phase4_050,2,4,0,269,0
Forecasting,legacy_direct_exact_phase4_050,2,5,0,269,0
Forecasting,legacy_direct_exact_phase4_050,3,1,0,764,0
Forecasting,legacy_direct_exact_phase4_050,3,2,52,764,0.068062827225130892
Forecasting,legacy_direct_exact_phase4_050,3,3,703,764,0.92015706806282727
Forecasting,legacy_direct_exact_phase4_050,3,4,9,764,0.011780104712041885
Forecasting,legacy_direct_exact_phase4_050,3,5,0,764,0
Forecasting,legacy_direct_exact_phase4_050,4,1,0,113,0
Forecasting,legacy_direct_exact_phase4_050,4,2,0,113,0
Forecasting,legacy_direct_exact_phase4_050,4,3,99,113,0.87610619469026552
Forecasting,legacy_direct_exact_phase4_050,4,4,14,113,0.12389380530973451
Forecasting,legacy_direct_exact_phase4_050,4,5,0,113,0
Forecasting,legacy_direct_exact_phase4_050,5,1,0,2,0
Forecasting,legacy_direct_exact_phase4_050,5,2,0,2,0
Forecasting,legacy_direct_exact_phase4_050,5,3,2,2,1
Forecasting,legacy_direct_exact_phase4_050,5,4,0,2,0
Forecasting,legacy_direct_exact_phase4_050,5,5,0,2,0
Forecasting,direct_phase45_unweighted,1,1,0,22,0
Forecasting,direct_phase45_unweighted,1,2,4,22,0.18181818181818182
Forecasting,direct_phase45_unweighted,1,3,17,22,0.77272727272727271
Forecasting,direct_phase45_unweighted,1,4,1,22,0.045454545454545456
Forecasting,direct_phase45_unweighted,1,5,0,22,0
Forecasting,direct_phase45_unweighted,2,1,0,269,0
Forecasting,direct_phase45_unweighted,2,2,47,269,0.17472118959107807
Forecasting,direct_phase45_unweighted,2,3,160,269,0.59479553903345728
Forecasting,direct_phase45_unweighted,2,4,62,269,0.23048327137546468
Forecasting,direct_phase45_unweighted,2,5,0,269,0
Forecasting,direct_phase45_unweighted,3,1,0,764,0
Forecasting,direct_phase45_unweighted,3,2,52,764,0.068062827225130892
Forecasting,direct_phase45_unweighted,3,3,557,764,0.72905759162303663
Forecasting,direct_phase45_unweighted,3,4,155,764,0.20287958115183247
Forecasting,direct_phase45_unweighted,3,5,0,764,0
Forecasting,direct_phase45_unweighted,4,1,0,113,0
Forecasting,direct_phase45_unweighted,4,2,0,113,0
Forecasting,direct_phase45_unweighted,4,3,34,113,0.30088495575221241
Forecasting,direct_phase45_unweighted,4,4,79,113,0.69911504424778759
Forecasting,direct_phase45_unweighted,4,5,0,113,0
Forecasting,direct_phase45_unweighted,5,1,0,2,0
Forecasting,direct_phase45_unweighted,5,2,0,2,0
