delta3,delta4,n_rows,ordinal_mae,balanced_accuracy,phase4_support,phase4_recall,phase3plus_precision,phase3plus_recall,distribution_discrepancy,actual_phase1_count,actual_phase2_count,actual_phase3_count,actual_phase4_count,actual_phase5_count,predicted_phase1_count,predicted_phase2_count,predicted_phase3_count,predicted_phase4_count,predicted_phase5_count,ordinal_mae_change,balanced_accuracy_change,phase4_recall_change,phase3plus_precision_change,phase3plus_recall_change,distribution_discrepancy_change,offset_l1,mae_improved,phase4_recall_improved,balanced_accuracy_not_lower,phase3plus_precision_within_tolerance,phase3plus_recall_within_tolerance,accepted,selection_rank,selected
0,0,496,0.4213709677419355,0.30129716981132076,30,0,0.66666666666666663,0.84745762711864403,0.44354838709677419,9,192,265,30,0,0,121,375,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,1,True
-0.050000000000000003,0,496,0.36088709677419356,0.3568985849056604,30,0,0.83549783549783552,0.65423728813559323,0.29435483870967749,9,192,265,30,0,0,265,231,0,0,-0.060483870967741937,0.055601415094339635,0,0.16883116883116889,-0.1932203389830508,-0.1491935483870967,0.050000000000000003,True,False,True,True,False,False,<NA>,False
-0.050000000000000003,0.01,496,0.36088709677419356,0.3568985849056604,30,0,0.83549783549783552,0.65423728813559323,0.29435483870967749,9,192,265,30,0,0,265,231,0,0,-0.060483870967741937,0.055601415094339635,0,0.16883116883116889,-0.1932203389830508,-0.1491935483870967,0.060000000000000005,True,False,True,True,False,False,<NA>,False
-0.050000000000000003,0.02,496,0.36290322580645162,0.35595518867924525,30,0,0.83549783549783552,0.65423728813559323,0.29435483870967749,9,192,265,30,0,0,265,230,1,0,-0.058467741935483875,0.054658018867924485,0,0.16883116883116889,-0.1932203389830508,-0.1491935483870967,0.070000000000000007,True,False,True,True,False,False,<NA>,False
-0.050000000000000003,0.029999999999999999,496,0.36693548387096775,0.36145833333333338,30,0.033333333333333333,0.83549783549783552,0.65423728813559323,0.29435483870967749,9,192,265,30,0,0,265,226,5,0,-0.054435483870967749,0.060161163522012617,0.033333333333333333,0.16883116883116889,-0.1932203389830508,-0.1491935483870967,0.080000000000000002,True,True,True,True,False,False,<NA>,False
-0.040000000000000001,0,496,0.36693548387096775,0.34976415094339619,30,0,0.80158730158730163,0.68474576271186438,0.20967741935483875,9,192,265,30,0,0,244,252,0,0,-0.054435483870967749,0.048466981132075426,0,0.134920634920635,-0.16271186440677965,-0.23387096774193544,0.040000000000000001,True,False,True,True,False,False,<NA>,False
-0.040000000000000001,0.01,496,0.36693548387096775,0.34976415094339619,30,0,0.80158730158730163,0.68474576271186438,0.20967741935483875,9,192,265,30,0,0,244,252,0,0,-0.054435483870967749,0.048466981132075426,0,0.134920634920635,-0.16271186440677965,-0.23387096774193544,0.050000000000000003,True,False,True,True,False,False,<NA>,False
-0.040000000000000001,0.02,496,0.36895161290322581,0.34882075471698115,30,0,0.80158730158730163,0.68474576271186438,0.20967741935483869,9,192,265,30,0,0,244,251,1,0,-0.052419354838709686,0.047523584905660388,0,0.134920634920635,-0.16271186440677965,-0.2338709677419355,0.059999999999999998,True,False,True,True,False,False,<NA>,False
-0.040000000000000001,0.029999999999999999,496,0.37298387096774194,0.35432389937106917,30,0.033333333333333333,0.80158730158730163,0.68474576271186438,0.20967741935483875,9,192,265,30,0,0,244,247,5,0,-0.048387096774193561,0.053026729559748409,0.033333333333333333,0.134920634920635,-0.16271186440677965,-0.23387096774193544,0.070000000000000007,True,True,True,True,False,False,<NA>,False
-0.059999999999999998,0,496,0.37298387096774194,0.35374901729559749,30,0,0.85308056872037918,0.61016949152542377,0.37500000000000006,9,192,265,30,0,0,285,211,0,0,-0.048387096774193561,0.052451847484276726,0,0.18641390205371255,-0.23728813559322026,-0.068548387096774133,0.059999999999999998,True,False,True,True,False,False,<NA>,False
