experiment,threshold_percent,task,model,removed_feature_count,removed_country_count,removed_country_iso3,overall_accuracy,phase3plus_precision,phase3plus_recall,phase3plus_population_share_r2,n_train,n_test,status,reason,delta_overall_accuracy_vs_main_model,delta_phase3plus_precision_vs_main_model,delta_phase3plus_recall_vs_main_model,delta_phase3plus_population_share_r2_vs_main_model
feature_removal,0,Forecasting,Main model,0,0,,0.6495726495726496,0.77507029053420806,0.9408418657565415,0.24899857049868279,4405,1170,generated,,0,0,0,0
feature_removal,0,Forecasting,Ensemble OLS,0,0,,0.53333333333333333,0.78395860284605434,0.68941979522184305,-0.79647000996662887,4405,1170,generated,,-0.11623931623931627,0.0088883123118462803,-0.25142207053469845,-1.0454685804653117
feature_removal,0,Forecasting,Ordered Probit,0,0,,0.49059829059829058,0.79264705882352937,0.61319681456200226,,4405,1170,generated,,-0.15897435897435902,0.01757676828932131,-0.32764505119453924,
feature_removal,0,Nowcasting,Main model,0,0,,0.65384615384615385,0.77746478873239433,0.94197952218430037,0.252784701177865,4405,1170,generated,,0,0,0,0
feature_removal,0,Nowcasting,Ensemble OLS,0,0,,0.54529914529914525,0.79427083333333337,0.69397042093287831,-0.92950286569141083,4405,1170,generated,,-0.10854700854700861,0.016806044600939041,-0.24800910125142206,-1.1822875668692758
feature_removal,0,Nowcasting,Ordered Probit,0,0,,0.48974358974358972,0.82529118136439272,0.56427758816837315,,4405,1170,generated,,-0.16410256410256413,0.047826392631998393,-0.37770193401592722,
feature_removal,5,Forecasting,Main model,6,0,,0.6495726495726496,0.77507029053420806,0.9408418657565415,0.24899857049868279,4405,1170,generated,,0,0,0,0
feature_removal,5,Forecasting,Ensemble OLS,6,0,,0.53333333333333333,0.78406169665809766,0.69397042093287831,-0.78384320887681946,4405,1170,generated,,-0.11623931623931627,0.0089914061238896004,-0.24687144482366319,-1.0328417793755023
feature_removal,5,Forecasting,Ordered Probit,6,0,,0.4982905982905983,0.80148148148148146,0.61547212741751989,,4405,1170,generated,,-0.1512820512820513,0.0264111909472734,-0.32536973833902161,
feature_removal,5,Nowcasting,Main model,9,0,,0.66752136752136748,0.79363548698167796,0.93629124004550623,0.2801714152745225,4405,1170,generated,,0,0,0,0
feature_removal,5,Nowcasting,Ensemble OLS,9,0,,0.54529914529914525,0.79404145077720212,0.6973833902161547,-0.8938974142709557,4405,1170,generated,,-0.12222222222222223,0.00040596379552415573,-0.23890784982935154,-1.1740688295454782
feature_removal,5,Nowcasting,Ordered Probit,9,0,,0.50512820512820511,0.80418535127055302,0.6120591581342435,,4405,1170,generated,,-0.16239316239316237,0.010549864288875055,-0.32423208191126274,
feature_removal,10,Forecasting,Main model,11,0,,0.67606837606837611,0.79372623574144485,0.94994311717861202,0.29360290051657367,4405,1170,generated,,0,0,0,0
feature_removal,10,Forecasting,Ensemble OLS,11,0,,0.53418803418803418,0.78803641092327703,0.68941979522184305,-0.74322140679657633,4405,1170,generated,,-0.14188034188034193,-0.0056898248181678213,-0.26052332195676897,-1.03682430731315
feature_removal,10,Forecasting,Ordered Probit,11,0,,0.4982905982905983,0.80119581464872947,0.60978384527872587,,4405,1170,generated,,-0.17777777777777781,0.007469578907284613,-0.34015927189988615,
feature_removal,10,Nowcasting,Main model,18,0,,0.67863247863247866,0.80310378273520855,0.94197952218430037,0.30280909452326843,4405,1170,generated,,0,0,0,0
feature_removal,10,Nowcasting,Ensemble OLS,18,0,,0.5461538461538461,0.80052151238591918,0.69852104664391357,-0.75605551764720369,4405,1170,generated,,-0.13247863247863256,-0.0025822703492893728,-0.2434584755403868,-1.0588646121704721
feature_removal,10,Nowcasting,Ordered Probit,18,0,,0.50683760683760681,0.80447761194029854,0.61319681456200226,,4405,1170,generated,,-0.17179487179487185,0.0013738292050899936,-0.32878270762229811,
feature_removal,0,Contemporaneous,Main model,0,0,,0.69345291479820625,0.79725885699508658,0.90437078322088593,0.64161899913630283,4460,5575,generated,,0,0,0,0
feature_removal,0,Contemporaneous,Ensemble OLS,0,0,,0.63946188340807175,0.74221241108658331,0.88765033734232912,0.44295260566471284,4460,5575,generated,,-0.053991031390134503,-0.055046445908503272,-0.016720445878556811,-0.19866639347158999
feature_removal,0,Contemporaneous,Ordered Probit,0,0,,0.65381165919282513,0.79219701162147205,0.83983572895277203,,4460,5575,generated,,-0.03964125560538112,-0.0050618453736145375,-0.064535054268113901,
feature_removal,5,Contemporaneous,Main model,9,0,,0.69363228699551571,0.79767141009055631,0.90437078322088593,0.64261629723132885,4460,5575,generated,,0,0,0,0
feature_removal,5,Contemporaneous,Ensemble OLS,9,0,,0.63802690582959642,0.74262536873156337,0.88618363156350832,0.4420726367573371,4460,5575,generated,,-0.055605381165919288,-0.055046041358992936,-0.018187151657377609,-0.20054366047399175
feature_removal,5,Contemporaneous,Ordered Probit,9,0,,0.6493273542600897,0.78651994497936728,0.83866236432971542,,4460,5575,generated,,-0.044304932735426017,-0.011151465111189029,-0.065708418891170517,
feature_removal,10,Contemporaneous,Main model,18,0,,0.68986547085201799,0.79448879732165856,0.90495746553241418,0.63660543269479231,4460,5575,generated,,0,0,0,0
feature_removal,10,Contemporaneous,Ensemble OLS,18,0,,0.64215246636771306,0.74808405438813352,0.88765033734232912,0.43890525009756887,4460,5575,generated,,-0.047713004484304933,-0.046404742933525034,-0.017307128190085064,-0.19770018259722344
feature_removal,10,Contemporaneous,Ordered Probit,18,0,,0.64663677130044839,0.7848484848484848,0.83572895277207393,,4460,5575,generated,,-0.043228699551569605,-0.0096403124731737622,-0.069228512760340255,
country_removal,0,Forecasting,Main model,0,0,,0.6495726495726496,0.77507029053420806,0.9408418657565415,0.24899857049868279,4405,1170,generated,,0,0,0,0
country_removal,0,Forecasting,Ensemble OLS,0,0,,0.53333333333333333,0.78395860284605434,0.68941979522184305,-0.79647000996662887,4405,1170,generated,,-0.11623931623931627,0.0088883123118462803,-0.25142207053469845,-1.0454685804653117
country_removal,0,Forecasting,Ordered Probit,0,0,,0.49059829059829058,0.79264705882352937,0.61319681456200226,,4405,1170,generated,,-0.15897435897435902,0.01757676828932131,-0.32764505119453924,
country_removal,0,Nowcasting,Main model,0,0,,0.65384615384615385,0.77746478873239433,0.94197952218430037,0.252784701177865,4405,1170,generated,,0,0,0,0
country_removal,0,Nowcasting,Ensemble OLS,0,0,,0.54529914529914525,0.79427083333333337,0.69397042093287831,-0.92950286569141083,4405,1170,generated,,-0.10854700854700861,0.016806044600939041,-0.24800910125142206,-1.1822875668692758
country_removal,0,Nowcasting,Ordered Probit,0,0,,0.48974358974358972,0.82529118136439272,0.56427758816837315,,4405,1170,generated,,-0.16410256410256413,0.047826392631998393,-0.37770193401592722,
country_removal,5,Forecasting,Main model,0,2,ZWE;DOM,0.66838046272493579,0.819620253164557,0.88496583143507968,0.21164658076444032,4402,1167,generated,,0,0,0,0
country_removal,5,Forecasting,Ensemble OLS,0,2,ZWE;DOM,0.53384747215081407,0.78543563068920674,0.6879271070615034,-0.80136449629247886,4402,1167,generated,,-0.13453299057412171,-0.034184622475350257,-0.19703872437357628,-1.0130110770569192
country_removal,5,Forecasting,Ordered Probit,0,2,ZWE;DOM,0.49185946872322195,0.79437869822485208,0.61161731207289294,,4402,1167,generated,,-0.17652099400171384,-0.025241554939704924,-0.27334851936218674,
country_removal,5,Nowcasting,Main model,0,2,ZWE;DOM,0.66838046272493579,0.82180293501048218,0.8929384965831435,0.2253351376548739,4402,1167,generated,,0,0,0,0
country_removal,5,Nowcasting,Ensemble OLS,0,2,ZWE;DOM,0.54584404455869751,0.79581151832460728,0.69248291571753984,-0.93591124857209462,4402,1167,generated,,-0.12253641816623828,-0.025991416685874902,-0.20045558086560367,-1.1612463862269684
country_removal,5,Nowcasting,Ordered Probit,0,2,ZWE;DOM,0.49271636675235647,0.83277027027027029,0.56150341685649208,,4402,1167,generated,,-0.17566409597257931,0.010967335259788102,-0.33143507972665143,
country_removal,10,Forecasting,Main model,0,3,ZWE;DOM;SDN,0.67153912295786755,0.79725759059745349,0.93135011441647597,0.29092813133063111,4395,1163,generated,,0,0,0,0
country_removal,10,Forecasting,Ensemble OLS,0,3,ZWE;DOM;SDN,0.53138435081685298,0.78328981723237601,0.68649885583524028,-0.79237436125409766,4395,1163,generated,,-0.14015477214101457,-0.013967773365077485,-0.24485125858123569,-1.0833024925847288
country_removal,10,Forecasting,Ordered Probit,0,3,ZWE;DOM;SDN,0.4892519346517627,0.79372197309417036,0.60755148741418763,,4395,1163,generated,,-0.18228718830610485,-0.0035356175032831283,-0.32379862700228834,
country_removal,10,Nowcasting,Main model,0,3,ZWE;DOM;ZMB,0.68583690987124468,0.81022615535889875,0.93849658314350792,0.25025366725615139,4380,1165,generated,,0,0,0,0
country_removal,10,Nowcasting,Ensemble OLS,0,3,ZWE;DOM;ZMB,0.54334763948497855,0.79605263157894735,0.68906605922551256,-0.93082023424117599,4380,1165,generated,,-0.14248927038626613,-0.014173523779951402,-0.24943052391799536,-1.1810739014973275
country_removal,10,Nowcasting,Ordered Probit,0,3,ZWE;DOM;ZMB,0.48755364806866952,0.84303350970017632,0.54441913439635536,,4380,1165,generated,,-0.19828326180257516,0.032807354341277573,-0.39407744874715256,
country_removal,0,Contemporaneous,Main model,0,0,,0.69345291479820625,0.79725885699508658,0.90437078322088593,0.64161899913630283,4460,5575,generated,,0,0,0,0
country_removal,0,Contemporaneous,Ensemble OLS,0,0,,0.63946188340807175,0.74221241108658331,0.88765033734232912,0.44295260566471284,4460,5575,generated,,-0.053991031390134503,-0.055046445908503272,-0.016720445878556811,-0.19866639347158999
country_removal,0,Contemporaneous,Ordered Probit,0,0,,0.65381165919282513,0.79219701162147205,0.83983572895277203,,4460,5575,generated,,-0.03964125560538112,-0.0050618453736145375,-0.064535054268113901,
country_removal,5,Contemporaneous,Main model,0,2,ZWE;ZMB,0.69399891872409447,0.79875679875679872,0.90572687224669601,0.64204118871030758,4436,5549,generated,,0,0,0,0
country_removal,5,Contemporaneous,Ensemble OLS,0,2,ZWE;ZMB,0.64245810055865926,0.74502579218865139,0.89074889867841411,0.44426858457292207,4436,5549,generated,,-0.051540818165435209,-0.053731006568147333,-0.014977973568281899,-0.19777260413738551
country_removal,5,Contemporaneous,Ordered Probit,0,2,ZWE;ZMB,0.65507298612362586,0.79179289451941615,0.84434654919236418,,4436,5549,generated,,-0.038925932600468616,-0.0069639042373825788,-0.061380323054331831,
country_removal,10,Contemporaneous,Main model,0,3,ZWE;ZMB;TJK,0.69416862249503519,0.79802699896157836,0.90544918998527246,0.63918036386926813,4427,5539,generated,,0,0,0,0
country_removal,10,Contemporaneous,Ensemble OLS,0,3,ZWE;ZMB;TJK,0.64217367755912624,0.74421467257508611,0.8904270986745213,0.44299154608831526,4427,5539,generated,,-0.051994944935908949,-0.053812326386492249,-0.015022091310751162,-0.19618881778095287
country_removal,10,Contemporaneous,Ordered Probit,0,3,ZWE;ZMB;TJK,0.65517241379310343,0.7919778699861687,0.84329896907216495,,4427,5539,generated,,-0.038996208701931767,-0.0060491289754096567,-0.062150220913107512,
