task,model,overall_accuracy,phase3plus_precision,phase3plus_recall,phase3plus_population_share_r2,delta_overall_accuracy_vs_main_model,delta_phase3plus_precision_vs_main_model,delta_phase3plus_recall_vs_main_model,delta_phase3plus_population_share_r2_vs_main_model,n_train,n_test,status,reason
Forecasting,Ensemble OLS,0.54358974358974355,0.79240506329113924,0.71217292377701935,-0.57118158291792187,-0.10598290598290605,0.017334772756931183,-0.22866894197952214,-0.82018015341660466,4405,1170,generated,
Forecasting,Ordered Probit,0.51880341880341885,0.79773691654879775,0.64163822525597269,,-0.13076923076923075,0.022666626014589686,-0.2992036405005688,,4405,1170,generated,
Nowcasting,Ensemble OLS,0.60256410256410253,0.75960591133004929,0.87713310580204773,-0.49646550846318549,-0.051282051282051322,-0.017858877402345041,-0.064846416382252636,-0.74925020964105049,4405,1170,generated,
Nowcasting,Ordered Probit,0.55128205128205132,0.79471788715486191,0.7531285551763367,,-0.10256410256410253,0.017253098422467583,-0.18885096700796367,,4405,1170,generated,
Contemporaneous,Ensemble OLS,0.64573991031390132,0.75199004975124373,0.88677031387503669,0.46580522269688884,-0.047713004484304933,-0.045268807243842857,-0.017600469345849246,-0.17581377591686598,4460,5575,generated,
Contemporaneous,Ordered Probit,0.66278026905829601,0.80497345627270189,0.84511586975652686,,-0.030672645739910243,0.0077145992776153083,-0.059254913464359071,,4460,5575,generated,
Forecasting,Main model,0.6495726495726496,0.77507029053420806,0.9408418657565415,0.24899857049868279,0,0,0,0,4405,1170,frozen_reference,
Nowcasting,Main model,0.65384615384615385,0.77746478873239433,0.94197952218430037,0.252784701177865,0,0,0,0,4405,1170,frozen_reference,
Contemporaneous,Main model,0.69345291479820625,0.79725885699508658,0.90437078322088593,0.64161899861375482,0,0,0,0,4460,5575,frozen_reference,
