condition,layer,split,feature,target_rows,total_neighbor_slots,observed_slots,original_missing_slots,imputed_slots,remaining_missing_slots,effective_nonmissing_slots,rows_with_effective_mean,rows_all_missing,own_history_source_count,same_country_source_count,global_source_count,imputation_month_gap_min,imputation_month_gap_median,imputation_month_gap_max,imputation_distance_km_min,imputation_distance_km_median,imputation_distance_km_max
knn5_spatial_means,layer1_shared,train,WFP_Price_Volatility_l12,4405,22025,8845,13180,13180,0,22025,4405,0,3306,2391,7483,12,12,68,0,119.29090911887074,13885.304446618376
knn5_spatial_means,layer1_shared,train,fatalities_battles_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,fatalities_explosions_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,fatalities_violence_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_battles_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_explosions_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_violence_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,precipitation_sum_l12,4405,22025,11131,10894,10894,0,22025,4405,0,3891,5998,1005,12,12,68,0,54.998806386248319,13981.012510853379
knn5_spatial_means,layer1_shared,train,soil_moisture_mean_l12,4405,22025,11131,10894,10894,0,22025,4405,0,3891,5998,1005,12,12,68,0,54.998806386248319,13981.012510853379
knn5_spatial_means,layer1_shared,train,shortwave_radiation_sum_l12,4405,22025,11780,10245,10245,0,22025,4405,0,4170,5927,148,12,12,68,0,42.595675127885812,11476.585852622678
knn5_spatial_means,layer1_shared,train,temperature_2m_mean_l12,4405,22025,11131,10894,10894,0,22025,4405,0,3891,5998,1005,12,12,68,0,54.998806386248319,13981.012510853379
knn5_spatial_means,layer1_shared,train,price_index_l12,4405,22025,13673,8352,8352,0,22025,4405,0,4792,3337,223,12,15,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,rainfall_chirps_l12,4405,22025,8048,13977,13977,0,22025,4405,0,2891,3616,7470,12,12,67,0,2483.2035071041728,14706.60738564502
knn5_spatial_means,layer1_shared,train,nightlight_mean_l12,4405,22025,12006,10019,10019,0,22025,4405,0,4083,2775,3161,12,13,68,0,46.481149503952359,14410.923831094256
knn5_spatial_means,layer1_shared,train,EVI_l12,4405,22025,7488,14537,11312,3225,18800,3760,645,2309,5002,4001,12,12,54,0,114.85015560773081,14706.60738564502
knn5_spatial_means,layer1_shared,train,fatalities_battles_w5_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,fatalities_explosions_w5_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,fatalities_violence_w5_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_battles_w5_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_explosions_w5_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_violence_w5_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,fatalities_battles_w10_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,fatalities_explosions_w10_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
