model,n_test,actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,phase3plus_precision,phase3plus_recall,overall_accuracy,phase3plus_r2,aggregation,fold_mean_phase3plus_precision,fold_sd_phase3plus_precision,fold_mean_phase3plus_recall,fold_sd_phase3plus_recall,fold_mean_overall_accuracy,fold_sd_overall_accuracy,fold_mean_phase3plus_r2,fold_sd_phase3plus_r2
Forecasting,1170,879,1000,798,202,81,89,0.79800000000000004,0.9078498293515358,0.64871794871794874,0.16458803538925915,pooled_oof,0.79768410165179393,0.018687645328540545,0.90754076780489079,0.028384599252889997,0.6482649762730287,0.02684102422468437,0.1757445780129992,0.1308298526701995
Nowcasting,1170,879,1001,803,198,76,93,0.80219780219780223,0.91353811149032993,0.65555555555555556,0.1696289339689897,pooled_oof,0.80220561550154468,0.02125440321180852,0.9135640327019694,0.025637381195799107,0.65552270329123863,0.027570000190464683,0.18049731221039583,0.13078144123422156
