layer,feature_order,original_feature,feature_time_type,reference_month_rule,neighbor_eligible,knn5_feature_name,d200_feature_name
layer1_shared,58,event_count_violence_w5_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_violence_w5_l12__knn5_mean,event_count_violence_w5_l12__d200_mean
layer1_shared,59,fatalities_battles_w10_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_battles_w10_l12__knn5_mean,fatalities_battles_w10_l12__d200_mean
layer1_shared,60,fatalities_explosions_w10_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_explosions_w10_l12__knn5_mean,fatalities_explosions_w10_l12__d200_mean
layer1_shared,61,fatalities_violence_w10_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_violence_w10_l12__knn5_mean,fatalities_violence_w10_l12__d200_mean
layer1_shared,62,event_count_battles_w10_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_battles_w10_l12__knn5_mean,event_count_battles_w10_l12__d200_mean
layer1_shared,63,event_count_explosions_w10_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_explosions_w10_l12__knn5_mean,event_count_explosions_w10_l12__d200_mean
layer1_shared,64,event_count_violence_w10_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_violence_w10_l12__knn5_mean,event_count_violence_w10_l12__d200_mean
layer1_shared,65,rainfall_chirps_z_l12,dynamic,row_month_minus_12_calendar_months,True,rainfall_chirps_z_l12__knn5_mean,rainfall_chirps_z_l12__d200_mean
layer1_shared,66,temperature_2m_mean_z_l12,dynamic,row_month_minus_12_calendar_months,True,temperature_2m_mean_z_l12__knn5_mean,temperature_2m_mean_z_l12__d200_mean
layer1_shared,67,GOSIF_GPP_l12,dynamic,row_month_minus_12_calendar_months,True,GOSIF_GPP_l12__knn5_mean,GOSIF_GPP_l12__d200_mean
layer1_shared,68,WFP_Price_Change_s12_l12,dynamic,row_month_minus_12_calendar_months,True,WFP_Price_Change_s12_l12__knn5_mean,WFP_Price_Change_s12_l12__d200_mean
layer1_shared,69,WFP_Price_Volatility_s12_l12,dynamic,row_month_minus_12_calendar_months,True,WFP_Price_Volatility_s12_l12__knn5_mean,WFP_Price_Volatility_s12_l12__d200_mean
layer1_shared,70,fatalities_battles_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_battles_s12_l12__knn5_mean,fatalities_battles_s12_l12__d200_mean
layer1_shared,71,fatalities_explosions_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_explosions_s12_l12__knn5_mean,fatalities_explosions_s12_l12__d200_mean
layer1_shared,72,fatalities_violence_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_violence_s12_l12__knn5_mean,fatalities_violence_s12_l12__d200_mean
layer1_shared,73,event_count_battles_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_battles_s12_l12__knn5_mean,event_count_battles_s12_l12__d200_mean
layer1_shared,74,event_count_explosions_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_explosions_s12_l12__knn5_mean,event_count_explosions_s12_l12__d200_mean
layer1_shared,75,event_count_violence_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_violence_s12_l12__knn5_mean,event_count_violence_s12_l12__d200_mean
layer1_shared,76,precipitation_sum_s12_l12,dynamic,row_month_minus_12_calendar_months,True,precipitation_sum_s12_l12__knn5_mean,precipitation_sum_s12_l12__d200_mean
layer1_shared,77,soil_moisture_mean_s12_l12,dynamic,row_month_minus_12_calendar_months,True,soil_moisture_mean_s12_l12__knn5_mean,soil_moisture_mean_s12_l12__d200_mean
layer1_shared,78,shortwave_radiation_sum_s12_l12,dynamic,row_month_minus_12_calendar_months,True,shortwave_radiation_sum_s12_l12__knn5_mean,shortwave_radiation_sum_s12_l12__d200_mean
