task,method,layer,feature,source_order,training_observed_count,training_missing_count,training_missing_rate,training_median,scaling_center,scaling_scale,retained,retained_order,exclusion_reason,duplicate_of_feature,rank_policy
Forecasting,Multinomial,direct,fatalities_explosions_s12_l12,71,3119,1286,0.29194097616345061,0,0.43267553519121216,0.86273549605320687,True,71,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,fatalities_violence_s12_l12,72,3119,1286,0.29194097616345061,1.2060453783110543,1.7437795630974577,1.6693870024548934,True,72,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_battles_s12_l12,73,3119,1286,0.29194097616345061,0.51492865054443726,0.51416356836070509,0.08889425713122262,True,73,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_explosions_s12_l12,74,3119,1286,0.29194097616345061,0.28867513459481281,0.25008465402611485,0.16988837997880252,True,74,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_violence_s12_l12,75,3119,1286,0.29194097616345061,0.4923659639173309,0.49820861333408195,0.12034868443763831,True,75,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,precipitation_sum_s12_l12,76,2398,2007,0.45561861520998864,0.0075593467484984999,0.015068883003767393,0.018473613498969789,True,76,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,soil_moisture_mean_s12_l12,77,2398,2007,0.45561861520998864,0.0159336550172904,0.021182894409055648,0.019609563064455146,True,77,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,shortwave_radiation_sum_s12_l12,78,2398,2007,0.45561861520998864,112947118.07172993,120903495.88900608,37932413.365451194,True,78,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,temperature_2m_mean_s12_l12,79,2398,2007,0.45561861520998864,8.5358166365693933,8.4123310990720679,1.0120742050022944,True,79,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,price_index_s12_l12,80,2929,1476,0.3350737797956867,9.0893725660765519,11.979408715597479,11.683710359749208,True,80,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,rainfall_chirps_s12_l12,81,1695,2710,0.61520998864926224,17.411243638080968,18.491606697459837,10.706356565127063,True,81,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,nightlight_mean_s12_l12,82,2587,1818,0.4127128263337117,0.091000941431826105,0.17831587521789224,0.35161774821488673,True,82,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,EVI_s12_l12,83,1144,3261,0.74029511918274693,131.9464785881346,235.37133085117992,354.41442598512731,True,83,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,fatalities_battles_w5_s12_l12,84,3119,1286,0.29194097616345061,2.1737054559870583,2.8149263219765013,2.5068793481797562,True,84,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,fatalities_explosions_w5_s12_l12,85,3119,1286,0.29194097616345061,0,0.63082304361596708,1.412534163015053,True,85,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,fatalities_violence_w5_s12_l12,86,3119,1286,0.29194097616345061,2.0406447584184679,2.7351399922395032,2.6841209886606796,True,86,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_battles_w5_s12_l12,87,3119,1286,0.29194097616345061,1.7241824167295794,2.6403102757176917,2.9295417230967677,True,87,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_explosions_w5_s12_l12,88,3119,1286,0.29194097616345061,0.8473156973421252,1.1039276272300569,1.5330399176445531,True,88,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_violence_w5_s12_l12,89,3119,1286,0.29194097616345061,1.6628584965830586,2.558029082991911,2.954136493371665,True,89,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,fatalities_battles_w10_s12_l12,90,3119,1286,0.29194097616345061,2.2832570766954343,2.9193789085696982,2.4583129644304544,True,90,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,fatalities_explosions_w10_s12_l12,91,3119,1286,0.29194097616345061,0,0.66779301580084516,1.4268808426403421,True,91,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,fatalities_violence_w10_s12_l12,92,3119,1286,0.29194097616345061,2.1407147501493258,2.8192324388184211,2.64160396628716,True,92,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_battles_w10_s12_l12,93,3119,1286,0.29194097616345061,1.8414797036503707,2.7341033957134551,2.8742314802342275,True,93,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_explosions_w10_s12_l12,94,3119,1286,0.29194097616345061,0.98204319658477424,1.1932004837622718,1.5220199679083917,True,94,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,event_count_violence_w10_s12_l12,95,3119,1286,0.29194097616345061,1.768077108043737,2.6312127205896534,2.9067246311119845,True,95,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,rainfall_chirps_z_s12_l12,96,1695,2710,0.61520998864926224,0.95807160775209377,0.97815243360716519,0.18660420560825169,True,96,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,temperature_2m_mean_z_s12_l12,97,2398,2007,0.45561861520998864,1.0493525075509487,1.0487894100455877,0.045246609144717974,True,97,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,GOSIF_GPP_s12_l12,98,3119,1286,0.29194097616345061,3546.6297788011075,3767.1510287035435,2399.9270093333544,True,98,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,NY.GDP.PCAP.KD_l12,99,42,4363,0.9904653802497162,477.84789121823758,489.71184019630357,206.94240572598974,True,99,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,cpi_l12,100,38,4367,0.99137343927355281,1.0488990132060001,1.049946958055215,0.034784928218228719,True,100,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,GDP_l12,101,42,4363,0.9904653802497162,477.84789121823758,489.71184019630357,206.94240572598974,True,101,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,CPI_l12,102,38,4367,0.99137343927355281,1.0488990132060001,1.049946958055215,0.034784928218228719,True,102,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,infra_index_l12,103,32,4373,0.99273552780930763,6.9863094780000008,7.0099661073248596,0.72570046464094007,True,103,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,CC.PER.RNK_l12,104,44,4361,0.990011350737798,8.5714282989502006,8.6274252723754525,1.2523838392507429,True,104,,,not_applied_authoritative_adapter
Forecasting,Multinomial,direct,gini_l12,105,38,4367,0.99137343927355281,0.44057787526100001,0.44044325453008365,0.0034466701699151342,True,105,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,elevation,0,4405,0,0,686,878.17185017026111,692.50389245773056,True,0,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,CPI,1,2396,2009,0.45607264472190695,4.365871598,16.938980644340067,40.184756615825691,True,1,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,GDP,2,3621,784,0.17797956867196368,18904490263,36353154304.119637,60993951829.314461,True,2,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,infra_index,3,2722,1683,0.38206583427922813,9.4342897630000007,11.351783474819525,7.4739681250178105,True,3,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,WFP_Price_Change,4,2884,1521,0.34528944381384791,0.8972,2.0867862287872865,7.0662941977282108,True,4,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,WFP_Price_Volatility,5,2861,1544,0.35051078320090806,87.934199129999996,468.97308419521175,1889.9755080570656,True,5,,,not_applied_authoritative_adapter
