model,variable,dimension,group,n,missing_n,nonmissing_n,missing_rate,eligible_for_balance,test_population_n,test_group_count,overall_missing_rate,chi2,degrees_of_freedom,p_value,cramers_v,max_abs_missing_rate_diff,material_imbalance,test_status,p_value_bh
Forecasting,CC.PER.RNK_l12,country,AFG,692,679,13,0.981213872832,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,BDI,175,140,35,0.8,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,CAF,292,292,0,1,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,COD,648,590,58,0.91049382716,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,DJI,3,3,0,1,False,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,DOM,4,4,0,1,False,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,ETH,56,56,0,1,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,GTM,340,329,11,0.967647058824,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,HND,166,161,5,0.969879518072,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,HTI,35,35,0,1,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,KEN,152,143,9,0.940789473684,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,LBN,9,9,0,1,False,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,LSO,3,3,0,1,False,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,MDG,69,69,0,1,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,MOZ,106,106,0,1,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,MWI,11,11,0,1,False,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,PAK,155,155,0,1,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,SDN,11,11,0,1,False,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,SLV,149,134,15,0.89932885906,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,SOM,1222,1205,17,0.986088379705,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,SSD,665,655,10,0.984962406015,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,SWZ,30,30,0,1,True,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,TJK,10,10,0,1,False,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
Forecasting,CC.PER.RNK_l12,country,TZA,1,1,0,1,False,5521,20,0.968302843688,321.080502256,19,,0.241156011967,0.168302843688,True,tested_sparse_expected_counts,
