threshold,recall_rate,precision_rate
0.2,0.23832335329341317,0.8540772532188842
0.4,0.40838323353293415,0.7317596566523605
0.6,0.5652694610778443,0.6752503576537912
0.67,0.6634730538922156,0.7093469910371318
0.8,0.8143712574850299,0.7296137339055794
0.91,0.9233532934131736,0.7266729500471254
