date,area_id,elevation,infra_index_m12,infra_index_s12,market_access,nitrogen_5-15cm_mean,phh2o_5-15cm_mean,cec_5-15cm_mean,cfvo_5-15cm_mean,soc_5-15cm_mean,aez_groupid_4000,aez_groupid_7000,aez_groupid_9000,aez_groupid_10000,aez_groupid_12000,aez_groupid_17000,aez_groupid_19000,aez_groupid_25000,aez_groupid_30000,aez_groupid_31000,aez_groupid_32000,aez_groupid_33000,aez_groupid_34000,aez_groupid_36000,aez_groupid_40000,aez_groupid_43000,slope,estimated_population,lat,lon,cropland,rangeland,area,es_urban_pop,urban_area,distance_to_river,ruggedness_index,fews_ipc_ha,WFP_Price_Change_l12,WFP_Price_Volatility_l12,fatalities_battles_l12,fatalities_explosions_l12,fatalities_violence_l12,event_count_battles_l12,event_count_explosions_l12,event_count_violence_l12,precipitation_sum_l12,soil_moisture_mean_l12,shortwave_radiation_sum_l12,temperature_2m_mean_l12,price_index_l12,rainfall_chirps_l12,nightlight_mean_l12,EVI_l12,fatalities_battles_w5_l12,fatalities_explosions_w5_l12,fatalities_violence_w5_l12,event_count_battles_w5_l12,event_count_explosions_w5_l12,event_count_violence_w5_l12,fatalities_battles_w10_l12,fatalities_explosions_w10_l12,fatalities_violence_w10_l12,event_count_battles_w10_l12,event_count_explosions_w10_l12,event_count_violence_w10_l12,rainfall_chirps_z_l12,temperature_2m_mean_z_l12,GOSIF_GPP_l12,WFP_Price_Change_s12_l12,WFP_Price_Volatility_s12_l12,fatalities_battles_s12_l12,fatalities_explosions_s12_l12,fatalities_violence_s12_l12,event_count_battles_s12_l12,event_count_explosions_s12_l12,event_count_violence_s12_l12,precipitation_sum_s12_l12,soil_moisture_mean_s12_l12,shortwave_radiation_sum_s12_l12,temperature_2m_mean_s12_l12,price_index_s12_l12,rainfall_chirps_s12_l12,nightlight_mean_s12_l12,EVI_s12_l12,fatalities_battles_w5_s12_l12,fatalities_explosions_w5_s12_l12,fatalities_violence_w5_s12_l12,event_count_battles_w5_s12_l12,event_count_explosions_w5_s12_l12,event_count_violence_w5_s12_l12,fatalities_battles_w10_s12_l12,fatalities_explosions_w10_s12_l12,fatalities_violence_w10_s12_l12,event_count_battles_w10_s12_l12,event_count_explosions_w10_s12_l12,event_count_violence_w10_s12_l12,rainfall_chirps_z_s12_l12,temperature_2m_mean_z_s12_l12,GOSIF_GPP_s12_l12,NY.GDP.PCAP.KD_l12,cpi_l12,GDP_l12,CPI_l12,infra_index_l12,CC.PER.RNK_l12,gini_l12,phase2_worse,phase3_worse,phase4_worse,phase5_worse,fold
2018-10-01,2,137,38.4670699,0.093090856,117,3170.0,53.0,205.0,72.0,354.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15000000130385,376038.0,19.2534004377252,-70.08120181852628,0,0,1409.7268829599998,0.0,0.0,0.018449334212762,0.0067114360875733,0.0,0.45225,71.292546405,10.0,0.0,0.0,1.0,0.0,0.0,0.0084315986667138,0.3726857114374327,80407124.50736952,257.1604212055872,107.0397401,,,,4.302383534388818,0.0,0.0,2.114756430432349,0.0,0.0,4.673048812795227,0.0,0.0,2.4512080108926217,0.0,0.0,,-0.2615489541738321,39517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.35,0.05,0.0,9
2022-10-01,2,137,,,117,3170.0,53.0,205.0,72.0,354.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15000000130385,300241.0,19.2534004377252,-70.08120181852628,0,0,1409.7268829599998,0.0,0.0,0.018449334212762,0.0067114360875733,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0147185423639911,0.3726857114374327,79792298.54439797,254.99113040023536,111.9592368,,,,0.0,0.0,2.745675658045614,0.0,0.0,2.114756430432349,0.0,0.0,3.100304340904832,0.0,0.0,2.4512080108926217,,-0.6003122992901806,35274.0,2.3045961737560123,5.407684998095887,1.7298624923456325,0.0,0.9003366373785215,0.4522670168666456,0.0,0.90033663737852,0.0172015424734177,0.0,55332495.03686479,6.7597599513402,2.341785614208167,,,,1.2060610327121797,0.0,1.1226423925873912,0.956434582191194,0.0,1.1226423925873914,1.3393559281612537,0.0,1.2739222425192662,1.1086005348060302,0.0,1.2739222425192658,,1.055625593235343,4144.435817143788,,,,,,,,0.5,0.15000000000000002,0.01,0.0,9
2022-10-01,5,530,,,47,2351.0,58.0,204.0,102.0,308.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3000000026077,1058937.0,19.322621636996907,-70.89148103736872,0,60,2414.18558495,0.0,0.0,0.0251145889907268,1.342625871935682,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0141808797989426,0.36724853515625,79524828.28198242,253.71884212698987,124.5420757,,,,0.0,0.0,2.7385147901331943,0.0,0.0,2.108029043829664,0.0,0.0,3.19472928186239,0.0,0.0,2.5417423895118616,,-0.6716329508868921,23562.0,2.3045961737560123,5.407684998095887,1.7298624923456325,0.0,0.9003366373785215,0.4522670168666456,0.0,0.90033663737852,0.0177898204369678,0.0,57187960.097899735,6.582754230619483,10.950099115128138,,,,1.2033733577963797,0.0,1.1196076202691043,0.9533920071210892,0.0,1.1196076202691043,1.374920068131396,0.0,1.31450410691805,1.1495462481480287,0.0,1.31450410691805,,1.041375055719744,2831.309649849932,,,,,,,,0.55,0.18,0.02,0.0,1
2022-09-01,9,278,,,122,3215.0,60.0,287.0,94.0,313.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.1099861711263603,393967.0,19.430858338795733,-71.59479994397275,0,57,852.871782089,0.0,0.0,0.0166583006095268,0.1211013531259331,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0763433122691594,0.23681640625,27980034.3359375,246.52322177886964,120.9006962,,,,2.297801767898371,0.0,0.0,2.297801767898371,0.0,0.0,2.789015790611608,0.0,0.0,2.789015790611608,0.0,0.0,,-0.8551754152031283,22771.0,2.3894533332897803,5.226224435433273,1.7298624923456325,0.0,0.8528028654224433,0.4522670168666456,0.0,0.90033663737852,0.0194114434910344,0.0,58779690.28480712,6.216839314913482,5.627558360760049,,,,1.278827481871399,0.0,1.1692205365901105,1.0392199509183,0.0,1.205052051667418,1.4715871007875574,0.0,1.388502139618775,1.2613798516138808,0.0,1.425176325856128,,1.020622448244754,2887.96693063204,,,,,,,,0.8,0.55,0.2,0.0,8
2020-08-01,10,239,9.830916707,0.844023996,107,1434.0,59.0,202.0,97.0,239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.54628807306289,707601.0,19.141165641421363,-71.95798637936777,0,92,3000.88573045,0.0,0.0,0.0100665264541676,0.0189106300680782,0.0,,,3.0,0.0,0.0,1.0,0.0,0.0,0.0113012854816868,0.1914563010271,4081601.585912673,241.0022281874978,108.4028008,,,,4.221005904963191,0.0,0.0,3.151338378595056,0.0,0.0,4.551892233275847,0.0,0.0,3.4741549920956536,0.0,0.0,,-1.3599438055735813,23143.0,,,2.886751345948129,1.7320508075688772,0.9653072991634228,0.3892494720807616,0.2886751345948129,0.4522670168666455,0.0214576432766725,0.0,59560840.6216853,5.701283981367379,7.978449956771687,,,,1.5630738972472131,1.416466551151072,1.8246380625229397,1.2266568002159683,0.9097130305947272,1.425246407624557,1.6594359020619966,1.5125860692185435,1.9925122399173936,1.3523129965999754,1.0029021599464538,1.5712457144074654,,0.9508829804532604,5558.350285967514,,,,,,,,0.7499999999999999,0.4,0.1,0.0,4
2021-09-01,10,239,8.825750858,0.26156646,107,1434.0,59.0,202.0,97.0,239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.54628807306289,346064.0,19.141165641421363,-71.95798637936777,0,92,3000.88573045,0.0,0.0,0.0100665264541676,0.0189106300680782,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0162815399963408,0.1914563010271,29371498.73017007,244.54559490714777,126.4697922,,,,3.151338378595056,0.0,0.0,3.151338378595056,0.0,0.0,3.4741549920956536,0.0,0.0,3.4741549920956536,0.0,0.0,,-0.7689669101529859,22527.0,,,1.3483997249264847,0.0,1.77525072919719,0.5222329678670935,0.0,0.9653072991634228,0.0160816749926572,0.0,60687821.81660489,6.795771499406206,12.863223909056984,,,,1.9580861676676768,0.0,2.1018992202385327,1.645732794207171,0.0,1.8246380625229397,2.125802300436856,0.0,2.270186564273818,1.814318272352392,0.0,1.9925122399173936,,1.1334259929786652,6754.60278535154,,,,,,,,0.75,0.5,0.2,0.0,4
2022-09-01,10,239,,,107,1434.0,59.0,202.0,97.0,239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.54628807306289,346064.0,19.141165641421363,-71.95798637936777,0,92,3000.88573045,0.0,0.0,0.0100665264541676,0.0189106300680782,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0660835033677924,0.1914563010271,27767508.78626371,244.743756118247,108.0798374,,,,3.151338378595056,0.0,0.0,3.151338378595056,0.0,0.0,3.4741549920956536,0.0,0.0,3.4741549920956536,0.0,0.0,,-0.7359167895773268,20347.0,,,1.7298624923456325,0.0,0.8528028654224433,0.4522670168666456,0.0,0.90033663737852,0.0145466970116678,0.0,59750803.06613098,6.064235533717807,12.124551072197423,,,,1.6123487107670198,0.0,1.5500912824049438,1.4252464076245577,0.0,1.587083872478604,1.7372148890881096,0.0,1.6941021247294037,1.5712457144074656,0.0,1.73124533133245,,1.0114174942552463,6444.2180585672,,,,,,,,0.85,0.6,0.25,0.0,4
2022-10-01,10,239,,,107,1434.0,59.0,202.0,97.0,239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.54628807306289,63196.0,19.141165641421363,-71.95798637936777,0,92,3000.88573045,0.0,0.0,0.0100665264541676,0.0189106300680782,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0134064286757505,0.1914563010271,80760111.51786542,246.6091251552016,111.5199038,,,,0.0,0.0,3.822855909310414,0.0,0.0,3.151338378595056,0.0,0.0,4.151686882199015,0.0,0.0,3.4741549920956536,,-0.4248030693519379,21392.0,,,1.7298624923456325,0.0,0.9003366373785215,0.4522670168666456,0.0,0.90033663737852,0.0131298681833041,0.0,59866084.62292429,6.136147421038941,22.15907646646859,,,,1.6123487107670198,0.0,1.587083872478605,1.4252464076245577,0.0,1.587083872478604,1.7372148890881096,0.0,1.73124533133245,1.5712457144074656,0.0,1.73124533133245,,1.0234112468852516,6257.788167555688,,,,,,,,0.65,0.22,0.01,0.0,4
2019-10-01,11,313,10.93356464,0.093807476,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,707601.0,19.001220287245125,-71.98199349244065,0,43,3000.88573045,0.0,0.0,0.0059770937872374,0.0018104288642273,0.0,,,2.0,0.0,0.0,1.0,0.0,0.0,0.0686827079122309,0.1907806396484375,73773644.89331055,245.32315539288263,73.968845,,,,12.75059880722899,0.0,0.0,12.057454527247836,0.0,0.0,12.750651287217693,0.0,0.0,12.05750700708432,0.0,0.0,,-0.6249813832250035,23937.0,,,6.141636343003139,0.0,0.6513389472789297,0.674199862463242,0.0,0.5149286505444373,0.0148550443454547,0.0,61954223.15172781,6.653330622454203,4.866560348107296,,,,6.891462683100095,0.0,5.560303431912369,6.282894078680976,0.0,6.208728788716644,6.891488450597321,0.0,5.560327155656002,6.282921090106555,0.0,6.208755812088024,,1.1086582296444785,5184.043425977857,,,,,,,,0.7,0.35,0.1,0.0,9
2020-08-01,11,313,9.830916707,0.844023996,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,707601.0,19.001220287245125,-71.98199349244065,0,43,3000.88573045,0.0,0.0,0.0059770937872374,0.0018104288642273,0.0,,,3.0,0.0,0.0,1.0,0.0,0.0,0.0112073789257962,0.1907806396484375,4084834.0,240.93882480744392,108.4028008,,,,13.156062948475688,0.0,0.0,12.057454527247836,0.0,0.0,13.156115428515127,0.0,0.0,12.05750700708432,0.0,0.0,,-1.355551448182282,25056.0,,,2.886751345948129,1.7320508075688772,0.9653072991634228,0.3892494720807616,0.2886751345948129,0.4522670168666455,0.0215141186219565,0.0,59606719.47602183,5.713109165864259,7.978449956771687,,,,4.145384862973468,3.9979223189220736,6.460864449102121,4.693357809369007,3.480687308524105,5.453188990043607,4.145400012676426,3.9979374686191695,6.460891821425731,4.693378237117653,3.4807024581479657,5.453212724942699,,0.9519871855182744,4565.308343663904,,,,,,,,0.7499999999999999,0.4,0.1,0.0,9
