phase3_pred_cv,phase3_test_cv
0.1,0.23
0.28,0.4
0.06,0.13
0.28,0.15
0.51,0.4
0.14,0.09
0.17,0.17
0.14,0.060000000000000005
0.34,0.5
0.37,0.05
0.51,0.65
0.41,0.5
0.34,0.3
0.26,0.15000000000000002
0.32,0.44999999999999996
0.47,0.4
0.39,0.39999999999999997
0.17,0.06
0.19,0.05
0.15,0.2
0.33,0.6000000000000001
0.04,0.04
0.49,0.55
0.37,0.25
0.17,0.1
0.12,0.1
0.38,0.44999999999999996
0.16,0.1
0.23,0.05
0.52,0.55
0.16,0.15
0.22,0.35
0.39,0.5
0.3,0.25
0.52,0.6
0.32,0.05
0.1,0.12000000000000001
0.29,0.4
0.1,0.07
0.14,0.25
0.17,0.15000000000000002
0.27,0.15
0.52,0.55
0.45,0.35
0.22,0.15
0.5,0.75
0.32,0.05
0.51,0.44999999999999996
0.39,0.35
0.35,0.15000000000000002
0.19,0.05
0.33,0.3
0.17,0.09999999999999999
0.47,0.55
0.1,0.09
0.25,0.05
0.16,0.08
0.38,0.35
0.18,0.05
0.28,0.08
0.44,0.2
0.42,0.2
0.18,0.15
0.39,0.35
0.37,0.44999999999999996
0.21,0.2
0.45,0.51
0.2,0.11
0.18,0.1
0.09,0.05
0.29,0.1
0.17,0.1
0.37,0.42
0.18,0.23
0.15,0.09999999999999999
0.26,0.25
0.19,0.15
0.26,0.15000000000000002
0.25,0.39
0.22,0.15
0.33,0.4
0.19,0.04
0.4,0.25
0.13,0.05
0.4,0.25
0.23,0.05
0.07,0.04
0.18,0.15
0.23,0.65
0.53,0.4
0.34,0.4
0.15,0.15
0.37,0.55
0.61,0.5
0.16,0.23
0.18,0.18
0.2,0.32
0.24,0.35
0.32,0.35
0.45,0.55
0.15,0.1
0.14,0.1
0.34,0.25
0.26,0.29
0.32,0.35
0.21,0.11
0.31,0.25
0.3,0.30000000000000004
0.53,0.14
0.26,0.27999999999999997
0.22,0.15000000000000002
0.14,0.1
0.14,0.07
0.5,0.65
0.42,0.65
0.42,0.3
0.1,0.19999999999999998
0.55,0.5
0.35,0.30000000000000004
0.38,0.3
0.12,0.13
0.2,0.2
0.6,0.5
0.39,0.5
0.09,0.04
0.08,0.01
0.34,0.39999999999999997
0.5,0.6499999999999999
0.28,0.23
0.27,0.25
0.53,0.55
0.27,0.4
0.27,0.15000000000000002
0.24,0.32999999999999996
0.4,0.44999999999999996
0.17,0.11
0.06,0.0
0.21,0.21000000000000002
0.25,0.2
0.35,0.35
0.39,0.35
0.15,0.1
0.48,0.44999999999999996
0.13,0.11
0.57,0.65
0.14,0.15000000000000002
0.51,0.55
0.38,0.5
0.39,0.6499999999999999
0.13,0.01
0.3,0.30000000000000004
0.49,0.15000000000000002
0.34,0.30000000000000004
0.23,0.15
0.37,0.5
0.13,0.12
0.39,0.45
0.18,0.14
0.71,0.85
0.45,0.30000000000000004
0.15,0.2
0.08,0.09
0.47,0.54
0.21,0.30000000000000004
0.23,0.13
0.19,0.12000000000000001
0.36,0.4
0.1,0.06999999999999999
0.44,0.5
0.15,0.15
0.28,0.15000000000000002
0.37,0.5
0.23,0.16
0.26,0.5
0.32,0.15
0.13,0.13
0.34,0.3
0.32,0.39999999999999997
0.26,0.6000000000000001
0.5,0.35
0.18,0.15
0.14,0.1
0.11,0.12000000000000001
0.34,0.2
0.31,0.15000000000000002
0.44,0.09
0.43,0.55
0.49,0.35
0.39,0.15
0.22,0.15
0.24,0.4
0.45,0.7
0.49,0.35
0.27,0.5
0.48,0.5
0.08,0.13
0.12,0.05
0.18,0.2
0.33,0.5
0.31,0.24
0.12,0.12
0.32,0.25
0.33,0.30000000000000004
0.18,0.11
0.18,0.19
0.19,0.25
0.1,0.08
0.34,0.5
0.4,0.45
0.36,0.15000000000000002
0.42,0.5
0.29,0.3
0.45,0.44999999999999996
0.51,0.6599999999999999
0.21,0.19999999999999998
0.49,0.7
0.46,0.69
0.27,0.21000000000000002
0.15,0.1
0.16,0.05
0.4,0.15000000000000002
0.4,0.15
0.48,0.6000000000000001
0.16,0.09999999999999999
0.32,0.3
0.44,0.44999999999999996
0.18,0.24
0.26,0.23
0.31,0.33999999999999997
0.49,0.6
0.46,0.44999999999999996
0.22,0.15
0.25,0.25
0.15,0.09
0.37,0.35
0.17,0.04
0.3,0.27999999999999997
0.4,0.23
0.15,0.23
0.36,0.26
0.12,0.19
0.2,0.15
0.26,0.35
0.34,0.25
0.21,0.35
0.09,0.07
0.42,0.15
0.25,0.25
0.27,0.18000000000000002
0.23,0.25
0.16,0.09999999999999999
0.25,0.15
0.22,0.23
0.23,0.1
0.28,0.3
0.15,0.12000000000000001
0.18,0.1
0.3,0.2
0.34,0.3
0.4,0.35
0.05,0.04
0.33,0.4
0.3,0.24
0.2,0.35
0.21,0.15
0.12,0.09
0.32,0.25
0.27,0.5
0.49,0.55
0.35,0.35
0.37,0.35
0.07,0.07
0.48,0.75
0.45,0.5
0.35,0.5800000000000001
0.29,0.39999999999999997
0.31,0.13
0.09,0.13
0.17,0.14
0.13,0.0
0.42,0.55
0.21,0.31000000000000005
0.09,0.03
0.63,0.69
0.1,0.07
0.65,0.5
0.31,0.2
0.3,0.1
0.38,0.37
0.12,0.11
0.36,0.39999999999999997
0.15,0.14
0.19,0.15
0.37,0.44999999999999996
0.04,0.11
0.51,0.5
0.28,0.45
0.17,0.12000000000000001
0.36,0.44999999999999996
0.28,0.35
0.05,0.02
0.68,0.8500000000000001
0.15,0.1
0.4,0.4
0.55,0.44999999999999996
0.14,0.26
0.49,0.5
0.14,0.25
0.34,0.15
0.41,0.35
0.31,0.3
0.29,0.39999999999999997
0.16,0.05
0.27,0.4
0.2,0.09999999999999999
0.25,0.35
0.41,0.30000000000000004
0.11,0.22
0.44,0.5
0.6,0.5
0.14,0.24000000000000002
0.39,0.4
0.15,0.14
0.11,0.07
0.12,0.0
0.36,0.25
0.28,0.25
0.17,0.15
0.51,0.15000000000000002
0.19,0.05
0.25,0.5
0.17,0.1
0.17,0.38
0.28,0.4
0.32,0.25
0.28,0.18000000000000002
0.24,0.05
0.49,0.6
0.28,0.53
0.2,0.29000000000000004
0.21,0.35
0.29,0.22
0.31,0.21000000000000002
0.21,0.39999999999999997
0.3,0.22
0.36,0.55
0.17,0.35
0.32,0.25
0.14,0.15
0.46,0.55
0.44,0.4
0.43,0.35
0.22,0.4
0.11,0.13
0.21,0.35
0.28,0.3
0.32,0.27999999999999997
0.18,0.05
0.15,0.0
0.28,0.35
0.36,0.24000000000000002
0.19,0.1
0.4,0.9500000000000001
0.51,0.56
0.17,0.12000000000000001
0.1,0.0
0.21,0.05
0.4,0.9500000000000001
0.17,0.19
0.69,0.8
0.18,0.15000000000000002
0.33,0.2
0.31,0.5
0.19,0.21000000000000002
0.33,0.3
0.37,0.35
0.2,0.25
0.04,0.05
0.45,0.44999999999999996
0.47,0.6000000000000001
0.16,0.14
0.46,0.45
0.21,0.15000000000000002
0.09,0.1
0.11,0.03
0.19,0.05
0.2,0.23
0.15,0.13
0.37,0.35
0.16,0.12
0.4,0.25
0.22,0.15
0.37,0.24000000000000002
0.12,0.1
0.12,0.19
0.29,0.09
0.4,0.45
0.17,0.12
0.35,0.4
0.28,0.25
0.32,0.4
0.59,0.7000000000000001
0.2,0.22
0.15,0.13
0.36,0.55
0.21,0.32999999999999996
0.11,0.0
0.26,0.18000000000000002
0.33,0.3
0.41,0.35
0.18,0.22
0.27,0.5
0.12,0.16999999999999998
0.4,0.25
0.31,0.25
0.22,0.15000000000000002
0.44,0.41
0.1,0.13
0.18,0.2
0.33,0.39999999999999997
0.13,0.11
0.18,0.21000000000000002
0.37,0.44999999999999996
0.39,0.5
0.55,0.5
0.37,0.44999999999999996
0.44,0.55
0.21,0.27
0.14,0.05
0.16,0.15
0.34,0.4
0.26,0.13
0.4,0.35
0.14,0.0
0.32,0.3
0.34,0.45
0.23,0.15000000000000002
0.36,0.25
0.3,0.15
0.22,0.26
0.31,0.29
0.31,0.1
0.27,0.25
0.26,0.35
0.34,0.25
0.21,0.05
0.28,0.08
0.27,0.30000000000000004
0.22,0.4
0.41,0.35
0.35,0.35
0.17,0.13
0.16,0.060000000000000005
0.47,0.45
0.13,0.1
0.15,0.07
0.3,0.05
0.09,0.04
0.28,0.2
0.24,0.39
0.21,0.21000000000000002
0.34,0.15000000000000002
0.58,0.67
0.24,0.25
0.23,0.25
0.19,0.23
0.19,0.05
0.23,0.33
0.32,0.15000000000000002
0.26,0.44999999999999996
0.34,0.4
0.38,0.2
0.22,0.14
0.45,0.65
0.31,0.22
0.49,0.6
0.14,0.08
0.47,0.45
0.38,0.44999999999999996
0.28,0.25
0.27,0.15
0.31,0.15000000000000002
0.12,0.0
0.27,0.18000000000000002
0.21,0.12
0.17,0.18
0.06,0.06
0.44,0.5
0.17,0.23
0.38,0.5
0.38,0.35
0.31,0.05
0.16,0.16
0.14,0.2
0.3,0.45
0.6,0.65
0.27,0.21
0.32,0.25
0.58,0.78
0.34,0.30000000000000004
0.38,0.49
0.51,0.4
0.18,0.35
0.34,0.49
0.16,0.05
0.33,0.35
0.28,0.15
0.21,0.32999999999999996
0.54,0.44999999999999996
0.19,0.14
0.22,0.09999999999999999
0.4,0.4
0.53,0.45
0.22,0.05
0.37,0.39999999999999997
0.19,0.1
0.36,0.25
0.14,0.18
0.35,0.42
0.31,0.15
0.34,0.35
0.1,0.11
0.11,0.01
0.11,0.05
0.07,0.06
0.17,0.05
0.21,0.14
0.22,0.2
0.35,0.5
0.37,0.44999999999999996
0.25,0.22
0.14,0.25
0.13,0.13
0.16,0.15
0.47,0.75
0.55,0.8500000000000001
0.41,0.44999999999999996
0.22,0.3
0.37,0.35
0.34,0.35
0.29,0.45
0.11,0.09
0.28,0.3
0.47,0.5
0.24,0.4
0.2,0.22
0.31,0.16
0.45,0.5
0.14,0.06999999999999999
0.09,0.03
0.23,0.2
0.27,0.6000000000000001
0.19,0.15
0.25,0.30000000000000004
0.25,0.44
0.28,0.44999999999999996
0.2,0.15
0.43,0.38
0.41,0.4
0.39,0.35
0.44,0.6499999999999999
0.48,0.66
0.32,0.15000000000000002
0.45,0.44999999999999996
0.27,0.15
0.13,0.16999999999999998
0.23,0.25
0.56,0.55
0.3,0.55
0.38,0.44999999999999996
0.2,0.08
0.3,0.05
0.5,0.65
0.35,0.39999999999999997
0.37,0.35
0.39,0.35
0.17,0.18
0.39,0.4
0.2,0.2
0.29,0.35
0.19,0.12000000000000001
0.29,0.15
0.17,0.18
0.35,0.5
0.38,0.44999999999999996
0.41,0.35
0.34,0.65
0.25,0.39
0.36,0.44999999999999996
0.14,0.07
0.27,0.35
0.28,0.44999999999999996
0.39,0.51
0.17,0.1
0.32,0.25
0.36,0.39
0.17,0.07
0.31,0.8
0.25,0.25
0.33,0.4
0.31,0.24
0.49,0.55
0.18,0.1
0.21,0.15
0.08,0.07
0.16,0.15
0.23,0.4
0.35,0.35
0.12,0.08
0.29,0.22
0.41,0.39
0.14,0.060000000000000005
0.11,0.09
0.16,0.29
0.11,0.07
0.3,0.13
0.47,0.75
0.24,0.2
0.27,0.25
0.14,0.2
0.33,0.3
0.14,0.01
0.21,0.15
0.08,0.05
0.5,0.6000000000000001
0.07,0.0
0.26,0.16
0.28,0.4
0.24,0.5
0.32,0.15000000000000002
0.1,0.0
0.15,0.05
0.19,0.14
0.36,0.05
0.51,0.55
0.57,0.59
0.4,0.4
0.16,0.0
0.29,0.25
0.16,0.15000000000000002
0.29,0.44999999999999996
0.21,0.16999999999999998
0.17,0.16
0.11,0.0
0.3,0.27999999999999997
0.19,0.15000000000000002
0.28,0.22
0.35,0.15
0.15,0.23
0.14,0.05
0.34,0.5
0.31,0.4
0.13,0.09
0.63,0.78
0.16,0.23
0.18,0.19
0.16,0.1
0.31,0.22
0.28,0.5
0.27,0.15
0.09,0.08
0.5,0.75
0.15,0.26
0.56,0.8999999999999999
0.22,0.15
0.15,0.14
0.19,0.14
0.48,0.55
0.55,0.55
0.4,0.35
0.65,0.75
0.24,0.30000000000000004
0.33,0.35
0.39,0.6499999999999999
0.25,0.05
0.15,0.15000000000000002
0.22,0.24
0.31,0.25
0.13,0.25
0.18,0.1
0.44,0.30000000000000004
0.23,0.15
0.43,0.5
0.5,0.6000000000000001
0.45,0.4
0.28,0.25
0.35,0.35
0.48,0.5
0.37,0.5
0.27,0.44999999999999996
0.3,0.27999999999999997
0.29,0.2
0.11,0.1
0.22,0.1
0.16,0.16
0.31,0.35
0.46,0.4
0.14,0.16
0.35,0.35
0.31,0.3
0.26,0.15000000000000002
0.21,0.35
0.44,0.5
0.25,0.25
0.3,0.25
0.17,0.05
0.18,0.35
0.18,0.1
0.13,0.0
0.25,0.35
0.18,0.25
0.32,0.25
0.42,0.35
0.32,0.5
0.08,0.0
0.1,0.06
0.28,0.30000000000000004
0.17,0.15
0.4,0.15
0.12,0.06999999999999999
0.26,0.39999999999999997
0.27,0.13
0.37,0.48
0.31,0.4
0.27,0.15
0.17,0.28
0.23,0.15
0.28,0.4
0.29,0.45
0.35,0.5800000000000001
0.24,0.15
0.1,0.29
0.45,0.53
0.33,0.44999999999999996
0.3,0.35
0.21,0.18
0.25,0.3
0.1,0.23
0.14,0.25
0.25,0.35
0.39,0.25
0.35,0.5
0.25,0.23
0.37,0.16
0.27,0.25
0.33,0.30000000000000004
0.31,0.30000000000000004
0.58,0.65
0.22,0.5
0.17,0.1
0.41,0.35
0.4,0.49
0.33,0.5
0.15,0.15
0.15,0.1
0.18,0.06
0.3,0.35
0.08,0.0
0.11,0.15
0.19,0.25
0.15,0.15
0.12,0.16
0.34,0.15
0.46,0.9
0.21,0.05
0.27,0.15000000000000002
0.49,0.55
0.27,0.2
0.18,0.08
0.2,0.21000000000000002
0.32,0.25
0.22,0.19
0.21,0.03
0.5,0.51
0.3,0.3
0.26,0.35
0.53,0.4
0.41,0.55
0.54,0.55
0.13,0.13
0.26,0.35
0.12,0.14
0.13,0.15
0.19,0.1
0.28,0.1
0.14,0.26
0.3,0.1
0.5,0.56
0.07,0.08
0.22,0.18000000000000002
0.45,0.45
0.3,0.15
0.25,0.25
0.29,0.5
0.23,0.45
0.21,0.1
0.32,0.6
0.35,0.5
0.23,0.24
0.27,0.29
0.14,0.15
0.19,0.25
0.38,0.48
0.14,0.15
0.38,0.43000000000000005
0.36,0.35
0.27,0.35
0.42,0.35
0.55,0.6499999999999999
0.4,0.4
0.49,0.6000000000000001
0.47,0.5
0.27,0.25
0.36,0.52
0.09,0.05
0.2,0.29000000000000004
0.12,0.05
0.11,0.06
0.1,0.21
0.15,0.2
0.38,0.35
0.15,0.1
0.3,0.25
0.16,0.0
0.13,0.1
0.26,0.27999999999999997
0.09,0.03
0.3,0.2
0.45,0.75
0.18,0.15
0.36,0.65
0.18,0.24
0.15,0.060000000000000005
0.27,0.44999999999999996
0.25,0.05
0.61,0.6
0.16,0.24000000000000002
0.24,0.15
0.35,0.5
0.44,0.45
0.09,0.04
0.19,0.06
0.37,0.26
0.13,0.44999999999999996
0.35,0.30000000000000004
0.39,0.30000000000000004
0.35,0.4
0.5,0.6499999999999999
0.11,0.18000000000000002
0.4,0.4
0.51,0.5
0.34,0.44999999999999996
0.55,0.6
0.26,0.05
0.22,0.15
0.12,0.15
0.11,0.0
0.44,0.5
0.28,0.30000000000000004
0.12,0.13
0.08,0.09999999999999999
0.23,0.05
0.23,0.25
0.28,0.4
0.24,0.15
0.06,0.08
0.1,0.07
0.53,0.79
0.16,0.04
0.16,0.05
0.17,0.17
0.16,0.22000000000000003
0.2,0.16999999999999998
0.39,0.35
0.08,0.11
0.15,0.09999999999999999
0.39,0.35
0.21,0.35
0.54,0.65
0.26,0.39999999999999997
0.63,0.6
0.2,0.17
0.16,0.09
0.3,0.4
0.32,0.3
0.35,0.35
0.31,0.1
0.12,0.2
0.48,0.75
0.14,0.15
0.21,0.12
0.51,0.6000000000000001
0.15,0.08
0.2,0.3
0.41,0.45
0.08,0.01
0.44,0.2
0.08,0.0
0.45,0.45
0.37,0.6
0.32,0.55
0.22,0.16
0.36,0.44999999999999996
0.31,0.45
0.21,0.05
0.31,0.25
0.16,0.12000000000000001
0.08,0.16
0.32,0.39999999999999997
0.4,0.35
0.2,0.25
0.46,0.7
0.34,0.2
0.42,0.6000000000000001
0.37,0.35
0.35,0.5
0.41,0.44999999999999996
0.11,0.18000000000000002
0.2,0.0
0.26,0.25
0.27,0.4
0.22,0.13
0.18,0.15000000000000002
0.25,0.30000000000000004
0.23,0.16
0.25,0.2
0.39,0.4
0.38,0.44999999999999996
