phase3_pred_cv,phase3_test_cv
0.32,0.35
0.27,0.18000000000000002
0.43,0.35
0.36,0.35
0.2,0.26
0.66,0.75
0.23,0.15
0.19,0.14
0.5,0.75
0.53,0.65
0.23,0.5
0.23,0.15
0.16,0.15
0.33,0.25
0.15,0.29
0.38,0.25
0.36,0.35
0.43,0.35
0.13,0.1
0.28,0.35
0.36,0.25
0.39,0.6000000000000001
0.28,0.35
0.27,0.16999999999999998
0.49,0.6
0.48,0.45
0.55,0.55
0.12,0.15
0.34,0.5800000000000001
0.23,0.07
0.23,0.15000000000000002
0.52,0.5
0.2,0.07
0.19,0.29000000000000004
0.32,0.44999999999999996
0.21,0.26
0.19,0.33999999999999997
0.18,0.15
0.4,0.05
0.23,0.15
0.54,0.65
0.36,0.4
0.13,0.12
0.38,0.49
0.3,0.45
0.15,0.1
0.58,0.7000000000000001
0.37,0.45
0.15,0.15
0.21,0.35
0.19,0.2
0.28,0.15
0.32,0.2
0.11,0.09
0.13,0.05
0.2,0.15
0.37,0.48
0.28,0.25
0.13,0.08
0.4,0.25
0.28,0.08
0.38,0.4
0.14,0.06999999999999999
0.37,0.39999999999999997
0.24,0.05
0.2,0.4
0.35,0.5
0.38,0.55
0.19,0.25
0.27,0.45999999999999996
0.43,0.4
0.36,0.1
0.17,0.16999999999999998
0.15,0.14
0.16,0.13
0.17,0.1
0.38,0.24000000000000002
0.39,0.55
0.15,0.2
0.27,0.39999999999999997
0.57,0.55
0.17,0.23
0.15,0.15000000000000002
0.24,0.05
0.29,0.15
0.35,0.25
0.23,0.39
0.32,0.25
0.48,0.5
0.51,0.5
0.19,0.05
0.36,0.39999999999999997
0.25,0.3
0.34,0.44999999999999996
0.09,0.08
0.35,0.3
0.44,0.30000000000000004
0.26,0.18000000000000002
0.23,0.2
0.2,0.35
0.47,0.5
0.19,0.13
0.27,0.32999999999999996
0.27,0.4
0.1,0.09
0.41,0.25
0.34,0.44999999999999996
0.2,0.31000000000000005
0.58,0.65
0.12,0.15
0.32,0.35
0.36,0.5
0.18,0.22
0.15,0.05
0.64,0.6000000000000001
0.4,0.44999999999999996
0.17,0.05
0.3,0.34
0.4,0.2
0.39,0.65
0.25,0.15000000000000002
0.1,0.25
0.25,0.35
0.17,0.05
0.13,0.16999999999999998
0.19,0.32
0.2,0.22
0.34,0.39
0.23,0.15
0.56,0.74
0.45,0.25
0.11,0.2
0.17,0.18
0.18,0.15000000000000002
0.42,0.54
0.39,0.9
0.16,0.15
0.19,0.17
0.25,0.15
0.1,0.07
0.17,0.1
0.16,0.15000000000000002
0.32,0.2
0.43,0.6000000000000001
0.18,0.22
0.09,0.09
0.23,0.25
0.59,0.8500000000000001
0.46,0.44999999999999996
0.44,0.65
0.24,0.25
0.48,0.5900000000000001
0.13,0.15
0.16,0.1
0.26,0.18
0.21,0.28
0.25,0.15
0.59,0.7
0.1,0.03
0.38,0.28
0.4,0.25
0.28,0.44
0.4,0.15000000000000002
0.2,0.22000000000000003
0.16,0.05
0.43,0.39999999999999997
0.39,0.43000000000000005
0.09,0.03
0.41,0.4
0.13,0.01
0.1,0.0
0.36,0.44999999999999996
0.51,0.15000000000000002
0.33,0.5
0.31,0.3
0.27,0.44999999999999996
0.15,0.15
0.46,0.6000000000000001
0.52,0.44999999999999996
0.13,0.0
0.35,0.4
0.12,0.05
0.41,0.35
0.44,0.75
0.32,0.45
0.32,0.5
0.24,0.2
