phase3_pred_fc,phase3_test_fc
0.32,0.35
0.29,0.3
0.33,0.35
0.5,0.5
0.5,0.5
0.21,0.25
0.33,0.35
0.32,0.35
0.54,0.6499999999999999
0.54,0.6499999999999999
0.44,0.5
0.4,0.55
0.45,0.5
0.41,0.55
0.48,0.45
0.48,0.45
0.37,0.35
0.35,0.15
0.36,0.5
0.37,0.35
0.35,0.15
0.36,0.5
0.46,0.5
0.47,0.5
0.44,0.44999999999999996
0.44,0.44999999999999996
0.24,0.1
0.25,0.5
0.25,0.55
0.25,0.15
0.26,0.55
0.26,0.15
0.26,0.5
0.22,0.03
0.34,0.5
0.53,0.7
0.6,0.6
0.53,0.7
0.6,0.6
0.29,0.55
0.25,0.5
0.29,0.3
0.29,0.5
0.29,0.5
0.28,0.55
0.26,0.5
0.29,0.3
0.31,0.5
0.31,0.5
0.27,0.5
0.27,0.5
0.36,0.5
0.33,0.5
0.15,0.05
0.18,0.5
0.24,0.35
0.23,0.05
0.15,0.05
0.18,0.5
0.24,0.35
0.22,0.05
0.24,0.05
0.23,0.05
0.25,0.15
0.18,0.05
0.24,0.15
0.19,0.4
0.25,0.5
0.31,0.35
0.3,0.5
0.19,0.4
0.25,0.5
0.31,0.35
0.31,0.5
0.35,0.5
0.43,0.35
0.35,0.5
0.43,0.35
0.22,0.25
0.32,0.25
0.33,0.25
0.19,0.05
0.22,0.15
0.18,0.05
0.21,0.15
0.36,0.44999999999999996
0.32,0.39999999999999997
0.23,0.4
0.25,0.5
0.29,0.5
0.23,0.4
0.25,0.5
0.29,0.5
0.29,0.3
0.22,0.35
0.18,0.3
0.22,0.15
0.23,0.39999999999999997
0.34,0.39999999999999997
0.35,0.35
0.36,0.44999999999999996
0.36,0.15
0.17,0.35
0.17,0.3
0.24,0.15
0.18,0.35
0.17,0.3
0.19,0.15
0.34,0.55
0.34,0.5
0.21,0.1
0.21,0.25
0.21,0.1
0.21,0.25
0.26,0.15
0.27,0.25
0.2,0.25
0.2,0.25
0.23,0.05
0.24,0.35
0.23,0.44999999999999996
0.24,0.35
0.23,0.44999999999999996
0.28,0.15000000000000002
0.3,0.5
0.29,0.44999999999999996
0.29,0.5
0.26,0.44999999999999996
0.21,0.2
0.21,0.2
0.29,0.3
0.26,0.5
0.27,0.3
0.26,0.5
0.31,0.15000000000000002
0.28,0.05
0.28,0.05
0.29,0.05
0.3,0.15
0.25,0.15
0.28,0.39999999999999997
0.29,0.2
0.28,0.2
0.28,0.5
0.29,0.5
0.32,0.39999999999999997
0.32,0.39999999999999997
0.29,0.39999999999999997
0.31,0.35
0.28,0.44999999999999996
0.35,0.1
0.31,0.35
0.28,0.44999999999999996
0.35,0.1
0.19,0.23
0.2,0.25
0.18,0.41000000000000003
0.2,0.44999999999999996
0.25,0.05
0.21,0.23
0.22,0.25
0.19,0.41000000000000003
0.23,0.44999999999999996
0.24,0.05
0.33,0.13
0.33,0.35
0.26,0.44999999999999996
0.3,0.1
0.14,0.23
0.17,0.41000000000000003
0.17,0.05
0.24,0.13
0.23,0.35
0.26,0.13
0.25,0.35
0.21,0.13
0.21,0.35
0.2,0.44
0.26,0.3
0.29,0.13
0.28,0.35
0.29,0.15
0.14,0.23
0.17,0.41000000000000003
0.24,0.15000000000000002
0.22,0.15000000000000002
0.31,0.1
0.14,0.23
0.16,0.41000000000000003
0.25,0.15000000000000002
0.21,0.15000000000000002
0.21,0.13
0.19,0.35
0.22,0.44
0.26,0.3
0.28,0.15
0.21,0.13
0.19,0.35
0.22,0.44
0.26,0.3
0.28,0.15
0.2,0.44999999999999996
0.25,0.35
0.29,0.35
0.25,0.35
0.31,0.35
0.19,0.13
0.19,0.44
0.21,0.35
0.33,0.1
0.29,0.13
0.3,0.44
0.31,0.2
0.23,0.15
0.27,0.44
0.31,0.35
0.33,0.35
0.27,0.05
0.16,0.21000000000000002
0.29,0.15
0.16,0.21000000000000002
0.29,0.15
0.15,0.23
0.15,0.41000000000000003
0.22,0.15
0.21,0.15
0.26,0.44
0.32,0.3
0.32,0.15
0.16,0.23
0.17,0.15
0.25,0.15
0.16,0.23
0.27,0.2
0.24,0.15
0.2,0.18000000000000002
0.21,0.18000000000000002
0.25,0.52
0.2,0.18000000000000002
0.23,0.52
0.22,0.39999999999999997
0.29,0.05
0.29,0.21000000000000002
0.32,0.1
0.31,0.1
0.14,0.21000000000000002
0.21,0.15000000000000002
0.22,0.52
0.27,0.08
0.32,0.39999999999999997
0.26,0.2
0.23,0.08
0.31,0.39999999999999997
0.25,0.2
0.28,0.21000000000000002
0.29,0.48
0.26,0.35
0.25,0.35
0.21,0.15
0.33,0.35
0.29,0.48
0.25,0.35
0.3,0.21000000000000002
0.29,0.48
0.31,0.35
0.31,0.35
0.3,0.21000000000000002
0.3,0.48
0.31,0.65
0.31,0.65
0.25,0.18000000000000002
0.27,0.52
0.26,0.9500000000000001
0.28,0.9500000000000001
0.42,0.15
0.2,0.18000000000000002
0.22,0.52
0.24,0.9
0.31,0.9
0.2,0.18000000000000002
0.22,0.52
0.24,0.9
0.31,0.9
0.24,0.18000000000000002
0.25,0.52
0.27,0.9500000000000001
0.3,0.9500000000000001
0.23,0.48
0.3,0.25
0.34,0.25
0.44,0.15
0.15,0.08
0.18,0.23
0.27,0.05
0.23,0.05
0.14,0.08
0.17,0.23
0.27,0.05
0.22,0.05
0.22,0.21000000000000002
0.26,0.48
0.32,0.65
0.28,0.35
0.41,0.15
0.23,0.21000000000000002
0.27,0.48
0.32,0.65
0.29,0.35
0.4,0.15
0.28,0.21000000000000002
0.29,0.48
0.32,0.65
0.32,0.35
0.28,0.21000000000000002
0.29,0.48
0.32,0.65
0.32,0.35
0.39,0.15
0.39,0.15
0.45,0.2
0.23,0.52
0.29,0.48
0.29,0.1
0.29,0.48
0.28,0.1
0.21,0.18000000000000002
0.23,0.52
0.23,0.9
0.39,0.15
0.41,0.15
0.27,0.48
0.38,0.15
0.41,0.15
0.28,0.27999999999999997
0.3,0.35
0.38,0.15
0.41,0.15
0.28,0.27999999999999997
0.28,0.35
0.16,0.08
0.18,0.23
0.26,0.05
0.31,0.05
0.16,0.08
0.18,0.23
0.26,0.05
0.31,0.05
0.16,0.08
0.17,0.23
0.25,0.05
0.23,0.05
0.4,0.15
0.28,0.55
0.28,0.55
0.37,0.15
0.29,0.27999999999999997
0.26,0.15000000000000002
0.29,0.27999999999999997
0.26,0.15000000000000002
0.16,0.08
0.18,0.23
0.18,0.39999999999999997
0.17,0.15
0.15,0.08
0.16,0.23
0.15,0.39999999999999997
0.14,0.15
0.12,0.08
0.14,0.23
0.2,0.05
0.15,0.08
0.16,0.23
0.23,0.05
0.22,0.05
0.16,0.09
0.19,0.05
0.14,0.09
0.17,0.15
0.29,0.55
0.28,0.55
0.27,0.55
0.12,0.09
0.14,0.23
0.13,0.39999999999999997
0.12,0.15
0.3,0.55
0.29,0.55
0.12,0.09
0.14,0.23
0.15,0.15
0.17,0.15
0.24,0.15
0.29,0.32999999999999996
0.3,0.25
0.29,0.25
0.29,0.55
0.31,0.55
0.23,0.15
0.32,0.32999999999999996
0.27,0.2
0.27,0.25
0.29,0.55
0.29,0.55
0.12,0.09
0.13,0.23
0.15,0.25
0.17,0.05
0.12,0.09
0.14,0.23
0.17,0.39999999999999997
0.16,0.1
0.29,0.15
0.34,0.32999999999999996
0.36,0.5
0.34,0.44999999999999996
0.29,0.15
0.34,0.32999999999999996
0.35,0.5
0.34,0.44999999999999996
0.18,0.09999999999999999
0.21,0.31
0.18,0.39999999999999997
0.19,0.1
0.28,0.32999999999999996
0.3,0.25
0.28,0.25
0.29,0.25
0.28,0.25
0.2,0.09999999999999999
0.22,0.31
0.2,0.44999999999999996
0.22,0.44999999999999996
0.28,0.55
0.29,0.55
0.26,0.31
0.28,0.25
0.27,0.31
0.27,0.25
0.15,0.09
0.16,0.23
0.18,0.44999999999999996
0.19,0.44999999999999996
0.3,0.55
0.26,0.13999999999999999
0.34,0.55
0.26,0.13999999999999999
0.34,0.55
0.29,0.55
0.26,0.15
0.31,0.32999999999999996
0.3,0.5
0.3,0.5
0.26,0.45
0.25,0.5
0.37,0.45
0.29,0.5
0.37,0.45
0.29,0.5
0.29,0.55
0.3,0.55
0.21,0.31
0.13,0.09
0.36,0.15
0.36,0.15
0.3,0.55
0.27,0.55
0.2,0.09999999999999999
0.2,0.31
0.29,0.4
0.34,0.4
0.19,0.09999999999999999
0.2,0.31
0.29,0.4
0.34,0.4
0.21,0.22
0.24,0.37
0.28,0.5
0.28,0.44999999999999996
0.26,0.55
0.3,0.5
0.28,0.4
0.25,0.4
0.22,0.22
0.26,0.37
0.29,0.5
0.28,0.44999999999999996
0.23,0.4
0.2,0.4
0.31,0.21
0.28,0.55
0.31,0.21
0.28,0.55
0.23,0.22
0.26,0.37
0.28,0.55
0.31,0.5
0.23,0.22
0.27,0.37
0.33,0.6000000000000001
0.3,0.55
0.3,0.55
0.3,0.6000000000000001
0.3,0.22
0.25,0.37
0.24,0.22
0.28,0.37
0.29,0.55
0.28,0.22
0.25,0.37
0.28,0.55
0.28,0.43000000000000005
0.28,0.5
0.3,0.5
0.24,0.22
0.35,0.35
0.35,0.35
0.29,0.21
0.32,0.42
0.39,0.35
0.28,0.35
0.29,0.21
0.32,0.42
0.39,0.35
0.28,0.35
0.29,0.15
0.29,0.15
0.27,0.21
0.3,0.42
0.29,0.35
0.28,0.35
0.25,0.25
0.25,0.25
0.24,0.25
0.28,0.21
0.29,0.42
0.33,0.35
0.28,0.35
0.28,0.55
0.28,0.35
0.28,0.35
0.31,0.22
0.33,0.43000000000000005
0.37,0.5
0.35,0.5
0.29,0.5
0.24,0.35
0.28,0.35
0.28,0.35
0.31,0.22
0.34,0.43000000000000005
0.37,0.5
0.36,0.5
0.27,0.35
0.32,0.22
0.36,0.43000000000000005
0.35,0.55
0.31,0.55
0.32,0.22
0.36,0.43000000000000005
0.35,0.55
0.31,0.55
0.23,0.43000000000000005
0.2,0.55
0.27,0.5
0.26,0.2
0.24,0.39
0.28,0.35
0.29,0.2
0.29,0.39
0.31,0.35
0.3,0.2
0.27,0.39
0.26,0.5
0.3,0.2
0.27,0.39
0.26,0.5
0.27,0.4
0.22,0.14
0.29,0.24
0.33,0.3
0.29,0.3
0.21,0.14
0.25,0.24
0.3,0.3
0.26,0.3
0.26,0.14
0.31,0.35
0.26,0.14
0.31,0.35
0.31,0.14
0.27,0.24
0.33,0.35
0.28,0.35
0.31,0.14
0.27,0.24
0.33,0.35
0.28,0.35
0.32,0.14
0.29,0.3
0.31,0.14
0.29,0.3
0.25,0.24
0.29,0.24
0.33,0.44999999999999996
0.39,0.44999999999999996
0.33,0.44999999999999996
0.39,0.35
0.31,0.35
0.34,0.35
0.38,0.5
0.38,0.25
0.36,0.55
0.42,0.5
0.35,0.5
0.41,0.35
0.4,0.44999999999999996
0.41,0.4
0.33,0.44999999999999996
0.37,0.44999999999999996
0.35,0.55
0.39,0.44999999999999996
0.4,0.5
0.43,0.55
0.41,0.3
0.4,0.25
0.32,0.5
0.35,0.30000000000000004
0.39,0.4
0.31,0.45
0.34,0.30000000000000004
0.38,0.35
0.34,0.5
0.4,0.35
0.32,0.45
0.35,0.4
0.34,0.45
0.35,0.44999999999999996
0.34,0.44999999999999996
0.35,0.55
0.41,0.30000000000000004
0.33,0.55
0.35,0.4
0.33,0.5
0.35,0.44999999999999996
0.4,0.4
0.34,0.5
0.34,0.30000000000000004
0.36,0.44999999999999996
0.36,0.39999999999999997
0.35,0.30000000000000004
0.35,0.15000000000000002
0.34,0.4
0.33,0.4
0.39,0.25
0.34,0.30000000000000004
0.28,0.5
0.32,0.39999999999999997
0.33,0.15
0.31,0.35
0.35,0.4
0.35,0.4
0.29,0.4
0.31,0.5
0.34,0.44999999999999996
0.28,0.4
0.29,0.35
0.35,0.44999999999999996
0.37,0.3
0.35,0.44999999999999996
0.35,0.3
0.3,0.35
0.23,0.4
0.31,0.35
0.3,0.4
0.29,0.35
0.36,0.4
0.34,0.3
0.28,0.4
0.29,0.35
0.27,0.5
0.23,0.4
0.28,0.44999999999999996
0.26,0.4
0.22,0.4
0.28,0.44999999999999996
0.32,0.3
0.27,0.4
0.26,0.5
0.28,0.4
0.29,0.4
0.28,0.35
0.31,0.4
0.33,0.4
0.28,0.55
0.4,0.4
0.36,0.55
0.39,0.4
0.37,0.55
0.4,0.4
0.25,0.44999999999999996
0.27,0.4
0.28,0.35
0.29,0.35
0.34,0.35
0.32,0.35
0.41,0.5
0.31,0.3
0.35,0.44999999999999996
0.42,0.5
0.31,0.3
0.37,0.44999999999999996
0.26,0.5
0.29,0.35
0.33,0.35
0.26,0.25
0.36,0.35
0.25,0.4
0.24,0.25
0.28,0.25
0.32,0.55
0.38,0.4
0.36,0.4
0.41,0.25
0.38,0.25
0.32,0.4
0.39,0.25
0.35,0.25
0.31,0.5
0.34,0.35
0.32,0.4
0.31,0.25
0.31,0.25
0.32,0.44999999999999996
0.33,0.4
0.36,0.44999999999999996
0.41,0.25
0.41,0.25
0.36,0.5
0.38,0.35
0.31,0.4
0.31,0.25
0.34,0.44999999999999996
0.32,0.44999999999999996
0.34,0.4
0.36,0.44999999999999996
0.32,0.25
0.4,0.55
0.43,0.5
0.32,0.44999999999999996
0.33,0.25
0.38,0.44999999999999996
0.39,0.55
0.42,0.5
0.42,0.5
0.31,0.44999999999999996
0.29,0.25
0.33,0.35
0.46,0.5
0.32,0.44999999999999996
0.35,0.25
0.37,0.35
0.41,0.55
0.3,0.44999999999999996
0.32,0.25
0.33,0.35
0.37,0.44999999999999996
0.38,0.25
0.42,0.44999999999999996
0.36,0.44999999999999996
0.38,0.25
0.42,0.44999999999999996
0.33,0.44999999999999996
0.3,0.25
0.37,0.35
0.45,0.5
0.32,0.44999999999999996
0.3,0.25
0.37,0.35
0.42,0.35
0.42,0.35
0.41,0.55
0.49,0.5
0.38,0.44999999999999996
0.39,0.25
0.43,0.35
0.36,0.44999999999999996
0.37,0.25
0.41,0.35
