phase3_pred_fc,phase3_test_fc
0.24,0.15000000000000002
0.27,0.18
0.29,0.55
0.27,0.6
0.22,0.22
0.3,0.6
0.26,0.22
0.3,0.6
0.26,0.22
0.3,0.5
0.21,0.15
0.22,0.22
0.22,0.22
0.26,0.44999999999999996
0.26,0.22
0.27,0.44999999999999996
0.26,0.22
0.25,0.29
0.24,0.29
0.22,0.29
0.23,0.25
0.22,0.25
0.22,0.29
0.26,0.29
0.22,0.25
0.26,0.25
0.26,0.25
0.23,0.25
0.28,0.25
0.28,0.25
0.21,0.15
0.21,0.29
0.21,0.29
0.2,0.15
0.22,0.25
0.21,0.15
0.23,0.15
0.25,0.25
0.26,0.25
0.27,0.25
0.23,0.25
0.23,0.25
0.23,0.15
0.2,0.15
0.2,0.15
0.23,0.15
0.22,0.15
0.24,0.15
0.26,0.15000000000000002
0.26,0.15000000000000002
0.25,0.29
0.26,0.29
0.21,0.16999999999999998
0.21,0.16999999999999998
0.22,0.15
0.22,0.15
0.2,0.18000000000000002
0.22,0.18000000000000002
0.21,0.18000000000000002
0.22,0.18
0.22,0.18
0.19,0.16
0.2,0.16
0.22,0.25
0.22,0.25
0.21,0.15000000000000002
0.2,0.15000000000000002
0.24,0.23
0.25,0.23
0.18,0.15
0.18,0.25
0.18,0.25
0.46,0.6000000000000001
0.21,0.25
0.46,0.55
0.47,0.55
0.46,0.55
0.21,0.2
0.2,0.2
0.3,0.44999999999999996
0.24,0.4
0.25,0.2
0.29,0.3
0.21,0.2
0.28,0.3
0.22,0.2
0.28,0.3
0.21,0.2
0.26,0.15
0.33,0.35
0.25,0.35
0.25,0.2
0.25,0.2
0.39,0.44999999999999996
0.3,0.2
0.36,0.44999999999999996
0.27,0.2
0.34,0.44999999999999996
0.28,0.39999999999999997
0.28,0.39999999999999997
0.38,0.44999999999999996
0.44,0.44999999999999996
0.36,0.2
0.39,0.44999999999999996
0.31,0.35
0.31,0.2
0.3,0.3
0.34,0.44999999999999996
0.36,0.44999999999999996
0.34,0.44999999999999996
0.34,0.15000000000000002
0.35,0.15000000000000002
0.36,0.55
0.27,0.3
0.26,0.3
0.3,0.25
0.26,0.15
0.26,0.15
0.24,0.15
0.32,0.2
0.28,0.15
0.34,0.4
0.33,0.4
0.36,0.4
0.23,0.3
0.25,0.15
0.36,0.2
0.26,0.2
0.25,0.3
0.3,0.1
0.3,0.1
0.29,0.25
0.23,0.25
0.38,0.8500000000000001
0.31,0.4
0.38,0.8500000000000001
0.31,0.4
0.57,0.6499999999999999
0.57,0.6499999999999999
0.24,0.4
0.24,0.4
0.41,0.6
0.41,0.6
0.36,0.25
0.36,0.15
0.36,0.25
0.35,0.15
0.34,0.4
0.25,0.35
0.21,0.05
0.25,0.15000000000000002
0.25,0.25
0.2,0.05
0.25,0.15000000000000002
0.25,0.25
0.49,0.6499999999999999
0.39,0.25
0.36,0.25
0.33,0.15
0.33,0.15
0.32,0.25
0.27,0.3
0.34,0.15
0.25,0.1
0.24,0.05
0.25,0.3
0.19,0.1
0.23,0.3
0.19,0.1
0.22,0.3
0.22,0.35
0.25,0.05
0.23,0.15000000000000002
0.23,0.39999999999999997
0.46,0.55
0.45,0.55
0.24,0.35
0.3,0.4
0.3,0.4
0.28,0.1
0.24,0.35
0.23,0.1
0.22,0.15
0.24,0.5
0.31,0.44999999999999996
0.21,0.05
0.23,0.15000000000000002
0.23,0.39999999999999997
0.18,0.1
0.22,0.1
0.23,0.15
0.24,0.5
0.33,0.44999999999999996
0.23,0.1
0.23,0.05
0.24,0.3
0.23,0.1
0.23,0.05
0.22,0.3
0.26,0.15
0.25,0.15
0.19,0.1
0.18,0.15
0.23,0.15000000000000002
0.43,0.65
0.48,0.55
0.43,0.65
0.48,0.55
0.5,0.6499999999999999
0.5,0.6499999999999999
0.5,0.55
0.5,0.55
0.26,0.1
0.25,0.15000000000000002
0.26,0.1
0.25,0.15000000000000002
0.2,0.1
0.22,0.44999999999999996
0.2,0.1
0.22,0.44999999999999996
0.21,0.1
0.28,0.15
0.26,0.3
0.21,0.1
0.29,0.15
0.25,0.3
0.2,0.1
0.17,0.05
0.26,0.3
0.2,0.1
0.18,0.05
0.26,0.3
0.29,0.15
0.29,0.35
0.28,0.1
0.24,0.35
0.28,0.1
0.25,0.44999999999999996
0.3,0.1
0.26,0.44999999999999996
0.37,0.15
0.3,0.25
0.36,0.15
0.28,0.25
0.49,0.65
0.49,0.65
0.48,0.44999999999999996
0.46,0.55
0.48,0.44999999999999996
0.46,0.55
0.27,0.39999999999999997
0.29,0.39999999999999997
0.21,0.1
0.2,0.1
0.26,0.3
0.21,0.1
0.2,0.1
0.26,0.3
0.6,0.8
0.61,0.15000000000000002
0.6,0.8
0.6,0.15000000000000002
0.38,0.45
0.28,0.25
0.37,0.35
0.33,0.15
0.34,0.35
0.52,0.8500000000000001
0.52,0.8500000000000001
0.31,0.15
0.31,0.35
0.41,0.45
0.31,0.25
0.57,0.55
0.57,0.55
0.2,0.1
0.18,0.15
0.24,0.15
0.2,0.1
0.24,0.15
0.6,0.8
0.6,0.8
0.21,0.1
0.2,0.1
0.27,0.3
0.22,0.1
0.18,0.1
0.26,0.3
0.23,0.1
0.32,0.15
0.33,0.35
0.24,0.15
0.22,0.15
0.23,0.3
0.24,0.15
0.22,0.15
0.23,0.3
0.4,0.45
0.29,0.25
0.4,0.45
0.29,0.25
0.34,0.45
0.33,0.2
0.36,0.45
0.35,0.2
0.51,0.85
0.45,0.85
0.33,0.45
0.2,0.1
0.21,0.15
0.26,0.2
0.34,0.3
0.26,0.2
0.34,0.3
0.39,0.55
0.41,0.35
0.39,0.55
0.41,0.35
0.51,0.8500000000000001
0.51,0.8500000000000001
0.28,0.3
0.28,0.3
0.18,0.1
0.21,0.1
0.49,0.5
0.18,0.1
0.21,0.1
0.5,0.5
0.55,0.75
0.55,0.75
0.2,0.1
0.24,0.1
0.2,0.1
0.24,0.1
0.52,0.8500000000000001
0.51,0.75
0.51,0.8500000000000001
0.51,0.75
0.53,0.8999999999999999
0.56,0.8999999999999999
0.38,0.39999999999999997
0.38,0.39999999999999997
0.3,0.25
0.33,0.44999999999999996
0.29,0.25
0.32,0.44999999999999996
0.5,0.65
0.36,0.4
0.24,0.1
0.29,0.35
0.29,0.35
0.22,0.25
0.22,0.25
0.52,0.6000000000000001
0.52,0.6000000000000001
0.5,0.65
0.45,0.5
0.53,0.65
0.47,0.5
0.49,0.75
0.53,0.7
0.49,0.75
0.53,0.7
0.56,0.75
0.56,0.75
0.56,0.75
0.56,0.75
0.34,0.2
0.3,0.35
0.3,0.3
0.34,0.2
0.3,0.35
0.3,0.3
0.32,0.30000000000000004
0.43,0.2
0.43,0.2
0.21,0.25
0.34,0.4
0.32,0.35
0.29,0.3
0.33,0.35
0.34,0.4
