test_index,overall_phase,overall_phase_pred,phase3_pred,area_id,date,_merge
1462,3,3,0.29,608,2022-07-01,both
1469,3,3,0.29,609,2022-07-01,both
1479,2,3,0.24,611,2022-06-01,both
1480,3,3,0.23,611,2022-07-01,both
1492,2,2,0.19,613,2022-04-01,both
1493,2,3,0.22,613,2022-06-01,both
1494,3,3,0.24,613,2022-07-01,both
1499,3,3,0.29,614,2022-07-01,both
1512,2,2,0.16,615,2022-04-01,both
1513,2,2,0.19,615,2022-06-01,both
1514,3,3,0.22,615,2022-07-01,both
1521,2,2,0.16,616,2022-04-01,both
1535,2,3,0.21,618,2022-04-01,both
1536,2,3,0.23,618,2022-06-01,both
1537,3,3,0.25,618,2022-07-01,both
1546,3,3,0.3,623,2022-07-01,both
1560,2,2,0.17,625,2022-04-01,both
1561,1,2,0.19,625,2022-06-01,both
1562,3,3,0.21,625,2022-07-01,both
1576,2,2,0.17,626,2022-04-01,both
1577,1,2,0.18,626,2022-06-01,both
1578,3,3,0.21,626,2022-07-01,both
1581,2,3,0.23,630,2022-06-01,both
1584,2,3,0.24,633,2022-06-01,both
1598,2,2,0.16,634,2022-04-01,both
1599,2,2,0.19,634,2022-06-01,both
1600,2,3,0.23,634,2022-07-01,both
1615,4,3,0.5,637,2022-02-01,both
1616,4,3,0.47,637,2022-10-01,both
1625,4,3,0.5,638,2022-02-01,both
1626,4,3,0.47,638,2022-10-01,both
1633,4,3,0.49,639,2022-02-01,both
1640,4,3,0.5,640,2022-02-01,both
1643,4,3,0.52,642,2022-10-01,both
1645,4,3,0.52,643,2022-10-01,both
1650,2,3,0.33,644,2022-06-01,both
1651,2,3,0.25,644,2022-07-01,both
1656,2,3,0.33,645,2022-06-01,both
1657,2,3,0.25,645,2022-07-01,both
1668,2,2,0.18,646,2022-04-01,both
1669,3,3,0.22,646,2022-07-01,both
1680,2,2,0.18,647,2022-04-01,both
1681,3,3,0.22,647,2022-07-01,both
1700,2,3,0.21,649,2022-04-01,both
1701,2,3,0.24,649,2022-06-01,both
1702,3,3,0.26,649,2022-07-01,both
1720,2,2,0.19,650,2022-04-01,both
1721,2,3,0.24,650,2022-06-01,both
1722,3,3,0.25,650,2022-07-01,both
1737,2,2,0.17,651,2022-04-01,both
1738,1,2,0.14,651,2022-06-01,both
1739,3,2,0.19,651,2022-07-01,both
1754,2,2,0.17,652,2022-04-01,both
1755,1,2,0.17,652,2022-06-01,both
1756,3,2,0.19,652,2022-07-01,both
1766,2,3,0.29,654,2022-06-01,both
1767,3,3,0.29,654,2022-07-01,both
1777,2,3,0.24,655,2022-06-01,both
1778,3,3,0.25,655,2022-07-01,both
1788,2,3,0.28,658,2022-06-01,both
1789,3,3,0.28,658,2022-07-01,both
1802,2,3,0.27,661,2022-06-01,both
1803,3,3,0.28,661,2022-07-01,both
1823,2,3,0.35,668,2022-02-01,both
1824,3,3,0.33,668,2022-07-01,both
1831,2,3,0.34,669,2022-02-01,both
1832,3,3,0.31,669,2022-07-01,both
1834,4,3,0.47,670,2022-02-01,both
1836,4,3,0.47,671,2022-02-01,both
1846,3,3,0.48,672,2022-02-01,both
1847,3,3,0.5,672,2022-10-01,both
1857,3,3,0.48,673,2022-02-01,both
1858,3,3,0.5,673,2022-10-01,both
1868,3,3,0.21,674,2022-07-01,both
1878,3,3,0.21,675,2022-07-01,both
1893,2,3,0.21,676,2022-04-01,both
1894,2,2,0.19,676,2022-06-01,both
1895,3,3,0.23,676,2022-07-01,both
1910,2,3,0.21,677,2022-04-01,both
1911,2,2,0.19,677,2022-06-01,both
1912,3,3,0.23,677,2022-07-01,both
1917,4,3,0.62,678,2022-02-01,both
1918,2,3,0.58,678,2022-04-01,both
1923,4,3,0.62,679,2022-02-01,both
1924,2,3,0.57,679,2022-04-01,both
1927,3,3,0.31,680,2022-02-01,both
1928,3,3,0.3,680,2022-07-01,both
1929,3,3,0.38,680,2022-10-01,both
1939,2,3,0.36,681,2022-06-01,both
1940,3,3,0.35,681,2022-07-01,both
1942,4,3,0.58,682,2022-02-01,both
1944,4,3,0.58,683,2022-02-01,both
1954,2,3,0.36,684,2022-06-01,both
1955,3,3,0.35,684,2022-07-01,both
1958,3,3,0.3,685,2022-02-01,both
1959,3,3,0.31,685,2022-07-01,both
1977,3,3,0.63,691,2022-02-01,both
1981,3,3,0.63,692,2022-02-01,both
2008,2,2,0.14,699,2022-04-01,both
2009,2,2,0.17,699,2022-06-01,both
2010,2,2,0.17,699,2022-07-01,both
2023,2,2,0.14,700,2022-04-01,both
2024,2,2,0.17,700,2022-07-01,both
2028,4,3,0.6,701,2022-02-01,both
2032,4,3,0.62,702,2022-02-01,both
2046,2,2,0.15,703,2022-04-01,both
2047,2,2,0.15,703,2022-06-01,both
2048,3,3,0.21,703,2022-07-01,both
2062,2,2,0.15,704,2022-04-01,both
2063,2,2,0.16,704,2022-06-01,both
2064,3,3,0.22,704,2022-07-01,both
2067,2,2,0.18,705,2022-10-01,both
2075,2,3,0.37,706,2022-06-01,both
2076,3,3,0.38,706,2022-07-01,both
2087,2,2,0.18,707,2022-04-01,both
2088,2,2,0.19,707,2022-06-01,both
2089,3,3,0.2,707,2022-07-01,both
2100,2,2,0.19,708,2022-04-01,both
2101,2,3,0.2,708,2022-06-01,both
2102,3,3,0.2,708,2022-07-01,both
2118,3,3,0.37,711,2022-02-01,both
2119,3,3,0.33,711,2022-07-01,both
2133,3,3,0.37,712,2022-02-01,both
2134,3,3,0.33,712,2022-07-01,both
2146,3,3,0.32,716,2022-02-01,both
2147,3,3,0.28,716,2022-06-01,both
2154,3,3,0.32,717,2022-02-01,both
2155,3,3,0.3,717,2022-06-01,both
2162,4,3,0.6,723,2022-02-01,both
2165,4,3,0.54,724,2022-02-01,both
2171,3,3,0.3,726,2022-02-01,both
2179,2,3,0.23,727,2022-06-01,both
2180,2,3,0.25,727,2022-07-01,both
2195,3,3,0.29,732,2022-06-01,both
2196,3,3,0.36,732,2022-10-01,both
2206,3,3,0.29,733,2022-06-01,both
2207,3,3,0.36,733,2022-10-01,both
2221,3,3,0.37,735,2022-02-01,both
2222,3,3,0.39,735,2022-10-01,both
2231,3,3,0.37,736,2022-02-01,both
2232,3,3,0.39,736,2022-10-01,both
2239,4,3,0.57,748,2022-02-01,both
2240,4,3,0.55,749,2022-02-01,both
2242,3,3,0.31,752,2022-10-01,both
2244,3,3,0.31,753,2022-10-01,both
2274,2,2,0.17,759,2022-06-01,both
2275,2,3,0.21,759,2022-10-01,both
2279,3,3,0.49,760,2022-02-01,both
2285,2,2,0.17,761,2022-06-01,both
2286,2,3,0.21,761,2022-10-01,both
2290,3,3,0.49,762,2022-02-01,both
2295,4,3,0.52,768,2022-02-01,both
2298,4,3,0.52,769,2022-02-01,both
2299,2,2,0.16,770,2022-06-01,both
2300,2,3,0.21,770,2022-10-01,both
2307,2,2,0.16,773,2022-06-01,both
2308,2,3,0.21,773,2022-10-01,both
2317,4,3,0.6,779,2022-02-01,both
2318,4,3,0.52,779,2022-10-01,both
2322,4,3,0.61,780,2022-02-01,both
2323,4,3,0.52,780,2022-10-01,both
2326,5,3,0.58,781,2022-10-01,both
2329,5,3,0.56,782,2022-10-01,both
2337,3,3,0.4,783,2022-10-01,both
2345,3,3,0.4,784,2022-10-01,both
2357,3,3,0.28,785,2022-06-01,both
2358,3,3,0.4,785,2022-10-01,both
2370,3,3,0.26,786,2022-06-01,both
2371,3,3,0.38,786,2022-10-01,both
2376,4,3,0.48,789,2022-10-01,both
2379,3,3,0.48,793,2022-02-01,both
2381,2,3,0.25,794,2022-10-01,both
2386,3,3,0.34,796,2022-06-01,both
2390,3,3,0.34,797,2022-06-01,both
2393,3,3,0.23,798,2022-06-01,both
2396,3,3,0.23,799,2022-06-01,both
2399,4,3,0.54,800,2022-10-01,both
2402,4,3,0.54,801,2022-10-01,both
2409,3,3,0.49,806,2022-02-01,both
2410,3,3,0.47,806,2022-10-01,both
2417,3,3,0.51,807,2022-02-01,both
2418,3,3,0.47,807,2022-10-01,both
2422,4,3,0.54,815,2022-02-01,both
2423,4,3,0.5,815,2022-10-01,both
2427,4,3,0.54,816,2022-02-01,both
2428,4,3,0.5,816,2022-10-01,both
2434,4,3,0.62,817,2022-02-01,both
2435,4,3,0.55,817,2022-10-01,both
2441,4,3,0.62,818,2022-02-01,both
2442,4,3,0.55,818,2022-10-01,both
2449,3,3,0.32,820,2022-02-01,both
2450,3,3,0.34,820,2022-03-01,both
2451,3,3,0.33,820,2022-06-01,both
