test_index,overall_phase,overall_phase_pred,phase3_pred,area_id,date,_merge
3275,2,2,0.18,1231,2022-01-01,both
3276,4,2,0.18,1231,2022-05-01,both
3277,3,3,0.21,1231,2022-10-01,both
3283,2,3,0.31,1234,2022-10-01,both
3290,3,3,0.32,1238,2022-01-01,both
3291,2,3,0.34,1238,2022-07-01,both
3292,2,3,0.33,1238,2022-10-01,both
3302,3,2,0.14,1241,2022-01-01,both
3303,2,2,0.19,1241,2022-10-01,both
3306,4,2,0.19,1243,2022-05-01,both
3312,2,3,0.28,1249,2022-01-01,both
3313,3,3,0.29,1249,2022-03-01,both
3314,3,3,0.27,1249,2022-05-01,both
3321,2,3,0.28,1252,2022-01-01,both
3322,3,3,0.27,1252,2022-03-01,both
3323,3,3,0.27,1252,2022-05-01,both
3327,3,3,0.34,1254,2022-01-01,both
3328,3,3,0.33,1254,2022-05-01,both
3329,3,3,0.28,1254,2022-07-01,both
3330,3,3,0.27,1254,2022-10-01,both
3335,2,2,0.19,1255,2022-10-01,both
3337,3,3,0.31,1256,2022-10-01,both
3340,3,3,0.29,1257,2022-05-01,both
3341,3,3,0.28,1257,2022-10-01,both
3372,3,3,0.31,1276,2022-01-01,both
3373,3,3,0.29,1276,2022-05-01,both
3374,3,3,0.34,1276,2022-07-01,both
3375,3,3,0.34,1276,2022-10-01,both
3387,3,3,0.3,1284,2022-01-01,both
3388,3,3,0.27,1284,2022-05-01,both
3389,4,3,0.29,1284,2022-07-01,both
3390,4,3,0.3,1284,2022-10-01,both
3405,2,3,0.25,1293,2022-01-01,both
3406,4,3,0.24,1293,2022-05-01,both
3407,4,3,0.26,1293,2022-07-01,both
3408,4,3,0.3,1293,2022-10-01,both
3417,2,3,0.39,1298,2022-03-01,both
3431,2,3,0.23,1308,2022-01-01,both
3432,4,3,0.22,1308,2022-05-01,both
3433,4,3,0.22,1308,2022-07-01,both
3434,4,3,0.31,1308,2022-10-01,both
3443,2,3,0.23,1309,2022-01-01,both
3444,4,3,0.22,1309,2022-05-01,both
3445,4,3,0.22,1309,2022-07-01,both
3446,4,3,0.29,1309,2022-10-01,both
3462,2,3,0.26,1324,2022-01-01,both
3463,4,3,0.25,1324,2022-05-01,both
3464,4,3,0.31,1324,2022-07-01,both
3465,4,3,0.29,1324,2022-10-01,both
3469,3,3,0.29,1326,2022-05-01,both
3470,3,3,0.31,1326,2022-07-01,both
3473,3,3,0.33,1327,2022-07-01,both
3477,2,3,0.39,1329,2022-03-01,both
3495,2,2,0.18,1351,2022-01-01,both
3496,3,2,0.17,1351,2022-05-01,both
3497,1,3,0.23,1351,2022-07-01,both
3498,1,3,0.22,1351,2022-10-01,both
3503,2,2,0.19,1354,2022-01-01,both
3504,3,2,0.18,1354,2022-05-01,both
3505,1,3,0.23,1354,2022-07-01,both
3506,1,3,0.22,1354,2022-10-01,both
3515,3,3,0.24,1357,2022-01-01,both
3516,3,3,0.28,1357,2022-05-01,both
3517,4,3,0.31,1357,2022-07-01,both
3518,3,3,0.3,1357,2022-10-01,both
3522,2,3,0.4,1358,2022-03-01,both
3532,3,3,0.22,1361,2022-01-01,both
3533,3,3,0.28,1361,2022-05-01,both
3534,4,3,0.34,1361,2022-07-01,both
3535,3,3,0.29,1361,2022-10-01,both
3540,2,3,0.41,1366,2022-03-01,both
3551,3,3,0.24,1367,2022-01-01,both
3552,3,3,0.29,1367,2022-05-01,both
3553,4,3,0.32,1367,2022-07-01,both
3554,3,3,0.3,1367,2022-10-01,both
3565,3,3,0.24,1368,2022-01-01,both
3566,3,3,0.28,1368,2022-05-01,both
3567,4,3,0.32,1368,2022-07-01,both
3568,3,3,0.29,1368,2022-10-01,both
3577,2,3,0.37,1374,2022-03-01,both
