date,area_id,CPI,fatalities_explosions_w5_m12,GDP,soil_moisture_mean_m12,fatalities_explosions,chirps_z_score,EVI_m12,event_count_battles_w10_m12,event_count_battles_w5_m12,price_index_s12,event_count_explosions,rainfall_chirps_s12,event_count_violence_w10_m12,WFP_Price_Change_s12,WFP_Price_Volatility_m12,WFP_Price_Change_m12,infra_index_m12,temperature_2m_mean_s12,event_count_battles_m12,fatalities_battles,event_count_violence_m12,event_count_explosions_m12,fatalities_battles_w5_m12,event_count_violence_w5_m12,soil_moisture_mean_s12,event_count_explosions_w5_m12,WFP_Price_Volatility_s12,event_count_violence,precipitation_sum_m12,event_count_violence_w10,fatalities_violence_w10_m12,event_count_battles,event_count_explosions_w5,fatalities_explosions_w10_m12,event_count_battles_w10,temperature_2m_mean_m12,rainfall_chirps_m12,fatalities_violence_m12,WFP_Price_Change,event_count_explosions_w10,gini,cpi,fatalities_violence_w5_m12,infra_index_s12,shortwave_radiation_sum_m12,price_index_m12,fatalities_battles_w10_m12,event_count_violence_w5,fatalities_explosions_w10,CC.PER.RNK,fatalities_violence_w5,shortwave_radiation_sum_s12,fatalities_battles_w10,fatalities_battles_m12,nightlight_mean_m12,fatalities_battles_w5,event_count_battles_w5,fatalities_violence_w10,fatalities_violence,infra_index,fatalities_explosions_m12,temperature_z_score,event_count_explosions_w10_m12,NY.GDP.PCAP.KD,fatalities_explosions_w5,precipitation_sum_s12,WFP_Price_Volatility,nightlight_mean_s12,GOSIF_GPP_m12,overall_phase,phase1_percent,phase2_percent,phase3_percent,phase4_percent,phase5_percent,elevation,infra_index_m12_l12,infra_index_s12_l12,market_access,nitrogen_5-15cm_mean,phh2o_5-15cm_mean,cec_5-15cm_mean,cfvo_5-15cm_mean,soc_5-15cm_mean,aez_groupid_4000,aez_groupid_7000,aez_groupid_9000,aez_groupid_10000,aez_groupid_12000,aez_groupid_17000,aez_groupid_19000,aez_groupid_25000,aez_groupid_30000,aez_groupid_31000,aez_groupid_32000,aez_groupid_33000,aez_groupid_34000,aez_groupid_36000,aez_groupid_40000,aez_groupid_43000,slope,estimated_population,lat,lon,cropland,rangeland,area,es_urban_pop,urban_area,distance_to_river,ruggedness_index,fews_ipc_ha,WFP_Price_Change_l12,WFP_Price_Volatility_l12,fatalities_battles_l12,fatalities_explosions_l12,fatalities_violence_l12,event_count_battles_l12,event_count_explosions_l12,event_count_violence_l12,precipitation_sum_l12,soil_moisture_mean_l12,shortwave_radiation_sum_l12,temperature_2m_mean_l12,price_index_l12,rainfall_chirps_l12,nightlight_mean_l12,EVI_l12,fatalities_battles_w5_l12,fatalities_explosions_w5_l12,fatalities_violence_w5_l12,event_count_battles_w5_l12,event_count_explosions_w5_l12,event_count_violence_w5_l12,fatalities_battles_w10_l12,fatalities_explosions_w10_l12,fatalities_violence_w10_l12,event_count_battles_w10_l12,event_count_explosions_w10_l12,event_count_violence_w10_l12,rainfall_chirps_z_l12,temperature_2m_mean_z_l12,GOSIF_GPP_l12,WFP_Price_Change_s12_l12,WFP_Price_Volatility_s12_l12,fatalities_battles_s12_l12,fatalities_explosions_s12_l12,fatalities_violence_s12_l12,event_count_battles_s12_l12,event_count_explosions_s12_l12,event_count_violence_s12_l12,precipitation_sum_s12_l12,soil_moisture_mean_s12_l12,shortwave_radiation_sum_s12_l12,temperature_2m_mean_s12_l12,price_index_s12_l12,rainfall_chirps_s12_l12,nightlight_mean_s12_l12,EVI_s12_l12,fatalities_battles_w5_s12_l12,fatalities_explosions_w5_s12_l12,fatalities_violence_w5_s12_l12,event_count_battles_w5_s12_l12,event_count_explosions_w5_s12_l12,event_count_violence_w5_s12_l12,fatalities_battles_w10_s12_l12,fatalities_explosions_w10_s12_l12,fatalities_violence_w10_s12_l12,event_count_battles_w10_s12_l12,event_count_explosions_w10_s12_l12,event_count_violence_w10_s12_l12,rainfall_chirps_z_s12_l12,temperature_2m_mean_z_s12_l12,GOSIF_GPP_s12_l12,NY.GDP.PCAP.KD_l12,cpi_l12,GDP_l12,CPI_l12,infra_index_l12,CC.PER.RNK_l12,gini_l12,fold
2018-10-01,2,3.56443426,0.0,85555378043.0,0.3726857114374327,0.0,-0.7487980644051607,1479.6231175012288,0.6518511456003441,0.5623783847463153,107.25334909166666,0.0,33.1747833164114,0.0,3.766268254,15.59273528,1.301995833,38.4670699,258.85402896985187,0.2659305708465634,0.5318611416931268,0.0,0.0,0.7301590951035837,0.0,0.3726857114374327,0.0,26.05914165,0.0,0.0379892390397118,0.0,0.0,0.2659305708465634,0.0,0.0,0.6518511456003441,258.85402896985187,33.1747833164114,0.0,1.44885,0.0,0.385292982922,1.184462912449,0.0,0.093090856,53107469.90230828,107.25334909166666,0.8244657031749004,0.0,0.0,22.380952835083,0.0,53107469.90230828,0.8244657031749004,0.5318611416931268,0.1555824096664674,0.7301590951035837,0.5623783847463153,0.0,0.0,38.50692902,0.0,-0.2934279659410731,0.0,7894.955192237482,0.0,0.0379892390397118,15.59220324,0.1555824096664674,37015.66667,3,0.3,0.35,0.3,0.05,0.0,137,38.4670699,0.093090856,117,3170.0,53.0,205.0,72.0,354.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15000000130385,376038.0,19.2534004377252,-70.08120181852628,0,0,1409.7268829599998,0.0,0.0,0.018449334212762,0.0067114360875733,0.0,0.45225,71.292546405,10.0,0.0,0.0,1.0,0.0,0.0,0.0084315986667138,0.3726857114374327,80407124.50736952,257.1604212055872,107.0397401,,,,4.302383534388818,0.0,0.0,2.114756430432349,0.0,0.0,4.673048812795227,0.0,0.0,2.4512080108926217,0.0,0.0,,-0.2615489541738321,39517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2022-10-01,2,8.811092093,0.0,,0.3726857114374327,0.0,-0.778476716996405,1479.6231175012288,0.0,0.0,122.82455151666666,0.0,33.1747833164114,0.8164134847980862,,,,,258.7733627377376,0.0,0.0,0.3330657704977002,0.0,0.0,0.7043529799169165,0.3726857114374327,0.0,,0.3330657704977002,0.038660997965726,0.8164134847980862,0.8164134847980862,0.0,0.0,0.0,0.0,258.7733627377376,33.1747833164114,0.3330657704977002,,0.0,0.385292982922,1.184462912449,0.7043529799169165,,52348782.042385794,122.82455151666666,0.0,0.7043529799169165,0.0,37.2641525268555,0.7043529799169165,52348782.042385794,0.0,0.0,0.1555824096664674,0.0,0.0,0.8164134847980862,0.3330657704977002,,0.0,-0.1061856626042993,0.0,8732.080738847822,0.0,0.038660997965726,,0.1555824096664674,37060.66667,2,0.5,0.35,0.14,0.01,0.0,137,,,117,3170.0,53.0,205.0,72.0,354.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15000000130385,300241.0,19.2534004377252,-70.08120181852628,0,0,1409.7268829599998,0.0,0.0,0.018449334212762,0.0067114360875733,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0147185423639911,0.3726857114374327,79792298.54439797,254.99113040023536,111.9592368,,,,0.0,0.0,2.745675658045614,0.0,0.0,2.114756430432349,0.0,0.0,3.100304340904832,0.0,0.0,2.4512080108926217,,-0.6003122992901806,35274.0,2.3045961737560123,5.407684998095887,1.7298624923456325,0.0,0.9003366373785215,0.4522670168666456,0.0,0.90033663737852,0.0172015424734177,0.0,55332495.03686479,6.7597599513402,2.341785614208167,,,,1.2060610327121797,0.0,1.1226423925873912,0.956434582191194,0.0,1.1226423925873914,1.3393559281612537,0.0,1.2739222425192662,1.1086005348060302,0.0,1.2739222425192658,,1.055625593235343,4144.435817143788,,,,,,,,9
2022-10-01,5,8.811092093,0.0,,0.36724853515625,0.0,-0.3631336401292883,1479.6231175012288,0.0,0.0,145.52826680833334,0.0,33.1747833164114,0.2400277249271544,,,,,258.1478785675079,0.0,0.0,0.0944343242326975,0.0,0.0,0.1990702982169538,0.36724853515625,0.0,,0.0944343242326975,0.0371218940596674,0.2400277249271544,0.2400277249271544,0.0,0.0,0.0,0.0,258.1478785675079,33.1747833164114,0.0944343242326975,,0.0,0.385292982922,1.184462912449,0.1990702982169538,,52068130.548828125,145.52826680833334,0.0,0.1990702982169538,0.0,37.2641525268555,0.1990702982169538,52068130.548828125,0.0,0.0,0.1555824096664674,0.0,0.0,0.2400277249271544,0.0944343242326975,,0.0,0.236449303415569,0.0,8732.080738847822,0.0,0.0371218940596674,,0.1555824096664674,19934.16667,2,0.45,0.37,0.16,0.02,0.0,530,,,47,2351.0,58.0,204.0,102.0,308.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3000000026077,1058937.0,19.322621636996907,-70.89148103736872,0,60,2414.18558495,0.0,0.0,0.0251145889907268,1.342625871935682,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0141808797989426,0.36724853515625,79524828.28198242,253.71884212698987,124.5420757,,,,0.0,0.0,2.7385147901331943,0.0,0.0,2.108029043829664,0.0,0.0,3.19472928186239,0.0,0.0,2.5417423895118616,,-0.6716329508868921,23562.0,2.3045961737560123,5.407684998095887,1.7298624923456325,0.0,0.9003366373785215,0.4522670168666456,0.0,0.90033663737852,0.0177898204369678,0.0,57187960.097899735,6.582754230619483,10.950099115128138,,,,1.2033733577963797,0.0,1.1196076202691043,0.9533920071210892,0.0,1.1196076202691043,1.374920068131396,0.0,1.31450410691805,1.1495462481480287,0.0,1.31450410691805,,1.041375055719744,2831.309649849932,,,,,,,,1
2022-09-01,9,8.811092093,0.0,,0.23681640625,0.0,-0.680115898007015,1479.6231175012288,0.0,0.0,142.26116650833333,0.0,33.1747833164114,0.7079313218141642,,,,,251.6918946129365,0.0,0.0,0.2538283663352514,0.0,0.0,0.583247268907896,0.23681640625,0.0,,0.2538283663352514,0.0396557955066869,0.7079313218141642,0.0,0.0,0.0,0.0,0.0,251.6918946129365,33.1747833164114,0.0,,0.0,0.385292982922,1.184462912449,0.0,,53914197.15376791,142.26116650833333,0.0,0.583247268907896,0.0,37.2641525268555,0.0,53914197.15376791,0.0,0.0,0.1555824096664674,0.0,0.0,0.0,0.0,,0.0,-0.7351398008498994,0.0,8732.080738847822,0.0,0.0396557955066869,,0.1555824096664674,23481.41667,4,0.2,0.25,0.35,0.2,0.0,278,,,122,3215.0,60.0,287.0,94.0,313.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.1099861711263603,393967.0,19.430858338795733,-71.59479994397275,0,57,852.871782089,0.0,0.0,0.0166583006095268,0.1211013531259331,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0763433122691594,0.23681640625,27980034.3359375,246.52322177886964,120.9006962,,,,2.297801767898371,0.0,0.0,2.297801767898371,0.0,0.0,2.789015790611608,0.0,0.0,2.789015790611608,0.0,0.0,,-0.8551754152031283,22771.0,2.3894533332897803,5.226224435433273,1.7298624923456325,0.0,0.8528028654224433,0.4522670168666456,0.0,0.90033663737852,0.0194114434910344,0.0,58779690.28480712,6.216839314913482,5.627558360760049,,,,1.278827481871399,0.0,1.1692205365901105,1.0392199509183,0.0,1.205052051667418,1.4715871007875574,0.0,1.388502139618775,1.2613798516138808,0.0,1.425176325856128,,1.020622448244754,2887.96693063204,,,,,,,,8
2020-08-01,10,22.79631136,0.0,14508218017.0,0.1914563010271,0.0,-0.9911245573292842,1479.6231175012288,0.0,0.0,99.56305517666668,0.0,33.1747833164114,0.4909765520534388,,,,9.830916707,249.8631380474902,0.0,0.0,0.1413225815113319,0.0,0.0,0.4453552748787884,0.1914563010271,0.0,,0.1413225815113319,0.0291655999332223,0.4909765520534388,0.4909765520534388,0.0,0.0,0.0,0.0,249.8631380474902,33.1747833164114,0.1413225815113319,,0.0,,,0.4453552748787884,0.844023996,55493725.64914005,99.56305517666668,0.0,0.4453552748787884,0.0,7.61904764175415,0.4453552748787884,55493725.64914005,0.0,0.0,0.1555824096664674,0.0,0.0,0.4909765520534388,0.1413225815113319,9.259509761,0.0,1.3444684052144562,0.0,1324.28327669834,0.0,0.0291655999332223,,0.1555824096664674,15267.83333,3,0.25,0.35,0.3,0.1,0.0,239,9.830916707,0.844023996,107,1434.0,59.0,202.0,97.0,239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.54628807306289,707601.0,19.141165641421363,-71.95798637936777,0,92,3000.88573045,0.0,0.0,0.0100665264541676,0.0189106300680782,0.0,,,3.0,0.0,0.0,1.0,0.0,0.0,0.0113012854816868,0.1914563010271,4081601.585912673,241.0022281874978,108.4028008,,,,4.221005904963191,0.0,0.0,3.151338378595056,0.0,0.0,4.551892233275847,0.0,0.0,3.4741549920956536,0.0,0.0,,-1.3599438055735813,23143.0,,,2.886751345948129,1.7320508075688772,0.9653072991634228,0.3892494720807616,0.2886751345948129,0.4522670168666455,0.0214576432766725,0.0,59560840.6216853,5.701283981367379,7.978449956771687,,,,1.5630738972472131,1.416466551151072,1.8246380625229397,1.2266568002159683,0.9097130305947272,1.425246407624557,1.6594359020619966,1.5125860692185435,1.9925122399173936,1.3523129965999754,1.0029021599464538,1.5712457144074654,,0.9508829804532604,5558.350285967514,,,,,,,,4
2021-09-01,10,16.84152402,0.0,20944392615.0,0.1914563010271,0.0,-1.6259820987967322,1479.6231175012288,1.0039053447037698,0.9106229999638956,136.77216565,0.0,33.1747833164114,0.0,,,,8.825750858,248.7469083830243,0.2889638910721716,0.2889638910721716,0.0,0.0,0.9106229999638956,0.0,0.1914563010271,0.0,,0.0,0.0329365334679701,0.0,0.0,0.2889638910721716,0.0,0.0,1.0039053447037698,248.7469083830243,33.1747833164114,0.0,,0.0,,,0.0,0.26156646,56778957.95619703,136.77216565,1.0039053447037698,0.0,0.0,5.2380952835083,0.0,56778957.95619703,1.0039053447037698,0.2889638910721716,0.1555824096664674,0.9106229999638956,0.9106229999638956,0.0,0.0,8.681164557,0.0,0.506477370940582,0.0,1284.4779263798623,0.0,0.0329365334679701,,0.1555824096664674,16880.25,4,0.25,0.25,0.3,0.2,0.0,239,8.825750858,0.26156646,107,1434.0,59.0,202.0,97.0,239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.54628807306289,346064.0,19.141165641421363,-71.95798637936777,0,92,3000.88573045,0.0,0.0,0.0100665264541676,0.0189106300680782,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0162815399963408,0.1914563010271,29371498.73017007,244.54559490714777,126.4697922,,,,3.151338378595056,0.0,0.0,3.151338378595056,0.0,0.0,3.4741549920956536,0.0,0.0,3.4741549920956536,0.0,0.0,,-0.7689669101529859,22527.0,,,1.3483997249264847,0.0,1.77525072919719,0.5222329678670935,0.0,0.9653072991634228,0.0160816749926572,0.0,60687821.81660489,6.795771499406206,12.863223909056984,,,,1.9580861676676768,0.0,2.1018992202385327,1.645732794207171,0.0,1.8246380625229397,2.125802300436856,0.0,2.270186564273818,1.814318272352392,0.0,1.9925122399173936,,1.1334259929786652,6754.60278535154,,,,,,,,4
2022-09-01,10,33.98393195,0.0,,0.1914563010271,0.0,-0.6157832715367322,1479.6231175012288,0.0,0.0,134.1643104,0.0,33.1747833164114,1.0039053447037698,,,,,249.1640774322809,0.0,0.0,0.2889638910721716,0.0,0.0,0.9106229999638956,0.1914563010271,0.0,,0.2889638910721716,0.0340107396969024,1.0039053447037698,0.0,0.0,0.0,0.0,0.0,249.1640774322809,33.1747833164114,0.0,,0.0,,,0.0,,54657382.25207513,134.1643104,0.0,0.9106229999638956,0.0,5.18867921829224,0.0,54657382.25207513,0.0,0.0,0.1555824096664674,0.0,0.0,0.0,0.0,,0.0,0.0969330986270886,0.0,1247.8923817176496,0.0,0.0340107396969024,,0.1555824096664674,15780.91667,4,0.15,0.25,0.35,0.25,0.0,239,,,107,1434.0,59.0,202.0,97.0,239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.54628807306289,346064.0,19.141165641421363,-71.95798637936777,0,92,3000.88573045,0.0,0.0,0.0100665264541676,0.0189106300680782,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0660835033677924,0.1914563010271,27767508.78626371,244.743756118247,108.0798374,,,,3.151338378595056,0.0,0.0,3.151338378595056,0.0,0.0,3.4741549920956536,0.0,0.0,3.4741549920956536,0.0,0.0,,-0.7359167895773268,20347.0,,,1.7298624923456325,0.0,0.8528028654224433,0.4522670168666456,0.0,0.90033663737852,0.0145466970116678,0.0,59750803.06613098,6.064235533717807,12.124551072197423,,,,1.6123487107670198,0.0,1.5500912824049438,1.4252464076245577,0.0,1.587083872478604,1.7372148890881096,0.0,1.6941021247294037,1.5712457144074656,0.0,1.73124533133245,,1.0114174942552463,6444.2180585672,,,,,,,,4
2022-10-01,10,33.98393195,0.0,,0.1914563010271,0.0,-0.6157832715367322,1479.6231175012288,0.0,0.0,140.32591165,0.0,33.1747833164114,3.250666983459909,,,,,249.4165209553052,0.0,0.0,0.9356712613155654,0.0,0.0,2.9486167555321856,0.1914563010271,0.0,,1.5823786315589592,0.0351928528568454,5.497428622216048,2.748714311108024,0.0,0.0,0.0,0.0,249.4165209553052,33.1747833164114,0.7911893157794796,,0.0,,,2.4933052555502377,,54194180.11598394,140.32591165,0.0,4.986610511100476,0.0,5.18867921829224,4.986610511100476,54194180.11598394,0.0,0.0,0.1555824096664674,0.0,0.0,5.497428622216048,1.5823786315589592,,0.0,0.0969330986270886,0.0,1247.8923817176496,0.0,0.0351928528568454,,0.1555824096664674,15756.16667,3,0.35,0.43,0.21,0.01,0.0,239,,,107,1434.0,59.0,202.0,97.0,239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.54628807306289,63196.0,19.141165641421363,-71.95798637936777,0,92,3000.88573045,0.0,0.0,0.0100665264541676,0.0189106300680782,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0134064286757505,0.1914563010271,80760111.51786542,246.6091251552016,111.5199038,,,,0.0,0.0,3.822855909310414,0.0,0.0,3.151338378595056,0.0,0.0,4.151686882199015,0.0,0.0,3.4741549920956536,,-0.4248030693519379,21392.0,,,1.7298624923456325,0.0,0.9003366373785215,0.4522670168666456,0.0,0.90033663737852,0.0131298681833041,0.0,59866084.62292429,6.136147421038941,22.15907646646859,,,,1.6123487107670198,0.0,1.587083872478605,1.4252464076245577,0.0,1.587083872478604,1.7372148890881096,0.0,1.73124533133245,1.5712457144074656,0.0,1.73124533133245,,1.0234112468852516,6257.788167555688,,,,,,,,4
2019-10-01,11,18.70378257,0.0,14785839383.0,0.1907806396484375,0.0,-1.865296763383016,1479.6231175012288,0.0,0.0,90.2439480975,0.0,33.1747833164114,1.70399801683213,,,,10.93356464,248.6591149212293,0.0,0.0,0.1413225815113319,0.0,0.0,1.703990600246161,0.1907806396484375,0.0,,0.1413225815113319,0.0236536771363253,1.70399801683213,1.70399801683213,0.0,0.0,0.0,0.0,248.6591149212293,33.1747833164114,0.1413225815113319,,0.0,,,1.703990600246161,0.093807476,56499611.8642985,90.2439480975,0.0,1.703990600246161,0.0,8.5714282989502,1.703990600246161,56499611.8642985,0.0,0.0,0.1555824096664674,0.0,0.0,1.70399801683213,0.1413225815113319,10.9737306,0.0,1.563908079333684,0.0,1387.5149038275165,0.0,0.0236536771363253,,0.1555824096664674,18696.0,3,0.3,0.35,0.25,0.1,0.0,313,10.93356464,0.093807476,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,707601.0,19.001220287245125,-71.98199349244065,0,43,3000.88573045,0.0,0.0,0.0059770937872374,0.0018104288642273,0.0,,,2.0,0.0,0.0,1.0,0.0,0.0,0.0686827079122309,0.1907806396484375,73773644.89331055,245.32315539288263,73.968845,,,,12.75059880722899,0.0,0.0,12.057454527247836,0.0,0.0,12.750651287217693,0.0,0.0,12.05750700708432,0.0,0.0,,-0.6249813832250035,23937.0,,,6.141636343003139,0.0,0.6513389472789297,0.674199862463242,0.0,0.5149286505444373,0.0148550443454547,0.0,61954223.15172781,6.653330622454203,4.866560348107296,,,,6.891462683100095,0.0,5.560303431912369,6.282894078680976,0.0,6.208728788716644,6.891488450597321,0.0,5.560327155656002,6.282921090106555,0.0,6.208755812088024,,1.1086582296444785,5184.043425977857,,,,,,,,9
2020-08-01,11,22.79631136,0.0,14508218017.0,0.1907806396484375,0.0,-0.9019632830844851,1479.6231175012288,0.0,0.0,99.56305517666668,0.0,33.1747833164114,1.70399801683213,,,,9.830916707,249.7781167920065,0.0,0.0,0.1413225815113319,0.0,0.0,1.703990600246161,0.1907806396484375,0.0,,0.1413225815113319,0.0292840352369661,1.70399801683213,1.70399801683213,0.0,0.0,0.0,0.0,249.7781167920065,33.1747833164114,0.1413225815113319,,0.0,,,1.703990600246161,0.844023996,55565314.12679926,99.56305517666668,0.0,1.703990600246161,0.0,7.61904764175415,1.703990600246161,55565314.12679926,0.0,0.0,0.1555824096664674,0.0,0.0,1.70399801683213,0.1413225815113319,9.259509761,0.0,1.297810002748221,0.0,1324.28327669834,0.0,0.0292840352369661,,0.1555824096664674,18489.58333,3,0.25,0.35,0.3,0.1,0.0,313,9.830916707,0.844023996,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,707601.0,19.001220287245125,-71.98199349244065,0,43,3000.88573045,0.0,0.0,0.0059770937872374,0.0018104288642273,0.0,,,3.0,0.0,0.0,1.0,0.0,0.0,0.0112073789257962,0.1907806396484375,4084834.0,240.93882480744392,108.4028008,,,,13.156062948475688,0.0,0.0,12.057454527247836,0.0,0.0,13.156115428515127,0.0,0.0,12.05750700708432,0.0,0.0,,-1.355551448182282,25056.0,,,2.886751345948129,1.7320508075688772,0.9653072991634228,0.3892494720807616,0.2886751345948129,0.4522670168666455,0.0215141186219565,0.0,59606719.47602183,5.713109165864259,7.978449956771687,,,,4.145384862973468,3.9979223189220736,6.460864449102121,4.693357809369007,3.480687308524105,5.453188990043607,4.145400012676426,3.9979374686191695,6.460891821425731,4.693378237117653,3.4807024581479657,5.453212724942699,,0.9519871855182744,4565.308343663904,,,,,,,,9
