model,area_id,country_code_3,n_test_dates,accuracy,precision,recall,R2(p3),actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,precision_undefined_reason,recall_undefined_reason,r2_undefined_reason,nonpositive_cumulative_prediction_count
Forecasting,112,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,113,GTM,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,114,GTM,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,136,COD,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,160,COD,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,161,COD,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,165,CAF,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,169,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,174,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,175,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,177,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,189,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,190,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,216,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,229,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,230,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,234,CAF,2,1,1,1,-3.337860479e-07,2,2,2,0,0,0,,,,0
Forecasting,237,CAF,2,1,1,1,-0.6000001907,2,2,2,0,0,0,,,,0
Forecasting,239,CAF,2,1,1,1,0.1000003576,2,2,2,0,0,0,,,,0
Forecasting,242,COD,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,251,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,258,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,263,COD,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,264,COD,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,280,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,282,CAF,2,1,1,1,0.5999999619,2,2,2,0,0,0,,,,0
Forecasting,283,CAF,2,1,1,1,0.5328000252,2,2,2,0,0,0,,,,0
Forecasting,284,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,285,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,286,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,290,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,291,CAF,2,1,1,1,0.6863999306,2,2,2,0,0,0,,,,0
Forecasting,296,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,305,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,314,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,319,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,322,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,323,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,334,CAF,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,335,CAF,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,347,CAF,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,370,COD,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,374,COD,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,391,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,409,COD,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,410,COD,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,413,COD,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,417,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,420,COD,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,435,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,436,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,441,CAF,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,443,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,446,COD,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,451,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,452,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,459,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,471,COD,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,472,COD,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,492,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,494,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,495,SSD,2,0.5,1,1,-2.675061747,2,2,2,0,0,0,,,,0
Forecasting,496,SSD,2,0.5,1,1,-2.675061747,2,2,2,0,0,0,,,,0
Forecasting,512,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,513,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,518,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,519,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,520,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,521,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,534,COD,2,0.5,0.5,1,-7.200000072,1,2,1,1,0,0,,,,0
Forecasting,537,COD,2,0.5,0.5,1,-8.000001216,1,2,1,1,0,0,,,,0
Forecasting,547,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,555,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,564,COD,3,0.3333333333,0.3333333333,1,-1.120000123,1,3,1,2,0,0,,,,0
Forecasting,565,COD,3,0.3333333333,0.3333333333,1,-1.120000123,1,3,1,2,0,0,,,,0
Forecasting,568,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,570,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,571,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,577,SSD,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,578,SSD,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
